arm,seed,pairs,mean_delta_points,mean_delta_self_cash,mean_delta_opp_cash,mean_delta_margin
master_hybrid,512609241,8,0.125,52.5,-1.75,54.25
master_hybrid,512609242,8,-0.125,-325.5,24.5,-350.0
master_hybrid,512609243,8,-0.125,15.0,-96.0,111.0
master_hybrid,512609244,8,0.125,-26.75,-20.0,-6.75
moon,512609241,8,-0.125,-178.0,-31.5,-146.5
moon,512609242,8,0.375,742.75,-652.0,1394.75
moon,512609243,8,-0.875,-577.25,15.75,-593.0
moon,512609244,8,0.125,22.25,-1480.25,1502.5
more_wheat,512609241,8,-0.125,-4.0,4.25,-8.25
more_wheat,512609242,8,-0.125,-2.0,-0.75,-1.25
more_wheat,512609243,8,0.125,55.5,22.75,32.75
more_wheat,512609244,8,0.125,282.0,-779.25,1061.25
order_book_v3,512609241,8,-0.125,-319.25,26.5,-345.75
order_book_v3,512609242,8,-0.125,-536.25,66.25,-602.5
order_book_v3,512609243,8,0.125,105.5,-82.5,188.0
order_book_v3,512609244,8,0.125,-7.0,-9.25,2.25
v15stack,512609241,8,-0.625,-511.75,103.5,-615.25
v15stack,512609242,8,0.375,385.25,-411.75,797.0
v15stack,512609243,8,-0.375,-212.0,-31.5,-180.5
v15stack,512609244,8,0.125,-213.0,-844.75,631.75
wonderful,512609241,8,-0.875,-2155.25,648.5,-2803.75
wonderful,512609242,8,-0.625,-1309.0,735.25,-2044.25
wonderful,512609243,8,-0.875,-846.25,110.25,-956.5
wonderful,512609244,8,-0.875,-1163.25,390.75,-1554.0
