arm,opponent_id,opponent_family,seed,seat,baseline_result,candidate_result,transition,delta_points,delta_self_cash,delta_opp_cash,delta_margin,own_action_changed_decisions,own_field_changed_decisions,own_market_changed_decisions,opponent_action_changed_decisions,full_trajectory_identical
m11_final_response,B1,herd_safe,522609241,0,T,W,T->W,0.5,3.0,-12.0,15.0,1,0,1,0,False
m11_final_response,B1,herd_safe,522609241,1,T,W,T->W,0.5,3.0,-12.0,15.0,1,0,1,0,False
m11_final_response,B1,herd_safe,522609242,0,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_final_response,B1,herd_safe,522609242,1,T,T,T->T,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_final_response,B1,herd_safe,522609243,0,T,W,T->W,0.5,0.0,-5.0,5.0,1,0,1,0,False
m11_final_response,B1,herd_safe,522609243,1,T,W,T->W,0.5,0.0,-5.0,5.0,1,0,1,0,False
m11_final_response,B1,herd_safe,522609244,0,W,W,W->W,0.0,6.0,-12.0,18.0,2,0,2,0,False
m11_final_response,B1,herd_safe,522609244,1,L,L,L->L,0.0,6.0,-12.0,18.0,2,0,2,0,False
m11_final_response,metav4,metav4,522609241,0,W,W,W->W,0.0,-13.0,11.0,-24.0,2,0,2,0,False
m11_final_response,metav4,metav4,522609241,1,W,W,W->W,0.0,-13.0,11.0,-24.0,2,0,2,0,False
m11_final_response,metav4,metav4,522609242,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_final_response,metav4,metav4,522609242,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_final_response,metav4,metav4,522609243,0,L,L,L->L,0.0,-6.0,4.0,-10.0,1,0,1,0,False
m11_final_response,metav4,metav4,522609243,1,L,L,L->L,0.0,-6.0,4.0,-10.0,1,0,1,0,False
m11_final_response,metav4,metav4,522609244,0,W,W,W->W,0.0,-5.0,5.0,-10.0,2,0,2,0,False
m11_final_response,metav4,metav4,522609244,1,W,W,W->W,0.0,-5.0,5.0,-10.0,2,0,2,0,False
m11_final_response,order_book,order_book,522609241,0,W,W,W->W,0.0,3.0,-12.0,15.0,1,0,1,0,False
m11_final_response,order_book,order_book,522609241,1,W,W,W->W,0.0,3.0,-12.0,15.0,1,0,1,0,False
m11_final_response,order_book,order_book,522609242,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_final_response,order_book,order_book,522609242,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_final_response,order_book,order_book,522609243,0,W,W,W->W,0.0,4.0,-7.0,11.0,1,0,1,0,False
