arm,seed,pairs,mean_delta_points,mean_delta_self_cash,mean_delta_opp_cash,mean_delta_margin
m11_final_response,522609241,8,0.125,-1.0,-6.25,5.25
m11_final_response,522609242,8,0.0,0.0,0.0,0.0
m11_final_response,522609243,8,0.125,-2.25,-0.5,-1.75
m11_final_response,522609244,8,0.0,2.25,-6.25,8.5
m11_robust_response,522609241,8,0.0,0.0,0.0,0.0
m11_robust_response,522609242,8,0.0,0.0,0.0,0.0
m11_robust_response,522609243,8,0.0,0.0,0.0,0.0
m11_robust_response,522609244,8,0.0,0.0,0.0,0.0
m20_m11_final,522609241,8,0.375,63.75,-232.25,296.0
m20_m11_final,522609242,8,0.125,-14.75,-51.75,37.0
m20_m11_final,522609243,8,-0.125,164.25,228.5,-64.25
m20_m11_final,522609244,8,0.25,323.25,-432.0,755.25
m20_multi_hypothesis,522609241,8,0.375,64.75,-226.0,290.75
m20_multi_hypothesis,522609242,8,0.125,-14.75,-51.75,37.0
m20_multi_hypothesis,522609243,8,-0.125,161.0,230.5,-69.5
m20_multi_hypothesis,522609244,8,0.25,321.0,-425.75,746.75
