group,n,cash_item,mean
Top1,578,BUY_PRODUCT_WHEAT_cash,6357.148788927336
Top1,578,SELL_WHEAT_cash,16001.465397923876
Top1,578,HIRE__cash,4916.157439446367
Top1,578,BUY_ANIMAL_COW_cash,3742.560553633218
Top1,578,BUY_ANIMAL_SHEEP_cash,2896.193771626298
Top1,578,BUY_SEED_MELON_cash,966.5051903114187
Top1,578,BUY_SEED_WHEAT_cash,1594.4809688581315
Top1,578,SELL_FERTILIZER_cash,11838.69723183391
Top1,578,BUY_SEED_STRAWBERRY_cash,3023.18339100346
Top1,578,SELL_WOOL_cash,20581.413494809687
Top1,578,BUY_LAND__cash,3000.0
Top1,578,BUY_PRODUCT_FERTILIZER_cash,0.0
Top1,578,SELL_MILK_cash,21786.576124567473
Top1,578,SELL_MELON_cash,13875.307958477508
Top1,578,SELL_STRAWBERRY_cash,34869.21453287197
Top1,578,BUY_SEED_CARROT_cash,1283.4256055363321
Top1,578,SELL_CARROT_cash,7129.660899653979
Top1,578,BUY_ANIMAL_GOOSE_cash,361.24567474048445
Top1,578,SELL_EGG_cash,2424.712802768166
Top1,578,BUY_SEED_TOMATO_cash,481.9204152249135
Top1,578,SELL_TOMATO_cash,5805.285467128027
Top2,131,BUY_PRODUCT_WHEAT_cash,6344.3511450381675
Top2,131,SELL_WHEAT_cash,17973.236641221374
Top2,131,HIRE__cash,4934.8702290076335
Top2,131,BUY_ANIMAL_COW_cash,3490.0763358778627
Top2,131,BUY_ANIMAL_SHEEP_cash,3419.8473282442746
Top2,131,BUY_SEED_MELON_cash,945.9541984732824
Top2,131,BUY_SEED_WHEAT_cash,1777.6335877862596
Top2,131,SELL_FERTILIZER_cash,11761.198473282442
Top2,131,BUY_SEED_STRAWBERRY_cash,2960.3053435114502
Top2,131,SELL_WOOL_cash,22752.67175572519
Top2,131,BUY_LAND__cash,3000.0
Top2,131,BUY_PRODUCT_FERTILIZER_cash,0.0
Top2,131,SELL_MILK_cash,20580.053435114503
Top2,131,SELL_MELON_cash,13425.625954198473
Top2,131,SELL_STRAWBERRY_cash,29985.358778625956
Top2,131,BUY_SEED_CARROT_cash,1105.648854961832
Top2,131,SELL_CARROT_cash,6881.496183206107
Top2,131,BUY_ANIMAL_GOOSE_cash,499.23664122137404
Top2,131,SELL_EGG_cash,3458.587786259542
Top2,131,BUY_SEED_TOMATO_cash,485.87786259541986
Top2,131,SELL_TOMATO_cash,5348.923664122138
Top3,151,BUY_PRODUCT_WHEAT_cash,4363.814569536424
Top3,151,SELL_WHEAT_cash,11525.298013245034
Top3,151,HIRE__cash,5481.0066225165565
Top3,151,BUY_ANIMAL_COW_cash,3793.3774834437086
Top3,151,BUY_ANIMAL_SHEEP_cash,4380.794701986755
Top3,151,BUY_SEED_MELON_cash,1234.9668874172185
Top3,151,BUY_SEED_WHEAT_cash,1333.3774834437086
Top3,151,SELL_FERTILIZER_cash,13555.41059602649
Top3,151,BUY_SEED_STRAWBERRY_cash,3267.5496688741723
Top3,151,SELL_WOOL_cash,28040.01324503311
Top3,151,BUY_LAND__cash,3000.0
Top3,151,BUY_PRODUCT_FERTILIZER_cash,491.2450331125828
Top3,151,SELL_MILK_cash,22497.56953642384
Top3,151,SELL_MELON_cash,15438.403973509934
Top3,151,SELL_STRAWBERRY_cash,30615.2119205298
Top3,151,BUY_SEED_CARROT_cash,800.794701986755
Top3,151,SELL_CARROT_cash,6539.211920529801
Top3,151,BUY_ANIMAL_GOOSE_cash,1559.6026490066224
Top3,151,SELL_EGG_cash,7715.887417218543
Top3,151,BUY_SEED_TOMATO_cash,652.317880794702
Top3,151,SELL_TOMATO_cash,7727.0
v124,157,BUY_PRODUCT_WHEAT_cash,7387.738853503185
v124,157,SELL_WHEAT_cash,14974.146496815287
v124,157,HIRE__cash,4550.547770700637
v124,157,BUY_ANIMAL_COW_cash,3057.3248407643314
v124,157,BUY_ANIMAL_SHEEP_cash,3328.0254777070063
v124,157,BUY_SEED_MELON_cash,959.4904458598726
v124,157,BUY_SEED_WHEAT_cash,1628.6624203821657
v124,157,SELL_FERTILIZER_cash,15044.649681528663
v124,157,BUY_SEED_STRAWBERRY_cash,3294.267515923567
v124,157,SELL_WOOL_cash,19019.101910828027
v124,157,BUY_LAND__cash,3509.5541401273886
v124,157,BUY_PRODUCT_FERTILIZER_cash,2091.3375796178343
v124,157,SELL_MILK_cash,19661.71974522293
v124,157,SELL_MELON_cash,14439.898089171975
v124,157,SELL_STRAWBERRY_cash,30092.535031847136
v124,157,BUY_SEED_CARROT_cash,631.3375796178344
v124,157,SELL_CARROT_cash,5214.796178343949
v124,157,BUY_ANIMAL_GOOSE_cash,750.9554140127389
v124,157,SELL_EGG_cash,3454.0382165605097
v124,157,BUY_SEED_TOMATO_cash,63.69426751592356
v124,157,SELL_TOMATO_cash,1848.8853503184714
