episode_id,opponent_rating,result,margin,net_WHEAT,net_FERTILIZER,net_WOOL,net_MILK,net_STRAWBERRY,net_TOMATO,net_CARROT,net_EGG,net_MELON,HIRE_saving,BUY_LAND_saving,residual
111040483,1575.4725,win,8460.0,-4649,3107,12296,2425,1342,-3385,-3383,-3931,4360,278,0,0.0
111035739,1690.2298,loss,-7030.0,-4324,1303,15,329,1587,0,-3006,-3845,0,911,0,0.0
111019687,1641.606,win,2003.0,117,-146,869,-318,-607,0,2571,-51,0,-432,0,0.0
110999931,1571.6565,win,8205.0,-1475,33,5886,3386,226,0,-371,164,0,356,0,0.0
110979990,1597.2321,win,6205.0,2233,-602,462,974,267,0,3924,-231,0,-822,0,0.0
110978058,1643.0549,win,1422.0,-205,52,377,1495,3,0,-54,0,-47,-199,0,0.0
110957591,1613.4721,loss,-2086.0,-190,-61,-294,142,-1613,0,-12,-58,0,0,0,0.0
110937716,1640.0469,win,5402.0,1040,-81,3928,593,198,0,12,0,0,-288,0,0.0
110933372,1648.6291,win,10900.0,528,-425,14406,815,-870,0,2430,-3874,-47,-2063,0,0.0
110914648,1563.6423,win,28455.0,-3885,3155,42400,2643,-6413,-2096,-7372,-3845,3954,-86,0,0.0
110907562,1717.3637,loss,-3382.0,-2543,711,-478,627,-144,0,-2000,-233,0,678,0,0.0
110895238,1635.1977,win,6773.0,1471,911,-158,5126,567,0,28,-350,0,-822,0,0.0
110891878,1594.05,win,3798.0,3160,-275,46,-61,773,0,578,-67,0,-356,0,0.0
110880139,1643.2224,loss,-10124.0,-2782,1088,-73,-148,617,0,-9768,-257,0,1199,0,0.0
110873211,1629.2726,loss,-11969.0,1574,-989,14092,-19342,-3200,0,21,-2782,0,-1343,0,0.0
110872085,1639.5968,loss,-3246.0,169,148,-2469,7,-1364,-64,23,-42,346,0,0,0.0
110870969,1692.6906,loss,-1766.0,-848,27,-363,-636,-75,0,-52,3,0,178,0,0.0
110869864,1644.3372,loss,-5046.0,-3273,256,-1726,843,-1187,0,-912,0,0,953,0,0.0
110868767,1592.1521,loss,-4823.0,35,341,-3307,-1106,1995,-2043,2056,-3459,-474,1139,0,0.0
110867652,1640.012,win,1674.0,400,-163,-1067,1821,619,0,-69,133,0,0,0,0.0
110866554,1666.1521,loss,-2433.0,660,-314,-198,102,27,-1704,-2,-338,-1365,699,0,0.0
110865488,1628.9226,loss,-1826.0,48,-144,-472,-785,-442,0,-31,0,0,0,0,0.0
110864342,1624.6445,loss,-587.0,520,-410,-1851,-80,944,0,14,276,0,0,0,0.0
110863249,1721.6577,loss,-2062.0,-2280,398,-1262,-223,561,0,-298,364,0,678,0,0.0
