episode_id,sid,opponent_submission,opponent_rating,result,margin,nearest_v124_units_samefraction,nearest_v124_units_episode,old_exact_first144_units_exists,opp_first_difference_units,opp_samefraction_units,opp_hash100_units,nearest_v124_market_samefraction,nearest_v124_market_episode,old_exact_first144_market_exists,opp_first_difference_market,opp_samefraction_market,opp_hash100_market,nearest_v124_all_samefraction,nearest_v124_all_episode,old_exact_first144_all_exists,opp_first_difference_all,opp_samefraction_all,opp_hash100_all,opp_same_units_prefix24,opp_same_market_prefix24,opp_same_units_prefix72,opp_same_market_prefix72,opp_same_units_prefix100,opp_same_market_prefix100,opp_same_units_prefix120,opp_same_market_prefix120,opp_same_units_prefix144,opp_same_market_prefix144,opp_same_units_prefix216,opp_same_market_prefix216,opp_same_units_prefix288,opp_same_market_prefix288,opp_portfolio_equal_all30days,opp_portfolio_equal_selected,margin_t72,portfolio_L1_t72,delta_COW_t72,delta_SHEEP_t72,delta_GOOSE_t72,delta_WHEAT_t72,delta_CARROT_t72,delta_TOMATO_t72,delta_STRAWBERRY_t72,delta_MELON_t72,margin_t144,portfolio_L1_t144,delta_COW_t144,delta_SHEEP_t144,delta_GOOSE_t144,delta_WHEAT_t144,delta_CARROT_t144,delta_TOMATO_t144,delta_STRAWBERRY_t144,delta_MELON_t144,margin_t216,portfolio_L1_t216,delta_COW_t216,delta_SHEEP_t216,delta_GOOSE_t216,delta_WHEAT_t216,delta_CARROT_t216,delta_TOMATO_t216,delta_STRAWBERRY_t216,delta_MELON_t216,margin_t288,portfolio_L1_t288,delta_COW_t288,delta_SHEEP_t288,delta_GOOSE_t288,delta_WHEAT_t288,delta_CARROT_t288,delta_TOMATO_t288,delta_STRAWBERRY_t288,delta_MELON_t288,margin_t360,portfolio_L1_t360,delta_COW_t360,delta_SHEEP_t360,delta_GOOSE_t360,delta_WHEAT_t360,delta_CARROT_t360,delta_TOMATO_t360,delta_STRAWBERRY_t360,delta_MELON_t360,margin_t432,portfolio_L1_t432,delta_COW_t432,delta_SHEEP_t432,delta_GOOSE_t432,delta_WHEAT_t432,delta_CARROT_t432,delta_TOMATO_t432,delta_STRAWBERRY_t432,delta_MELON_t432,margin_t480,portfolio_L1_t480,delta_COW_t480,delta_SHEEP_t480,delta_GOOSE_t480,delta_WHEAT_t480,delta_CARROT_t480,delta_TOMATO_t480,delta_STRAWBERRY_t480,delta_MELON_t480,margin_t504,portfolio_L1_t504,delta_COW_t504,delta_SHEEP_t504,delta_GOOSE_t504,delta_WHEAT_t504,delta_CARROT_t504,delta_TOMATO_t504,delta_STRAWBERRY_t504,delta_MELON_t504,margin_t576,portfolio_L1_t576,delta_COW_t576,delta_SHEEP_t576,delta_GOOSE_t576,delta_WHEAT_t576,delta_CARROT_t576,delta_TOMATO_t576,delta_STRAWBERRY_t576,delta_MELON_t576,margin_t648,portfolio_L1_t648,delta_COW_t648,delta_SHEEP_t648,delta_GOOSE_t648,delta_WHEAT_t648,delta_CARROT_t648,delta_TOMATO_t648,delta_STRAWBERRY_t648,delta_MELON_t648,margin_t696,portfolio_L1_t696,delta_COW_t696,delta_SHEEP_t696,delta_GOOSE_t696,delta_WHEAT_t696,delta_CARROT_t696,delta_TOMATO_t696,delta_STRAWBERRY_t696,delta_MELON_t696,margin_t719,portfolio_L1_t719,delta_COW_t719,delta_SHEEP_t719,delta_GOOSE_t719,delta_WHEAT_t719,delta_CARROT_t719,delta_TOMATO_t719,delta_STRAWBERRY_t719,delta_MELON_t719
111215310,56384917,56391698,1659.5518656011288,loss,-6694.0,0.96105702364395,110823403,True,187,0.6481223922114048,0xd46c10da5cc413d9,0.8581363004172462,110856620,True,0,0.5966620305980529,0x1de9b4ce9bfaf96f,0.8289290681502086,110856620,True,0,0.4812239221140473,0x56ba801cd5457b94,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,-23.0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,-60.0,1,0,0,0,-1,0,0,0,0,-1458.0,0,0,0,0,0,0,0,0,0,-1169.0,0,0,0,0,0,0,0,0,0,-1186.0,0,0,0,0,0,0,0,0,0,-2184.0,0,0,0,0,0,0,0,0,0,-2161.0,2,0,0,0,1,-1,0,0,0,-2790.0,34,0,0,0,17,-17,0,0,0,-4435.0,5,0,0,1,2,-2,0,0,0,-5661.0,17,0,0,1,8,-8,0,0,0,-6694.0,1,0,0,1,0,0,0,0,0
111208123,56384917,56249664,1579.4097980833496,win,15313.0,1.0,110856362,True,18,0.7204450625869263,0x8159ad71b9c5cb8,0.885952712100139,110856362,True,0,0.7343532684283728,0xf993e6b9b0ae9196,0.885952712100139,110856362,True,0,0.5632823365785814,0xcb9642d53e1047ba,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,1,0,0,0,0,0,0,0,1,-59.0,1,0,0,0,0,0,0,0,1,-59.0,1,0,0,0,0,0,0,0,1,1196.0,0,0,0,0,0,0,0,0,0,443.0,10,0,0,0,5,-5,0,0,0,2287.0,0,0,0,0,0,0,0,0,0,4939.0,0,0,0,0,0,0,0,0,0,5852.0,0,0,0,0,0,0,0,0,0,8640.0,6,0,0,0,3,-3,0,0,0,11779.0,0,0,0,0,0,0,0,0,0,11494.0,0,0,0,0,0,0,0,0,0,15313.0,0,0,0,0,0,0,0,0,0
111206959,56384917,56140646,1555.124556398968,win,773.0,0.9944367176634215,110837769,True,152,0.6842837273991655,0xd46c10da5cc413d9,0.9318497913769124,110837769,True,0,0.6091794158553546,0x9d194d926d174a3e,0.9276773296244785,110837769,True,0,0.47705146036161333,0xc9076897c6a9ab40,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,-10.0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,-12.0,1,0,0,0,1,0,0,0,0,-218.0,0,0,0,0,0,0,0,0,0,-229.0,0,0,0,0,0,0,0,0,0,110.0,0,0,0,0,0,0,0,0,0,-369.0,0,0,0,0,0,0,0,0,0,-856.0,0,0,0,0,0,0,0,0,0,59.0,0,0,0,0,0,0,0,0,0,-430.0,0,0,0,0,0,0,0,0,0,-231.0,0,0,0,0,0,0,0,0,0,773.0,0,0,0,0,0,0,0,0,0
111205847,56384917,56361303,1559.2817901259095,loss,-10983.0,0.9860917941585535,110881767,True,1,0.004172461752433936,0x38b1296f42628b77,0.9916550764951322,110881767,True,0,0.2517385257301808,0x6996f80dead705b3,0.9791376912378303,110881767,True,0,0.0,0xcd31d1b19714f5f9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,158.0,5,1,-1,0,1,0,0,-2,0,29.0,10,2,-1,0,3,0,0,-4,0,313.0,17,2,-5,0,-2,0,-1,7,0,8150.0,31,0,-5,0,-7,0,-2,15,-2,-2944.0,16,0,-5,0,1,0,-2,8,0,-4576.0,20,0,-5,0,7,0,-3,5,0,-7104.0,22,0,-5,0,6,0,-3,8,0,-6965.0,20,0,-5,0,-1,0,-2,12,0,-7274.0,13,0,-3,0,4,0,-2,4,0,-8433.0,40,0,-2,0,-12,23,-2,-1,0,-11806.0,23,0,2,0,2,6,-2,-11,0,-10983.0,12,0,2,0,-1,0,-1,-8,0
111204739,56384917,56166340,1517.5986047882373,win,1375.0,0.9930458970792768,110847763,True,186,0.6842837273991655,0xd46c10da5cc413d9,0.9874826147426982,110847763,True,0,0.6091794158553546,0xeb6f1a73c2b2a743,0.980528511821975,110847763,True,0,0.5076495132127955,0x67871f0077224920,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,-10.0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,925.0,2,1,-1,0,0,0,0,0,0,1444.0,2,1,-1,0,0,0,0,0,0,654.0,2,1,-1,0,0,0,0,0,0,1693.0,2,1,-1,0,0,0,0,0,0,2180.0,2,1,-1,0,0,0,0,0,0,650.0,12,1,-1,0,-5,5,0,0,0,248.0,7,1,-1,-1,-2,2,0,0,0,2543.0,21,1,-1,-1,-9,9,0,0,0,1375.0,3,1,-1,-1,0,0,0,0,0
111203616,56384917,56248129,1606.2457991971964,loss,-28406.0,0.7746870653685675,110853291,True,152,0.47705146036161333,0xd46c10da5cc413d9,0.8372739916550765,111007532,True,0,0.5966620305980529,0x72ebab40cb718a44,0.6912378303198887,110853291,True,0,0.37552155771905427,0x327f5f2065edd7ac,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,4.0,0,0,0,0,0,0,0,0,0,33.0,0,0,0,0,0,0,0,0,0,106.0,5,-2,2,0,-1,0,0,0,0,-12280.0,22,-4,-1,-3,-5,0,0,-1,8,-14658.0,12,-4,-1,-3,-2,0,0,-2,0,-21262.0,12,-4,-1,-3,-2,0,0,-2,0,-23466.0,11,-4,-1,-3,0,0,0,-3,0,-25273.0,11,-4,-1,-3,0,0,0,-3,0,-27974.0,9,-4,-1,-3,0,0,0,-1,0,-29970.0,8,-4,-1,-3,0,0,0,0,0,-31834.0,8,-4,-1,-3,0,0,0,0,0,-28406.0,8,-4,-1,-3,0,0,0,0,0
111202491,56384917,56188200,1459.747112357417,win,7164.0,0.9791376912378303,110881767,True,70,0.40751043115438107,0x6000d97688d43c33,0.9401947148817803,110869619,True,0,0.6815020862308763,0x921060b4107731c4,0.9012517385257302,110869619,True,0,0.3157162726008345,0x492208fa55aecd35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-10.0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,-41.0,0,0,0,0,0,0,0,0,0,1908.0,1,0,-1,0,0,0,0,0,0,1366.0,1,0,-1,0,0,0,0,0,0,2000.0,1,0,-1,0,0,0,0,0,0,2007.0,1,0,-1,0,0,0,0,0,0,1096.0,1,0,-1,0,0,0,0,0,0,1845.0,1,0,-1,0,0,0,0,0,0,3019.0,1,0,-1,0,0,0,0,0,0,5371.0,1,0,-1,0,0,0,0,0,0,7164.0,1,0,-1,0,0,0,0,0,0
111201362,56384917,56157551,1570.2375980708468,win,2297.0,0.9958275382475661,110856620,True,152,0.9791376912378303,0xd46c10da5cc413d9,0.874826147426982,110883974,True,0,0.7162726008344924,0xeb6f1a73c2b2a743,0.8581363004172462,110883974,True,0,0.7093184979137691,0x67871f0077224920,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,-10.0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,-7.0,0,0,0,0,0,0,0,0,0,-11.0,0,0,0,0,0,0,0,0,0,-706.0,0,0,0,0,0,0,0,0,0,493.0,0,0,0,0,0,0,0,0,0,-677.0,0,0,0,0,0,0,0,0,0,459.0,0,0,0,0,0,0,0,0,0,1137.0,0,0,0,0,0,0,0,0,0,649.0,0,0,0,0,0,0,0,0,0,3303.0,0,0,0,0,0,0,0,0,0,2297.0,0,0,0,0,0,0,0,0,0
111200251,56384917,56142249,1566.874053813492,loss,-3121.0,0.9972183588317107,110850849,True,144,0.41585535465924894,0xd46c10da5cc413d9,0.9388038942976356,110850849,True,0,0.5312934631432545,0xeb6f1a73c2b2a743,0.9360222531293463,110850849,True,0,0.2767732962447844,0x67871f0077224920,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,-10.0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,57.0,1,0,0,0,-1,0,0,0,0,-750.0,4,0,-1,0,-2,0,0,-1,0,416.0,2,0,-1,0,0,0,0,-1,0,-1964.0,2,0,-1,0,0,0,0,-1,0,-2106.0,2,0,-1,0,0,0,0,-1,0,-3361.0,2,0,-1,0,0,0,0,-1,0,-2218.0,2,0,-1,0,0,0,0,-1,0,-2226.0,7,0,-1,0,-3,3,0,0,0,-4942.0,3,0,-1,0,1,-1,0,0,0,-3121.0,1,0,-1,0,0,0,0,0,0
111199130,56384917,56376374,1531.2721390534662,loss,-15967.0,0.9499304589707928,110814566,True,1,0.0027816411682892906,0x4589a790f4ab055c,0.9221140472878998,110814566,True,0,0.2753824756606398,0x7d6413b9f1f9ada6,0.8887343532684284,110814566,True,0,0.0,0xafb08891cee9b4b9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,170.0,5,1,-1,0,1,0,0,-2,0,21.0,10,2,-1,0,3,0,0,-4,0,173.0,11,2,-4,0,3,0,0,-2,0,6499.0,22,1,-6,0,-3,0,0,10,-2,-3666.0,17,1,-6,0,0,0,0,10,0,-5038.0,32,1,-6,0,9,0,-6,10,0,-12357.0,40,1,-6,0,9,0,-9,15,0,-12446.0,38,1,-6,0,5,0,-9,17,0,-13947.0,36,1,-5,0,5,0,-9,16,0,-17086.0,65,1,-1,0,-17,25,-9,12,0,-21335.0,33,1,3,0,-10,13,-6,0,0,-15967.0,7,1,3,0,0,0,-3,0,0
