opponent_submission,group,n,wins,wr,margin,rating
55228029,v124,1,1,1.0,52054.0,738.0437
55279839,v125,1,1,1.0,73545.0,622.9353992097807
55289102,v125,1,1,1.0,53365.0,753.1105767597932
55322580,v124,1,1,1.0,41719.0,722.051
55439941,v125,1,1,1.0,17060.0,932.0517013191654
55442861,v125,1,1,1.0,51620.0,651.062461544185
55471684,v124,1,1,1.0,20366.0,985.5437
55484884,v125,1,1,1.0,18213.0,965.6154425221322
55492712,v124,1,1,1.0,12115.0,1028.7003
55501032,v124,1,1,1.0,22195.0,1021.6874
55501510,v125,1,1,1.0,36242.0,815.233969769048
55631215,v125,1,1,1.0,31238.0,1090.5067404840358
55652560,v124,1,1,1.0,57110.0,669.9084
55715067,v125,1,1,1.0,17931.0,959.5601760352477
55752070,v125,1,1,1.0,33912.0,1067.2381100734394
55826702,v125,1,1,1.0,104676.0,527.2280199983164
55837289,v125,1,1,1.0,21938.0,991.6456888413732
55871204,v125,1,1,1.0,34602.0,869.7439434062015
55879226,v124,1,1,1.0,13711.0,1136.1993
55894423,v125,1,1,1.0,16702.0,1222.2769917073836
55918156,v125,1,1,1.0,15204.0,639.3372126334359
55939308,v125,1,1,1.0,32662.0,1154.2436783033438
55996543,v124,1,1,1.0,4520.0,1332.8042
56011912,v124,1,1,1.0,30432.0,988.4342
56013829,v124,1,1,1.0,9999.0,1290.0002
56030839,v124,1,1,1.0,21824.0,1094.4347
56032751,v124,1,1,1.0,11431.0,1312.4944
56038777,v124,1,1,1.0,6224.0,1330.8244
56055565,v124,1,1,1.0,10179.0,1377.5873
56057930,v124,1,1,1.0,9133.0,1363.4994
56062250,v125,1,1,1.0,10261.0,1381.7391659829973
56077160,v125,1,1,1.0,13309.0,1360.992321784129
56079503,v124,1,1,1.0,35008.0,1202.3263
56084975,v125,1,1,1.0,13172.0,1373.8947223980497
56086648,v125,1,1,1.0,2065.0,1399.9762406722311
56088838,v124,1,1,1.0,3142.0,1430.5529
