group,lo,hi,n,wins,losses,winrate,mean_margin,median_margin,wilson_low,wilson_high
v124,0,1400.0,31,29,2,0.9354838709677419,22271.387096774193,20366.0,0.7928136326370187,0.9821252164780855
v124,1400,1500.0,27,22,5,0.8148148148148148,6427.592592592592,3567.0,0.6330131638145156,0.9181929285702346
v124,1500,1600.0,39,23,16,0.5897435897435898,-2635.6153846153848,1473.0,0.4341862288289696,0.7292068999927482
v124,1600,1700.0,40,19,21,0.475,-908.775,-513.5,0.329354701126789,0.6250263789330753
v124,1700,inf,20,6,14,0.3,1425.45,-2219.5,0.14547724486760422,0.5189728183535234
v124,1600,inf,60,25,35,0.4166666666666667,-130.7,-668.5,0.30064278558341617,0.5427191897735989
Top2,0,1400.0,11,11,0,1.0,57747.27272727273,51243.0,0.7411670330319682,1.0
Top2,1400,1500.0,2,2,0,1.0,13312.5,13312.5,0.342380227506653,1.0
Top2,1500,1600.0,0,0,0,,,,,
Top2,1600,1700.0,3,3,0,1.0,25564.333333333332,23703.0,0.43850296824495444,1.0
Top2,1700,inf,115,102,13,0.8869565217391304,9878.53043478261,9677.0,0.8161609755177398,0.9327359236214875
Top2,1600,inf,118,105,13,0.8898305084745762,10277.322033898305,9715.0,0.8206025262081226,0.9344770738760343
Top3,0,1400.0,9,9,0,1.0,75702.11111111111,62166.0,0.7008549515804557,0.9999999999999999
Top3,1400,1500.0,2,2,0,1.0,33244.5,33244.5,0.342380227506653,1.0
Top3,1500,1600.0,0,0,0,,,,,
Top3,1600,1700.0,2,2,0,1.0,21748.0,21748.0,0.342380227506653,1.0
Top3,1700,inf,139,109,30,0.7841726618705036,10292.143884892086,10879.0,0.7086336549355519,0.8444270646358369
Top3,1600,inf,141,111,30,0.7872340425531915,10454.63829787234,11199.0,0.7125314409183947,0.8467007061443714
Top1,0,1400.0,11,11,0,1.0,53997.72727272727,46412.0,0.7411670330319682,1.0
Top1,1400,1500.0,1,1,0,1.0,22190.0,22190.0,0.2065493143772374,1.0
Top1,1500,1600.0,2,2,0,1.0,19089.5,19089.5,0.342380227506653,1.0
Top1,1600,1700.0,0,0,0,,,,,
Top1,1700,inf,564,422,142,0.74822695035461,4648.847517730496,4491.0,0.7108092338341765,0.7822861463120887
Top1,1600,inf,564,422,142,0.74822695035461,4648.847517730496,4491.0,0.7108092338341765,0.7822861463120887
v125,0,1400.0,30,29,1,0.9666666666666667,28397.733333333334,17495.5,0.8332960900859081,0.9940914096183875
v125,1400,1500.0,26,17,9,0.6538461538461539,4617.076923076923,3344.0,0.4622057118881081,0.8058776967705948
v125,1500,1600.0,46,29,17,0.6304347826086957,522.9347826086956,1809.0,0.486000964233897,0.7547624540916038
v125,1600,1700.0,27,4,23,0.14814814814814814,-6872.111111111111,-4409.0,0.05915927776244331,0.3247868542781298
v125,1700,inf,1,0,1,0.0,-3976.0,-3976.0,0.0,0.7934506856227627
v125,1600,inf,28,4,24,0.14285714285714285,-6768.678571428572,-4192.5,0.05699005319749395,0.314898021635253
