episode_id,sid,opponent_rating,result,margin,item,own_sales,opp_sales,own_buy,opp_buy,delta_sales,net_delta,own_qty,opp_qty,own_price,opp_price,qty_effect,price_effect
111215310,56384917,1659.5518656011288,loss,-6694.0,WHEAT,10046,10841,7013,5999,-795,-1809,307,318,32.72312703583062,34.09119496855346,-367.47877102411246,-427.52122897588674
111215310,56384917,1659.5518656011288,loss,-6694.0,CARROT,5045,11325,620,1320,-6280,-5580,84,186,60.05952380952381,60.88709677419355,-6168.277649769586,-111.72235023041509
111215310,56384917,1659.5518656011288,loss,-6694.0,TOMATO,0,0,0,0,0,0,0,0,,,,
111215310,56384917,1659.5518656011288,loss,-6694.0,STRAWBERRY,20038,19963,3300,3300,75,75,249,247,80.47389558232932,80.82186234817814,161.29575793050748,-86.29575793050833
111215310,56384917,1659.5518656011288,loss,-6694.0,MELON,14267,14267,960,960,0,0,72,72,198.15277777777777,198.15277777777777,0.0,0.0
111215310,56384917,1659.5518656011288,loss,-6694.0,EGG,3974,4417,900,900,-443,-443,78,86,50.94871794871795,51.36046511627907,-409.2367322599881,-33.76326774001218
111215310,56384917,1659.5518656011288,loss,-6694.0,MILK,10829,10554,3200,3200,275,275,245,188,44.2,56.138297872340424,2859.6414893617025,-2584.641489361701
111215310,56384917,1659.5518656011288,loss,-6694.0,WOOL,27819,28674,3000,3000,-855,-855,161,161,172.7888198757764,178.09937888198758,0.0,-854.9999999999998
111215310,56384917,1659.5518656011288,loss,-6694.0,FERTILIZER,14909,14489,1856,2401,420,965,348,341,42.8419540229885,42.489736070381234,298.66091532679405,121.3390846732042
111215310,56384917,1659.5518656011288,loss,-6694.0,HIRE,0,0,3630,4308,0,678,0,0,,,,
111215310,56384917,1659.5518656011288,loss,-6694.0,BUY_LAND,0,0,3000,3000,0,0,0,0,,,,
111208123,56384917,1579.4097980833496,win,15313.0,WHEAT,12365,17104,7137,7435,-4739,-4441,311,426,39.758842443729904,40.15023474178404,-4594.771938167052,-144.22806183294904
111208123,56384917,1579.4097980833496,win,15313.0,CARROT,2088,3411,620,780,-1323,-1163,84,125,24.857142857142858,27.288,-1068.9754285714287,-254.0245714285714
111208123,56384917,1579.4097980833496,win,15313.0,TOMATO,0,0,0,0,0,0,0,0,,,,
111208123,56384917,1579.4097980833496,win,15313.0,STRAWBERRY,23041,22213,3300,3300,828,828,249,251,92.53413654618474,88.4980079681275,-181.03214451431222,1009.0321445143111
111208123,56384917,1579.4097980833496,win,15313.0,MELON,14643,13385,960,880,1258,1178,72,66,203.375,202.8030303030303,1218.534090909091,39.4659090909085
111208123,56384917,1579.4097980833496,win,15313.0,EGG,4182,3965,900,900,217,217,78,74,53.61538461538461,53.58108108108108,214.3929313929314,2.60706860706847
111208123,56384917,1579.4097980833496,win,15313.0,MILK,59722,42032,3200,3200,17690,17690,245,175,243.76326530612246,240.18285714285713,16938.114285714288,751.8857142857198
111208123,56384917,1579.4097980833496,win,15313.0,WOOL,5552,5540,3000,3000,12,12,161,161,34.484472049689444,34.409937888198755,0.0,12.000000000000952
111208123,56384917,1579.4097980833496,win,15313.0,FERTILIZER,14553,14667,1810,2238,-114,314,354,352,41.110169491525426,41.66761363636363,82.77778312788905,-196.77778312788723
111208123,56384917,1579.4097980833496,win,15313.0,HIRE,0,0,3630,4308,0,678,0,0,,,,
111208123,56384917,1579.4097980833496,win,15313.0,BUY_LAND,0,0,3000,3000,0,0,0,0,,,,
111206959,56384917,1555.124556398968,win,773.0,WHEAT,15894,11118,7213,6990,4776,4553,430,301,36.96279069767442,36.93687707641196,4766.528571428572,9.471428571429534
111206959,56384917,1555.124556398968,win,773.0,CARROT,4650,4137,620,620,513,513,94,84,49.46808510638298,49.25,493.5904255319149,19.409574468085147
111206959,56384917,1555.124556398968,win,773.0,TOMATO,0,0,0,0,0,0,0,0,,,,
111206959,56384917,1555.124556398968,win,773.0,STRAWBERRY,10855,10971,3300,3300,-116,-116,237,249,45.80168776371308,44.06024096385542,-539.1715723654111,423.17157236541203
111206959,56384917,1555.124556398968,win,773.0,MELON,14267,14267,960,960,0,0,72,72,198.15277777777777,198.15277777777777,0.0,0.0
111206959,56384917,1555.124556398968,win,773.0,EGG,3879,4592,900,900,-713,-713,66,78,58.77272727272727,58.87179487179487,-705.8671328671328,-7.132867132866863
111206959,56384917,1555.124556398968,win,773.0,MILK,9641,9593,3200,3200,48,48,206,243,46.800970873786405,39.477366255144034,-1596.1492368852132,1644.1492368852123
111206959,56384917,1555.124556398968,win,773.0,WOOL,17056,17885,3000,3000,-829,-829,147,161,116.02721088435374,111.08695652173913,-1589.7991718426501,760.7991718426499
111206959,56384917,1555.124556398968,win,773.0,FERTILIZER,14870,15289,3125,1916,-419,-1628,342,349,43.47953216374269,43.808022922636106,-305.5064428023258,-113.49355719767524
111206959,56384917,1555.124556398968,win,773.0,HIRE,0,0,4685,3630,0,-1055,0,0,,,,
111206959,56384917,1555.124556398968,win,773.0,BUY_LAND,0,0,3000,3000,0,0,0,0,,,,
111205847,56384917,1559.2817901259095,loss,-10983.0,WHEAT,12020,16998,5946,8982,-4978,-1942,307,410,39.153094462540714,41.458536585365856,-4151.4989989671885,-826.5010010328132
111205847,56384917,1559.2817901259095,loss,-10983.0,CARROT,3563,1155,620,220,2408,2008,84,27,42.416666666666664,42.77777777777778,2428.0416666666665,-20.041666666666842
111205847,56384917,1559.2817901259095,loss,-10983.0,TOMATO,0,3343,0,200,-3343,-3143,0,28,,119.39285714285714,,
111205847,56384917,1559.2817901259095,loss,-10983.0,STRAWBERRY,26008,16271,3300,2900,9737,9337,247,198,105.29554655870446,82.17676767676768,4593.071698769068,5143.928301230932
111205847,56384917,1559.2817901259095,loss,-10983.0,MELON,16401,12218,960,960,4183,4183,72,72,227.79166666666666,169.69444444444446,0.0,4182.999999999998
111205847,56384917,1559.2817901259095,loss,-10983.0,EGG,0,0,0,0,0,0,0,0,,,,
111205847,56384917,1559.2817901259095,loss,-10983.0,MILK,10388,7544,2400,2400,2844,2844,175,172,59.36,43.86046511627907,154.83069767441862,2689.1693023255807
111205847,56384917,1559.2817901259095,loss,-10983.0,WOOL,36403,61202,5000,7500,-24799,-22299,250,358,145.612,170.95530726256985,-17094.634592178772,-7704.365407821235
111205847,56384917,1559.2817901259095,loss,-10983.0,FERTILIZER,12577,13539,978,0,-962,-1940,337,278,37.32047477744807,48.701438848920866,2537.6464519778833,-3499.6464519778847
111205847,56384917,1559.2817901259095,loss,-10983.0,HIRE,0,0,4973,4942,0,-31,0,0,,,,
111205847,56384917,1559.2817901259095,loss,-10983.0,BUY_LAND,0,0,3000,3000,0,0,0,0,,,,
111204739,56384917,1517.5986047882373,win,1375.0,WHEAT,11674,9743,6622,6980,1931,2289,359,304,32.51810584958217,32.04934210526316,1775.6048187582467,155.3951812417527
111204739,56384917,1517.5986047882373,win,1375.0,CARROT,9229,5311,1080,620,3918,3458,146,84,63.21232876712329,63.226190476190474,3919.5940965427267,-1.594096542726362
111204739,56384917,1517.5986047882373,win,1375.0,TOMATO,0,0,0,0,0,0,0,0,,,,
111204739,56384917,1517.5986047882373,win,1375.0,STRAWBERRY,16260,15981,3300,3300,279,279,249,249,65.3012048192771,64.18072289156626,0.0,278.9999999999995
111204739,56384917,1517.5986047882373,win,1375.0,MELON,14267,14267,960,960,0,0,72,72,198.15277777777777,198.15277777777777,0.0,0.0
111204739,56384917,1517.5986047882373,win,1375.0,EGG,3591,3420,900,900,171,171,81,78,44.333333333333336,43.84615384615385,132.26923076923077,38.730769230769376
111204739,56384917,1517.5986047882373,win,1375.0,MILK,47553,44897,3600,3200,2656,2256,266,245,178.77067669172934,183.25306122448978,3801.249248120301,-1145.2492481202946
111204739,56384917,1517.5986047882373,win,1375.0,WOOL,9113,15005,2500,3000,-5892,-5392,87,161,104.74712643678161,93.19875776397515,-7323.997715428,1431.9977154280011
111204739,56384917,1517.5986047882373,win,1375.0,FERTILIZER,14492,14857,2364,1865,-365,-864,344,342,42.127906976744185,43.441520467836256,85.56942744458044,-450.5694274445801
111204739,56384917,1517.5986047882373,win,1375.0,HIRE,0,0,4452,3630,0,-822,0,0,,,,
111204739,56384917,1517.5986047882373,win,1375.0,BUY_LAND,0,0,3000,3000,0,0,0,0,,,,
111203616,56384917,1606.2457991971964,loss,-28406.0,WHEAT,15064,10631,5420,6788,4433,5801,431,307,34.951276102088165,34.62866449511401,4313.9563170265355,119.04368297346375
111203616,56384917,1606.2457991971964,loss,-28406.0,CARROT,7730,5717,620,620,2013,2013,111,84,69.63963963963964,68.05952380952381,1858.9387065637065,154.0612934362934
111203616,56384917,1606.2457991971964,loss,-28406.0,TOMATO,0,0,0,0,0,0,0,0,,,,
111203616,56384917,1606.2457991971964,loss,-28406.0,STRAWBERRY,12078,14769,3300,3300,-2691,-2691,192,249,62.90625,59.31325301204819,-3483.2558358433735,792.2558358433735
111203616,56384917,1606.2457991971964,loss,-28406.0,MELON,7738,16848,960,960,-9110,-9110,36,72,214.94444444444446,234.0,-8081.0,-1028.9999999999993
111203616,56384917,1606.2457991971964,loss,-28406.0,EGG,0,4182,0,900,-4182,-3282,0,78,,53.61538461538461,,
111203616,56384917,1606.2457991971964,loss,-28406.0,MILK,6224,8711,2400,3200,-2487,-1687,106,245,58.716981132075475,35.55510204081633,-6551.90978051598,4064.90978051598
111203616,56384917,1606.2457991971964,loss,-28406.0,WOOL,30315,38135,5000,3000,-7820,-9820,128,161,236.8359375,236.86335403726707,-7816.0383103649065,-3.9616896350919433
111203616,56384917,1606.2457991971964,loss,-28406.0,FERTILIZER,12231,18404,4087,2350,-6173,-7910,213,351,57.42253521126761,52.433048433048434,-7580.035271457807,1407.035271457807
111203616,56384917,1606.2457991971964,loss,-28406.0,HIRE,0,0,5350,3630,0,-1720,0,0,,,,
111203616,56384917,1606.2457991971964,loss,-28406.0,BUY_LAND,0,0,3000,3000,0,0,0,0,,,,
111202491,56384917,1459.747112357417,win,7164.0,WHEAT,11885,9668,5770,6668,2217,3115,309,254,38.46278317152104,38.06299212598425,2104.4588206813955,112.5411793186056
111202491,56384917,1459.747112357417,win,7164.0,CARROT,5256,4721,620,620,535,535,84,76,62.57142857142857,62.11842105263158,498.7593984962406,36.24060150375897
111202491,56384917,1459.747112357417,win,7164.0,TOMATO,0,0,0,0,0,0,0,0,,,,
111202491,56384917,1459.747112357417,win,7164.0,STRAWBERRY,17459,15677,3300,3300,1782,1782,247,232,70.6842105263158,67.57327586206897,1036.9311479128858,745.068852087115
111202491,56384917,1459.747112357417,win,7164.0,MELON,14294,14229,960,960,65,65,72,72,198.52777777777777,197.625,0.0,64.99999999999955
111202491,56384917,1459.747112357417,win,7164.0,EGG,0,0,0,0,0,0,0,0,,,,
111202491,56384917,1459.747112357417,win,7164.0,MILK,8982,8292,2400,2400,690,690,172,181,52.22093023255814,45.812154696132595,-441.1488821791083,1131.1488821791086
111202491,56384917,1459.747112357417,win,7164.0,WOOL,29008,26913,5000,5500,2095,2595,249,242,116.49799196787149,111.2107438016529,796.9805751933353,1298.0194248066637
111202491,56384917,1459.747112357417,win,7164.0,FERTILIZER,13544,14588,1091,1860,-1044,-275,333,330,40.672672672672675,44.2060606060606,127.31809991809992,-1171.3180999180981
111202491,56384917,1459.747112357417,win,7164.0,HIRE,0,0,4973,3630,0,-1343,0,0,,,,
111202491,56384917,1459.747112357417,win,7164.0,BUY_LAND,0,0,3000,3000,0,0,0,0,,,,
111201362,56384917,1570.2375980708468,win,2297.0,WHEAT,13184,12959,7324,7105,225,6,311,304,42.39228295819936,42.62828947368421,297.5720035115925,-72.57200351159221
111201362,56384917,1570.2375980708468,win,2297.0,CARROT,2881,2860,620,620,21,21,84,84,34.29761904761905,34.04761904761905,0.0,21.0
