group,subset,seat,n,wins,winrate,margin,opp_rating
v124,all,0,89,55,0.6179775280898876,3439.0112359550562,1511.1282831460674
v124,all,1,68,44,0.6470588235294118,6577.279411764706,1469.2237882352943
v124,opp1500+,0,61,31,0.5081967213114754,-1728.622950819672,1634.794975409836
v124,opp1500+,1,38,17,0.4473684210526316,-136.44736842105263,1636.373257894737
v124,opp1600+,0,38,17,0.4473684210526316,-1137.842105263158,1684.238344736842
v124,opp1600+,1,22,8,0.36363636363636365,1608.909090909091,1684.2111454545454
Top2,all,0,60,56,0.9333333333333333,12646.783333333333,2775.6587104180967
Top2,all,1,71,62,0.8732394366197183,15714.957746478873,2606.922395604738
Top2,opp1500+,0,56,52,0.9285714285714286,10532.17857142857,2891.7159346565722
Top2,opp1500+,1,62,53,0.8548387096774194,10047.129032258064,2854.8368539057788
Top2,opp1600+,0,56,52,0.9285714285714286,10532.17857142857,2891.7159346565722
Top2,opp1600+,1,62,53,0.8548387096774194,10047.129032258064,2854.8368539057788
Top3,all,0,68,53,0.7794117647058824,12943.29411764706,2751.3579859412375
Top3,all,1,84,69,0.8214285714285714,15973.42857142857,2688.488968303729
Top3,opp1500+,0,65,50,0.7692307692307693,11504.8,2821.8918166646226
Top3,opp1500+,1,76,61,0.8026315789473685,9556.473684210527,2869.9979456688757
Top3,opp1600+,0,65,50,0.7692307692307693,11504.8,2821.8918166646226
Top3,opp1600+,1,76,61,0.8026315789473685,9556.473684210527,2869.9979456688757
Top1,all,0,291,211,0.7250859106529209,5493.79381443299,2981.706649271626
Top1,all,1,287,225,0.7839721254355401,5845.296167247387,2983.738288620449
Top1,opp1500+,0,284,204,0.7183098591549296,4273.654929577465,3031.948397816008
Top1,opp1500+,1,282,220,0.7801418439716312,5129.117021276596,3017.5745191313813
Top1,opp1600+,0,283,203,0.7173144876325088,4217.480565371025,3037.155462043819
Top1,opp1600+,1,281,219,0.7793594306049823,5083.284697508897,3022.841803111497
v125,all,0,67,44,0.6567164179104478,5683.373134328358,1463.0369653507005
v125,all,1,63,35,0.5555555555555556,6757.492063492064,1433.2038823448327
v125,opp1500+,0,38,20,0.5263157894736842,-966.9473684210526,1583.4356925618665
v125,opp1500+,1,36,13,0.3611111111111111,-3575.6666666666665,1587.0784349380385
v125,opp1600+,0,15,3,0.2,-4759.2,1629.2949895559389
v125,opp1600+,1,13,1,0.07692307692307693,-9087.307692307691,1652.189127348567
