episode_id,create_time,end_time,state,episode_type,agent_0_submission_id,agent_1_submission_id,agent_0_initial_score,agent_1_initial_score,agent_0_updated_score,agent_1_updated_score,target_submission,archive,submission_seat,opponent_submission_id,team_name,opponent_team_name,result,own_reward,opponent_reward,step_count,seat,opponent_submission,opponent_rating,initial_rating,updated_rating,margin,module_version,steps,overage_min,money_72,margin_72,COW_72,SHEEP_72,GOOSE_72,WHEAT_72,CARROT_72,TOMATO_72,STRAWBERRY_72,MELON_72,land_72,money_144,margin_144,COW_144,SHEEP_144,GOOSE_144,WHEAT_144,CARROT_144,TOMATO_144,STRAWBERRY_144,MELON_144,land_144,money_216,margin_216,COW_216,SHEEP_216,GOOSE_216,WHEAT_216,CARROT_216,TOMATO_216,STRAWBERRY_216,MELON_216,land_216,money_288,margin_288,COW_288,SHEEP_288,GOOSE_288,WHEAT_288,CARROT_288,TOMATO_288,STRAWBERRY_288,MELON_288,land_288,money_360,margin_360,COW_360,SHEEP_360,GOOSE_360,WHEAT_360,CARROT_360,TOMATO_360,STRAWBERRY_360,MELON_360,land_360,money_432,margin_432,COW_432,SHEEP_432,GOOSE_432,WHEAT_432,CARROT_432,TOMATO_432,STRAWBERRY_432,MELON_432,land_432,money_504,margin_504,COW_504,SHEEP_504,GOOSE_504,WHEAT_504,CARROT_504,TOMATO_504,STRAWBERRY_504,MELON_504,land_504,money_576,margin_576,COW_576,SHEEP_576,GOOSE_576,WHEAT_576,CARROT_576,TOMATO_576,STRAWBERRY_576,MELON_576,land_576,money_648,margin_648,COW_648,SHEEP_648,GOOSE_648,WHEAT_648,CARROT_648,TOMATO_648,STRAWBERRY_648,MELON_648,land_648,money_696,margin_696,COW_696,SHEEP_696,GOOSE_696,WHEAT_696,CARROT_696,TOMATO_696,STRAWBERRY_696,MELON_696,land_696,money_719,margin_719,COW_719,SHEEP_719,GOOSE_719,WHEAT_719,CARROT_719,TOMATO_719,STRAWBERRY_719,MELON_719,land_719,max_COW,max_SHEEP,max_GOOSE,max_WHEAT,max_CARROT,max_TOMATO,max_STRAWBERRY,max_MELON,lost_COW,lost_SHEEP,lost_GOOSE,total_lost_animals,final_shed,final_carry,max_hands,hands_days,same_opening_120,hash_120,opening144_all,opening144_units,opening144_market,op_PASS,op_NORTH,op_SOUTH,op_PICKUP,op_BUILD_PASTURE,op_PLACE,op_WEST,op_CARE,op_PLANT,op_WATER,op_FEED,op_COLLECT_FERTILIZER,op_EAST,op_HARVEST,op_DROP,op_DIG,op_BUILD_COOP,op_FERTILIZE,orders_BUY_PRODUCT,BUY_PRODUCT_WHEAT,orders_SELL,SELL_WHEAT,orders_HIRE,orders_BUY_ANIMAL,BUY_ANIMAL_COW,BUY_ANIMAL_SHEEP,orders_BUY_SEED,BUY_SEED_MELON,BUY_SEED_WHEAT,SELL_FERTILIZER,BUY_SEED_STRAWBERRY,SELL_WOOL,orders_BUY_LAND,BUY_PRODUCT_FERTILIZER,SELL_MILK,BUY_ANIMAL_GOOSE,SELL_MELON,SELL_EGG,SELL_STRAWBERRY,BUY_SEED_CARROT,SELL_CARROT,orders_PASS,BUY_SEED_TOMATO,SELL_TOMATO,own_money_error_count,inventory_error_count,flows_reconciled,ledger_cash,ledger_residual,actual_BUY_PRODUCT_WHEAT_qty,actual_BUY_PRODUCT_WHEAT_cash,actual_SELL_WHEAT_qty,actual_SELL_WHEAT_cash,actual_HIRE__qty,actual_HIRE__cash,actual_BUY_ANIMAL_COW_qty,actual_BUY_ANIMAL_COW_cash,actual_BUY_ANIMAL_SHEEP_qty,actual_BUY_ANIMAL_SHEEP_cash,actual_BUY_SEED_MELON_qty,actual_BUY_SEED_MELON_cash,actual_BUY_SEED_WHEAT_qty,actual_BUY_SEED_WHEAT_cash,actual_SELL_FERTILIZER_qty,actual_SELL_FERTILIZER_cash,actual_BUY_SEED_STRAWBERRY_qty,actual_BUY_SEED_STRAWBERRY_cash,actual_SELL_WOOL_qty,actual_SELL_WOOL_cash,actual_BUY_LAND__qty,actual_BUY_LAND__cash,actual_BUY_PRODUCT_FERTILIZER_qty,actual_BUY_PRODUCT_FERTILIZER_cash,actual_SELL_MILK_qty,actual_SELL_MILK_cash,actual_BUY_ANIMAL_GOOSE_qty,actual_BUY_ANIMAL_GOOSE_cash,actual_SELL_MELON_qty,actual_SELL_MELON_cash,actual_SELL_EGG_qty,actual_SELL_EGG_cash,actual_SELL_STRAWBERRY_qty,actual_SELL_STRAWBERRY_cash,actual_BUY_SEED_CARROT_qty,actual_BUY_SEED_CARROT_cash,actual_SELL_CARROT_qty,actual_SELL_CARROT_cash,verified_PASS_noop,verified_NORTH_ok,verified_SOUTH_ok,verified_PICKUP_ok,verified_BUILD_PASTURE_ok,verified_PLACE_ok,verified_placed_COW,verified_WEST_ok,verified_CARE_ok,verified_PLANT_ok,verified_planted_MELON,verified_placed_SHEEP,verified_WATER_ok,verified_FEED_ok,verified_feed_SHEEP,verified_planted_WHEAT,verified_feed_COW,verified_COLLECT_FERTILIZER_ok,verified_harvest_FERTILIZER,verified_EAST_ok,verified_HARVEST_ok,verified_harvest_WHEAT,verified_CARE_noop,verified_noop_reason_precondition,verified_COLLECT_FERTILIZER_noop,verified_DROP_ok,verified_WATER_noop,verified_planted_STRAWBERRY,verified_harvest_WOOL,verified_DIG_noop,verified_DIG_ok,verified_dug_WEED,verified_harvest_MILK,verified_HARVEST_noop,verified_harvest_MELON,verified_BUILD_COOP_ok,verified_placed_GOOSE,verified_feed_GOOSE,verified_FERTILIZE_ok,verified_fertilized_STRAWBERRY,verified_harvest_EGG,verified_harvest_STRAWBERRY,verified_dug_COOP,verified_dug_STRAWBERRY,verified_planted_CARROT,verified_harvest_CARROT,verified_noop_reason_wrong_tile,overflow_WHEAT,overflow_STRAWBERRY,overflow_EGG,overflow_FERTILIZER,overflow_CARROT,overflow_MILK,overflow_total,overflow_correction_negative,atomic_seed_cancellations,terminal_2days_feed,terminal_2days_care,terminal_2days_fert_collect,terminal_2days_buy_wheat,effective_opening144_hash,retired_tiles_crop_reused_daily_observation,realized_WHEAT_unitcash_sum,realized_FERTILIZER_unitcash_sum,realized_WOOL_unitcash_sum,realized_MILK_unitcash_sum,realized_MELON_unitcash_sum,realized_EGG_unitcash_sum,realized_MILK_under5_qty,realized_MILK_floor_qty,realized_STRAWBERRY_unitcash_sum,realized_STRAWBERRY_under5_qty,realized_STRAWBERRY_floor_qty,realized_FERTILIZER_under5_qty,realized_FERTILIZER_floor_qty,realized_CARROT_unitcash_sum,price_unit_cash_check,realized_WOOL_floor_qty,realized_WOOL_under5_qty,verified_fertilized_WHEAT,verified_fertilized_CARROT,overflow_WOOL,verified_PICKUP_noop,verified_PLACE_noop,verified_FEED_noop,verified_FERTILIZE_noop,verified_noop_reason_not_shed,verified_NORTH_noop,verified_noop_reason_boundary,verified_BUILD_COOP_noop,verified_PLANT_noop,verified_BUILD_PASTURE_noop,verified_DROP_noop,overflow_MELON,overflow_SHEEP,verified_noop_reason_locked,verified_dug_WHEAT,actual_BUY_SEED_TOMATO_qty,actual_BUY_SEED_TOMATO_cash,actual_SELL_TOMATO_qty,actual_SELL_TOMATO_cash,verified_planted_TOMATO,verified_fertilized_TOMATO,verified_harvest_TOMATO,realized_TOMATO_unitcash_sum,verified_EAST_noop,overflow_COW,verified_WEST_noop,verified_dug_PASTURE
111215310,2026-09-20T12:09:48.233986600Z,2026-09-20T12:13:39.165672300Z,COMPLETED,EPISODE_TYPE_PUBLIC,56391698,56384917,1659.5518656011288,1582.3865792803526,1706.6816322565085,1579.0817436237585,56384917,v125_submission_56384917.zip,1,,rsraki,Kousuke55,loss,82448.0,89142.0,720,1,56391698,1659.5518656011288,1582.3865792803526,1579.0817436237585,-6694.0,1.32.7,720,55.157115,198.0,-23.0,3,2,0,7,0,0,0,12,1,801.0,5.0,4,2,0,3,0,0,4,12,1,1466.0,-60.0,8,4,0,4,0,0,20,12,2,13595.0,-1458.0,8,6,3,20,0,0,33,0,3,22906.0,-1169.0,8,6,3,24,0,0,33,0,3,37221.0,-1186.0,8,6,3,25,0,0,33,0,3,50916.0,-2161.0,8,6,3,25,0,0,33,0,3,59040.0,-2790.0,8,6,3,38,0,0,20,0,3,66354.0,-4435.0,8,6,3,16,29,0,13,0,3,74412.0,-5661.0,8,6,3,9,12,0,0,0,3,82448.0,-6694.0,8,6,3,0,0,0,0,0,3,8,6,3,38,29,0,33,12,0,0,0,0,0,0,11,260,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,426,896,490,201,14,97,837,415,238,1108,367,367,559,475,48,39,5,61,64,161,301,7286,260,12,8,6,189,12,163,1355,33,181,2,46,2234,3.0,72,3073.0,261,31,2060,,,,0,0,True,82448,0.0,161,5383,307,10046,260,3630,8,3200,6,3000,12,960,163,1630,348,14909,33,3300,161,27819,2,3000,46,1856,245,10829,3.0,900.0,72,14267,78.0,3974.0,249,20038,31,620,84,5045,426,896,490,201,14,97,8,837,393,238,12,6,1093,367,133,162,182,364,364,559,469,513,22,46,3,48,15,33,161,1.0,38,23,245,6,72,5,3.0,52.0,61,61,78.0,249,1.0,14,31,84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,False,0,9,16,11,0,0baa758ae9a180dd,0,10046,14909,27819,10829,14267,3974.0,61.0,42.0,20038,68.0,52.0,48.0,14.0,5045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111208123,2026-09-20T11:41:47.042102200Z,2026-09-20T11:46:33.564371700Z,COMPLETED,EPISODE_TYPE_PUBLIC,56384917,56249664,1577.219101109121,1579.4097980833496,1582.3865792803526,1574.8906282330763,56384917,v125_submission_56384917.zip,0,,rsraki,san yin26,win,111589.0,96276.0,720,0,56249664,1579.4097980833496,1577.219101109121,1582.3865792803526,15313.0,1.32.7,720,55.916401,204.0,-59.0,3,2,0,7,0,0,0,12,1,808.0,-59.0,4,2,0,3,0,0,4,12,1,1816.0,-59.0,8,4,0,5,0,0,20,12,2,15496.0,1196.0,8,6,3,20,0,0,33,0,3,25780.0,443.0,8,6,3,24,0,0,33,0,3,44802.0,2287.0,8,6,3,25,0,0,33,0,3,64501.0,5852.0,8,6,3,25,0,0,33,0,3,78666.0,8640.0,8,6,3,38,0,0,20,0,3,91678.0,11779.0,8,6,3,16,29,0,13,0,3,99918.0,11494.0,8,6,3,9,12,0,0,0,3,111589.0,15313.0,8,6,3,0,0,0,0,0,3,8,6,3,38,29,0,33,12,0,0,0,0,0,0,11,260,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,406,897,491,201,14,97,841,417,239,1110,367,372,562,476,51,36,5,61,64,161,344,8285,260,12,8,6,189,12,163,3355,33,177,2,46,1237,3.0,72,2080.0,273,31,3046,,,,0,0,True,111589,0.0,161,5507,311,12365,260,3630,8,3200,6,3000,12,960,163,1630,354,14553,33,3300,161,5552,2,3000,46,1810,245,59722,3.0,900.0,72,14643,78.0,4182.0,249,23041,31,620,84,2088,406,897,491,201,14,97,8,841,393,239,12,6,1097,367,133,163,182,369,369,562,472,517,24,44,3,51,13,33,161,1.0,35,20,245,4,72,5,3.0,52.0,61,61,78.0,249,1.0,14,31,84,1.0,,,,,,,0,False,0,9,16,16,0,0baa758ae9a180dd,0,12365,14553,5552,59722,14643,4182.0,,,23041,34.0,23.0,64.0,41.0,2088,0,115.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111206959,2026-09-20T11:37:46.541951200Z,2026-09-20T11:41:54.542685900Z,COMPLETED,EPISODE_TYPE_PUBLIC,56384917,56140646,1572.320864900702,1555.124556398968,1577.219101109121,1550.9203618876868,56384917,v125_submission_56384917.zip,0,,rsraki,mech_39,win,64109.0,63336.0,720,0,56140646,1555.124556398968,1572.320864900702,1577.219101109121,773.0,1.32.7,720,56.093375,205.0,-10.0,3,2,0,7,0,0,0,12,1,808.0,20.0,4,2,0,3,0,0,4,12,1,1414.0,-12.0,8,4,0,5,0,0,20,12,2,13567.0,-218.0,8,6,3,20,0,0,33,0,3,22975.0,-229.0,8,6,3,24,0,0,33,0,3,36652.0,110.0,8,6,3,25,0,0,33,0,3,43648.0,-856.0,8,6,3,25,0,0,33,0,3,49333.0,59.0,8,6,3,38,0,0,20,0,3,52578.0,-430.0,8,6,3,16,29,0,13,0,3,57175.0,-231.0,8,6,3,9,12,0,0,0,3,64109.0,773.0,8,6,3,0,0,0,0,0,3,8,6,3,38,29,0,33,12,0,0,0,0,0,0,12,270,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,480,930,507,211,14,97,883,406,239,1096,330,374,587,474,51,36,5,130,74,161,315,432,270,12,8,6,189,12,163,352,33,152,2,107,216,3.0,72,73.0,247,31,94,,,,0,0,True,64109,0.0,161,5583,430,15894,270,4685,8,3200,6,3000,12,960,163,1630,342,14870,33,3300,147,17056,2,3000,107,3125,206,9641,3.0,900.0,72,14267,66.0,3879.0,237,10855,31,620,94,4650,480,930,507,211,14,97,8,883,393,239,12,6,1091,330,128,163,150,371,371,587,470,623,13,25,3,51,5,33,157,1.0,35,20,210,4,72,5,3.0,52.0,130,62,74.0,251,1.0,14,31,94,1.0,24.0,14.0,8.0,6.0,,4.0,66,False,0,7,16,16,0,0baa758ae9a180dd,0,15894,14870,17056,9641,14267,3879.0,85.0,62.0,10855,144.0,115.0,47.0,23.0,4650,0,4.0,5.0,58.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111205847,2026-09-20T11:33:46.691959800Z,2026-09-20T11:39:13.829268500Z,COMPLETED,EPISODE_TYPE_PUBLIC,56384917,56361303,1578.0176057742003,1559.2817901259095,1572.320864900702,1564.0734467826903,56384917,v125_submission_56384917.zip,0,,rsraki,Rishit Aggarwal,loss,93183.0,104166.0,720,0,56361303,1559.2817901259095,1578.0176057742003,1572.320864900702,-10983.0,1.32.7,720,55.000927,192.0,158.0,3,2,0,7,0,0,0,12,1,782.0,29.0,4,2,0,3,0,0,4,12,1,1122.0,313.0,6,6,0,5,0,0,20,12,2,16307.0,8150.0,6,10,0,20,0,0,33,0,3,24318.0,-2944.0,6,10,0,24,0,0,33,0,3,45553.0,-4576.0,6,10,0,25,0,0,33,0,3,63168.0,-6965.0,6,10,0,25,0,0,33,0,3,75966.0,-7274.0,6,10,0,38,0,0,20,0,3,82321.0,-8433.0,6,10,0,16,29,0,13,0,3,87014.0,-11806.0,6,10,0,9,12,0,0,0,3,93183.0,-10983.0,6,10,0,0,0,0,0,0,3,6,10,0,38,29,0,33,12,0,0,0,0,0,0,12,276,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,588,954,560,149,17,108,894,397,239,1102,350,386,642,474,34,35,2,61,50,127,268,10272,276,12,6,10,189,12,163,3350,33,2798,2,36,1207,,72,,1241,31,2060,,,,0,0,True,93183,0.0,127,4316,307,12020,276,4973,6,2400,10,5000,12,960,163,1630,337,12577,33,3300,250,36403,2,3000,36,978,175,10388,,,72,16401,,,247,26008,31,620,84,3563,588,954,560,148,17,105,6,894,374,239,12,10,1096,332,206,163,126,361,361,642,452,517,23,98,25,34,6,33,250,,35,20,175,22,72,2,,,60,60,,247,1.0,14,31,84,1.0,5.0,,,,,,5,False,0,9,15,22,0,0baa758ae9a180dd,0,12020,12577,36403,10388,16401,,12.0,7.0,26008,33.0,26.0,78.0,56.0,3563,0,15.0,18.0,,,,1.0,3.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
111204739,2026-09-20T11:29:46.143047200Z,2026-09-20T11:34:14.040820300Z,COMPLETED,EPISODE_TYPE_PUBLIC,56384917,56166340,1573.654042922399,1517.5986047882373,1578.0176057742003,1513.9942083587034,56384917,v125_submission_56384917.zip,0,,rsraki,hikahika,win,100401.0,99026.0,720,0,56166340,1517.5986047882373,1573.654042922399,1578.0176057742003,1375.0,1.32.7,720,54.950208,205.0,-10.0,3,2,0,7,0,0,0,12,1,808.0,20.0,4,2,0,3,0,0,4,12,1,1673.0,20.0,8,4,0,5,0,0,20,12,2,15511.0,925.0,9,5,3,20,0,0,33,0,3,26120.0,1444.0,9,5,3,24,0,0,33,0,3,42493.0,654.0,9,5,3,25,0,0,33,0,3,57846.0,2180.0,9,5,3,25,0,0,33,0,3,66187.0,650.0,9,5,3,33,5,0,20,0,3,77112.0,248.0,9,5,2,14,31,0,13,0,3,88673.0,2543.0,9,5,2,0,21,0,0,0,3,100401.0,1375.0,9,5,2,0,0,0,0,0,3,9,5,3,35,38,0,33,12,0,0,1,1,0,0,12,268,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,462,920,499,209,14,99,875,404,238,1099,333,377,584,479,51,38,5,122,75,149,321,4338,268,12,9,5,180,12,152,3348,33,115,2,97,1248,3.0,72,1089.0,274,54,2102,,,,0,0,True,100401,0.0,149,5102,359,11674,268,4452,9,3600,5,2500,12,960,152,1520,344,14492,33,3300,87,9113,2,3000,97,2364,266,47553,3.0,900.0,72,14267,81.0,3591.0,249,16260,54,1080,146,9229,462,920,499,209,14,97,9,875,390,238,12,5,1087,331,82,147,199,369,369,584,472,545,14,47,8,51,12,33,87,4.0,34,19,266,7,72,5,3.0,50.0,121,61,82.0,249,1.0,14,46,146,3.0,4.0,,1.0,1.0,,,6,False,0,4,15,18,0,0baa758ae9a180dd,0,11674,14492,9113,47553,14267,3591.0,,,16260,61.0,45.0,56.0,43.0,9229,0,13.0,14.0,35.0,25.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
111203616,2026-09-20T11:25:50.514626100Z,2026-09-20T11:28:06.559807800Z,COMPLETED,EPISODE_TYPE_PUBLIC,56248129,56384917,1606.2457991971964,1578.6369375509348,1610.28240024123,1573.654042922399,56384917,v125_submission_56384917.zip,1,,rsraki,base_camp_2002,loss,64243.0,92649.0,720,1,56248129,1606.2457991971964,1578.6369375509348,1573.654042922399,-28406.0,1.32.7,720,57.906799,211.0,4.0,3,2,0,7,0,0,0,12,1,815.0,33.0,4,2,0,3,0,0,4,12,1,1334.0,106.0,6,6,0,4,0,0,20,12,2,4012.0,-12280.0,4,5,0,15,0,0,32,8,3,12289.0,-14658.0,4,5,0,22,0,0,31,0,3,21567.0,-21262.0,4,5,0,23,0,0,31,0,3,30638.0,-25273.0,4,5,0,25,0,0,30,0,3,37140.0,-27974.0,4,5,0,38,0,0,19,0,3,44930.0,-29970.0,4,5,0,16,29,0,13,0,3,52438.0,-31834.0,4,5,0,9,12,0,0,0,3,64243.0,-28406.0,4,5,0,0,0,0,0,0,3,6,7,0,38,29,0,32,12,2,2,0,4,3,1,12,278,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,519,950,523,205,17,103,907,406,240,1093,338,374,647,474,36,46,2,147,59,117,237,8394,278,12,6,10,187,12,166,1313,33,153,2,111,1170,,1048,,240,31,2076,,,,0,0,True,64243,0.0,117,3760,431,15064,278,5350,6,2400,10,5000,12,960,166,1660,213,12231,33,3300,128,30315,2,3000,111,4087,106,6224,,,36,7738,,,192,12078,31,620,111,7730,519,949,523,199,14,80,6,907,247,234,12,7,1047,205,111,158,94,230,230,647,378,580,159,580,144,33,46,33,131,1.0,45,32,115,96,36,1,,,122,45,,206,,13,31,111,64.0,61.0,14.0,,5.0,0.0,9.0,92,False,0,4,10,7,0,0baa758ae9a180dd,0,15064,12231,30315,6224,7738,,30.0,18.0,12078,63.0,54.0,,,7730,0,,,50.0,27.0,3.0,6.0,23.0,133.0,25.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,
111202491,2026-09-20T11:21:46.593118800Z,2026-09-20T11:26:05.338001700Z,COMPLETED,EPISODE_TYPE_PUBLIC,56188200,56384917,1459.747112357417,1575.1526083866083,1456.9705200094304,1578.6369375509348,56384917,v125_submission_56384917.zip,1,,rsraki,Amer Alkhalili,win,76314.0,69150.0,720,1,56188200,1459.747112357417,1575.1526083866083,1578.6369375509348,7164.0,1.32.7,720,54.877154,205.0,-10.0,3,2,0,7,0,0,0,12,1,809.0,20.0,4,2,0,3,0,0,4,12,1,996.0,-41.0,6,6,0,5,0,0,20,12,2,14426.0,1908.0,6,10,0,20,0,0,33,0,3,22315.0,1366.0,6,10,0,24,0,0,33,0,3,42555.0,2000.0,6,10,0,25,0,0,33,0,3,55226.0,1096.0,6,10,0,25,0,0,33,0,3,59257.0,1845.0,6,10,0,38,0,0,20,0,3,62058.0,3019.0,6,10,0,16,29,0,13,0,3,68250.0,5371.0,6,10,0,9,12,0,0,0,3,76314.0,7164.0,6,10,0,0,0,0,0,0,3,6,10,0,38,29,0,33,12,0,0,0,0,0,0,12,276,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,599,952,559,149,17,108,895,398,239,1102,346,382,641,475,32,35,2,61,50,127,262,10272,276,12,6,10,189,12,163,2346,33,1982,2,36,1358,,72,,1262,31,2060,,,,0,0,True,76314,0.0,127,4140,309,11885,276,4973,6,2400,10,5000,12,960,163,1630,333,13544,33,3300,249,29008,2,3000,36,1091,172,8982,,,72,14294,,,247,17459,31,620,84,5256,599,952,559,148,17,105,6,895,375,239,12,10,1096,328,205,163,123,357,357,641,452,517,23,100,25,31,6,33,249,,35,20,172,23,72,2,,,60,60,,247,1.0,14,31,84,1.0,7.0,,,,,,7,False,0,9,16,18,0,0baa758ae9a180dd,0,11885,13544,29008,8982,14294,,26.0,19.0,17459,54.0,48.0,73.0,55.0,5256,0,43.0,53.0,,,,1.0,3.0,18.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
111201362,2026-09-20T11:17:46.451544Z,2026-09-20T11:22:28.935205600Z,COMPLETED,EPISODE_TYPE_PUBLIC,56384917,56157551,1569.3988206896408,1570.2375980708468,1575.1526083866083,1565.748634179031,56384917,v125_submission_56384917.zip,0,,rsraki,Broskis,win,123362.0,121065.0,720,0,56157551,1570.2375980708468,1569.3988206896408,1575.1526083866083,2297.0,1.32.7,720,54.279133,205.0,-10.0,3,2,0,7,0,0,0,12,1,808.0,20.0,4,2,0,3,0,0,4,12,1,1761.0,-7.0,8,4,0,5,0,0,20,12,2,15093.0,-11.0,8,6,3,20,0,0,33,0,3,26819.0,-706.0,8,6,3,24,0,0,33,0,3,50573.0,493.0,8,6,3,25,0,0,33,0,3,73555.0,459.0,8,6,3,25,0,0,33,0,3,91130.0,1137.0,8,6,3,38,0,0,20,0,3,102961.0,649.0,8,6,3,16,29,0,13,0,3,113206.0,3303.0,8,6,3,9,12,0,0,0,3,123362.0,2297.0,8,6,3,0,0,0,0,0,3,8,6,3,38,29,0,33,12,0,0,0,0,0,0,11,260,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,431,896,490,201,14,99,837,415,239,1104,367,367,559,476,47,35,5,61,63,161,291,3307,260,12,8,6,189,12,163,355,33,163,2,45,246,3.0,72,2081.0,249,31,2060,,,,0,0,True,123362,0.0,161,5694,311,13184,260,3630,8,3200,6,3000,12,960,163,1630,348,14311,33,3300,161,18254,2,3000,45,1760,245,55606,3.0,900.0,72,14267,78.0,3955.0,249,25598,31,620,84,2881,431,896,490,201,14,98,8,837,393,239,12,6,1097,367,133,163,182,364,364,559,472,517,22,36,3,47,7,33,161,,35,20,245,4,72,5,3.0,52.0,61,61,78.0,249,1.0,14,31,84,1.0,,,,,,,0,False,0,9,16,11,0,0baa758ae9a180dd,0,13184,14311,18254,55606,14267,3955.0,,,25598,45.0,37.0,75.0,58.0,2881,0,4.0,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
111200251,2026-09-20T11:13:48.001440400Z,2026-09-20T11:19:15.048203200Z,COMPLETED,EPISODE_TYPE_PUBLIC,56384917,56142249,1575.444361620948,1566.874053813492,1569.3988206896408,1571.4884439525847,56384917,v125_submission_56384917.zip,0,,rsraki,Darshan Makwana,loss,73315.0,76436.0,720,0,56142249,1566.874053813492,1575.444361620948,1569.3988206896408,-3121.0,1.32.7,720,55.828458,205.0,-10.0,3,2,0,7,0,0,0,12,1,809.0,19.0,4,2,0,3,0,0,4,12,1,977.0,57.0,6,6,0,4,0,0,20,12,2,12503.0,-750.0,6,10,0,18,0,0,32,0,3,20471.0,416.0,6,10,0,24,0,0,32,0,3,38662.0,-1964.0,6,10,0,25,0,0,32,0,3,45523.0,-3361.0,6,10,0,25,0,0,32,0,3,50003.0,-2218.0,6,10,0,38,0,0,19,0,3,54837.0,-2226.0,6,10,0,16,29,0,13,0,3,61094.0,-4942.0,6,10,0,9,12,0,0,0,3,73315.0,-3121.0,6,10,0,0,0,0,0,0,3,6,10,0,38,29,0,32,12,0,0,0,0,0,0,12,277,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,529,968,570,151,17,108,906,402,237,1108,372,384,658,475,35,36,2,61,58,163,270,10284,277,11,6,11,179,12,161,2351,34,1894,2,43,1290,,72,,1250,31,2060,,,,0,0,True,73315,0.0,163,5271,323,11044,277,5028,6,2400,10,5000,12,960,161,1610,341,14041,34,3400,250,35368,2,3000,43,1593,191,6232,,,72,14267,,,241,9952,31,620,84,8293,529,968,570,150,17,105,6,906,375,237,12,10,1078,349,206,161,143,357,357,658,445,509,27,134,27,33,30,33,250,,36,21,191,30,72,2,,,59,59,,241,1.0,14,31,84,11.0,,,,,,,0,False,0,9,16,18,0,0baa758ae9a180dd,0,11044,14041,35368,6232,14267,,56.0,41.0,9952,110.0,96.0,69.0,53.0,8293,0,6.0,8.0,,,,1.0,3.0,23.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,
111199130,2026-09-20T11:09:46.518110700Z,2026-09-20T11:13:07.645999900Z,COMPLETED,EPISODE_TYPE_PUBLIC,56376374,56384917,1531.2721390534662,1582.607595208897,1536.7419431477545,1575.444361620948,56384917,v125_submission_56384917.zip,1,,rsraki,Munshi-PremChand,loss,114991.0,130958.0,720,1,56376374,1531.2721390534662,1582.607595208897,1575.444361620948,-15967.0,1.32.7,720,56.997301,190.0,170.0,3,2,0,7,0,0,0,12,1,780.0,21.0,4,2,0,3,0,0,4,12,1,1119.0,173.0,6,6,0,5,0,0,20,12,2,14499.0,6499.0,6,10,0,20,0,0,33,0,3,23485.0,-3666.0,6,10,0,24,0,0,33,0,3,45712.0,-5038.0,6,10,0,25,0,0,33,0,3,65009.0,-12446.0,6,10,0,25,0,0,33,0,3,80432.0,-13947.0,6,10,0,37,0,0,20,0,3,95195.0,-17086.0,6,10,0,19,25,0,13,0,3,104086.0,-21335.0,6,10,0,8,13,0,0,0,3,114991.0,-15967.0,6,10,0,0,0,0,0,0,3,6,10,0,40,26,0,33,12,0,0,0,0,0,0,12,276,False,f892132b10a11260,408038fe1ce51a7e,d91f2b872e210ec3,47047144ba7f8ead,580,955,556,149,17,109,902,398,239,1112,363,377,635,470,31,36,2,61,56,188,231,9301,276,12,6,10,187,12,166,3334,33,2546,2,31,1213,,72,,1231,28,2048,,,,0,0,True,114991,0.0,188,6618,350,12476,276,4973,6,2400,10,5000,12,960,166,1660,324,12480,33,3300,248,56042,2,3000,31,941,183,8498,,,72,16228,,,232,32236,28,560,72,3443,580,955,556,146,17,105,6,902,375,239,12,10,1090,342,208,166,134,356,356,635,448,521,23,116,21,30,22,33,252,,36,21,183,22,72,2,,,59,59,,243,1.0,13,28,72,1.0,17.0,11.0,,4.0,,,36,False,0,9,16,18,0,0baa758ae9a180dd,0,12476,12480,56042,8498,16228,,26.0,10.0,32236,,,77.0,58.0,3443,0,,,,,4.0,3.0,4.0,21.0,2.0,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,
