episode_id,sid,seat,death_t,death_day,x,y,animal,lost_yield,placed_day,next_crop,next_crop_t
111204739,56384917,0,648,27,3,2,GOOSE,1,10,,
111203616,56384917,1,288,12,5,2,SHEEP,0,7,,
111203616,56384917,1,288,12,5,3,COW,0,6,,
111203616,56384917,1,288,12,5,4,COW,0,6,,
111203616,56384917,1,288,12,6,4,SHEEP,0,7,,
111196878,56384917,1,288,12,5,2,SHEEP,0,7,,
111196878,56384917,1,288,12,5,3,COW,0,6,,
111196878,56384917,1,288,12,5,4,COW,0,6,,
111196878,56384917,1,288,12,6,4,SHEEP,0,7,,
111193529,56384917,1,360,15,4,2,COW,0,2,,
111177947,56384917,1,648,27,3,2,GOOSE,1,10,,
111164613,56384917,1,648,27,3,2,GOOSE,1,10,,
111151304,56384917,0,648,27,3,2,GOOSE,1,10,,
111139195,56384917,1,648,27,3,2,GOOSE,1,10,,
111183131,56384919,0,48,2,4,4,COW,0,0,,
111181330,56384919,1,648,27,3,2,GOOSE,1,10,,
111179102,56384919,1,648,27,3,2,GOOSE,1,10,,
111164639,56384919,0,648,27,3,2,GOOSE,1,10,,
111163534,56384919,0,648,27,3,2,GOOSE,1,10,,
111159080,56384919,1,408,17,6,2,SHEEP,0,9,,
111159080,56384919,1,408,17,3,3,SHEEP,0,0,,
111159080,56384919,1,408,17,3,4,SHEEP,0,0,,
111149074,56384919,1,288,12,5,2,COW,0,7,,
111143509,56384919,1,648,27,3,2,GOOSE,1,10,,
