sequence,episode_id,create_time,seat,opponent_submission_id,opponent_team_name,result,self_final_coin,opponent_final_coin,margin,self_initial_rating,self_updated_rating,opponent_initial_rating,rating_gap_opponent_minus_self,gate_cohort,gate_reason,opponent_h200,opponent_h719,live_action_family
1,104505990,2026-09-01T06:02:26.460903700Z,1,55930632,Wenxuan Ye,win,70496.0,12214.0,58282.0,600.0,692.5100900378501,548.5445948607464,-51.45540513925357,A_gate_non_trigger,{'below-tilt': 1},fe95b376b63b7c20833f,4df6e2d115ffbf7d5744,live_action_family_2a7058b2aeca
2,104506155,2026-09-01T06:06:26.155165300Z,0,55646117,Yagawa,win,125392.0,61928.0,63464.0,692.5100900378501,797.6596903120453,680.0767715131512,-12.433318524698848,A_gate_non_trigger,{'below-tilt': 1},a6e34d39b2ab069ee5c9,8628700f7c8b0fab1e0d,live_action_family_fbfef0bcde71
3,104506581,2026-09-01T06:10:27.319730400Z,0,55355192,Mk26,win,91638.0,47107.0,44531.0,797.6596903120453,907.8908109467742,802.4984548176592,4.838764505613881,C_actual_incremental_conversion,incremental_cow2_to_sheep2_rewrite,f7fe9ae2802d269ad599,d53c039935e25b39962a,live_action_family_758e8e15769f
4,104506991,2026-09-01T06:14:26.212431500Z,0,55559134,Boris Pletenev,win,71437.0,49311.0,22126.0,907.8908109467742,1049.928070920981,1014.1984186132447,106.30760766647052,A_gate_non_trigger,{'below-tilt': 1},6e906cd79cd297258cd0,ef36bf2d3ccdd6d37332,live_action_family_8f183ad39a66
5,104507418,2026-09-01T06:18:26.492205700Z,0,55871405,Ashutosh Agarwal,win,107810.0,84224.0,23586.0,1049.928070920981,1139.6021738398438,982.5122754972906,-67.4157954236905,A_gate_non_trigger,{'below-tilt': 1},788a5f8b00da5f59b7c3,d2efdfbf043cd82c56d0,live_action_family_9fb56311c7eb
6,104507842,2026-09-01T06:22:31.551625200Z,1,55806815,Yassine Ben Zekri,win,84356.0,74745.0,9611.0,1139.6021738398438,1266.942491215482,1200.2837023145,60.68152847465626,A_gate_non_trigger,{'below-tilt': 1},5108b14c31df750ef27c,c3956149bfd3e1dc20a4,live_action_family_d3cbf878250c
7,104507913,2026-09-01T06:22:31.657909700Z,0,55932910,Llin Ding,loss,133646.0,134658.0,-1012.0,1266.942491215482,1128.8455898814636,1116.562776774759,-150.3797144407231,A_gate_non_trigger,{'below-tilt': 1},a9ae8e00e0b19e5a0c2d,350c1deda034f7ad4e60,live_action_family_192f6a065d0b
8,104508285,2026-09-01T06:26:26.662147400Z,1,55917327,Quillbolt,win,141540.0,106524.0,35016.0,1128.8455898814636,1211.5233391369684,1077.8960132706204,-50.94957661084322,A_gate_non_trigger,{'below-tilt': 1},483a14b08192d65ba9e6,2743dcfca9d978eaa2e0,live_action_family_896b3822c1f9
9,104508722,2026-09-01T06:30:27.907839400Z,0,55921736,istinetz,loss,45001.0,73369.0,-28368.0,1211.5233391369684,1121.4355077131436,1186.7275318420764,-24.79580729489203,A_gate_non_trigger,{'below-tilt': 1},4bcf4003c209792df0a3,d5086edb9a46719482b7,live_action_family_cce910bd5aee
10,104509179,2026-09-01T06:34:26.361268400Z,1,55424701,Vishwa,win,64017.0,61857.0,2160.0,1121.4355077131436,1211.3975714359776,1198.4336369697353,76.99812925659171,A_gate_non_trigger,{'below-tilt': 1},a9ae8e00e0b19e5a0c2d,6dd02627d114e20ed035,live_action_family_d60c74ce5808
11,104509628,2026-09-01T06:38:26.180518400Z,1,55931220,HASHP100D,win,51410.0,51327.0,83.0,1211.3975714359776,1274.09027970759,1222.9126073373197,11.515035901342117,A_gate_non_trigger,{'below-tilt': 1},a9ae8e00e0b19e5a0c2d,9f248bfc075cbff48347,live_action_family_9d846708c619
12,104510054,2026-09-01T06:42:26.092721700Z,0,55446300,adakoda,win,95806.0,80923.0,14883.0,1274.09027970759,1308.3074723670659,1162.4533802139765,-111.63689949361356,A_gate_non_trigger,{'below-tilt': 1},5108b14c31df750ef27c,b7e95b21685e5fb42507,live_action_family_bbef27249e8b
13,104510539,2026-09-01T06:46:28.411195500Z,0,55689504,rrishavrraj,win,95338.0,83641.0,11697.0,1308.3074723670659,1363.092995857338,1373.8033661213424,65.4958937542765,A_gate_non_trigger,{'below-tilt': 1},0eebd3bb39059eb62bc7,d42a55321df3ad0e95af,live_action_family_fc498ea5871c
14,104511059,2026-09-01T06:50:28.275128500Z,1,55764559,wataru kawashima,win,70718.0,68670.0,2048.0,1363.092995857338,1400.6094178730664,1356.0103133450605,-7.082682512277643,A_gate_non_trigger,{'below-tilt': 1},a8b35242e61191f25b6e,aac4bc0d7e8b7925a16f,live_action_family_e2a66122c7e1
15,104511367,2026-09-01T06:54:25.818141900Z,1,55789779,C R Suthikshn Kumar,win,86813.0,65894.0,20919.0,1400.6094178730664,1431.075496268457,1368.9569863932884,-31.652431479777988,B_trigger_but_no_incremental_conversion,cash_reserve_revalidation_failed,a8b35242e61191f25b6e,ab889e08d249a192f46a,live_action_family_7d9a2e9157c1
16,104511811,2026-09-01T06:58:25.994474600Z,0,55742544,KongKongDe,win,108910.0,98898.0,10012.0,1456.1727546959437,1479.2518385618746,1402.5210773386423,-53.65167735730142,A_gate_non_trigger,{'below-tilt': 1},d491b44ff99f5294f819,2cf3e4c60d370336b167,live_action_family_0d9fd48a03fb
17,104511889,2026-09-01T06:58:26.158265300Z,1,55932338,ANUJPUROHIT18,win,117680.0,109426.0,8254.0,1431.075496268457,1456.1727546959437,1381.217844138476,-49.857652129981034,A_gate_non_trigger,{'below-tilt': 1},a8b35242e61191f25b6e,fa710cfa1ae239abe12f,live_action_family_a55724982b4e
18,104512223,2026-09-01T07:02:27.058894400Z,0,55524237,HowardLeeTW,win,98628.0,82489.0,16139.0,1479.2518385618746,1504.3397575862555,1472.090616361473,-7.161222200401653,A_gate_non_trigger,{'below-tilt': 1},49995d5d9812e66a99b8,f5a06e0e6dc6beb97ad1,live_action_family_cf3fec896c34
19,104512704,2026-09-01T07:06:26.359435Z,1,55932210,kurushun,loss,89712.0,95733.0,-6021.0,1504.3397575862555,1487.6712345084363,1592.8580541856863,88.51829659943087,A_gate_non_trigger,{'below-tilt': 1},d5bdd25c3a99199ebafd,64dc6235d924758e325f,live_action_family_c554d51e8349
20,104513137,2026-09-01T07:10:28.705726900Z,0,55924372,SeaGoat,win,109384.0,108491.0,893.0,1487.6712345084363,1509.1572765158728,1480.215545251138,-7.455689257298218,A_gate_non_trigger,{'below-tilt': 1},331b380829127fd79272,4479bdc6e2e9e639b6a7,live_action_family_aa3dd414c5ac
21,104513571,2026-09-01T07:14:26.161029500Z,0,55877482,fvong,loss,56943.0,70086.0,-13143.0,1509.1572765158728,1489.3653930721002,1519.5475770276116,10.390300511738815,C_actual_incremental_conversion,incremental_cow2_to_sheep2_rewrite,84398115047e9b190f66,9a0a5e61edb7a64c564c,live_action_family_d76af7670a48
22,104514016,2026-09-01T07:18:27.174994200Z,1,55675720,Hamed Seyed-allaei,win,99138.0,98974.0,164.0,1489.3653930721002,1509.4849896871872,1503.5301725338777,14.16477946177747,A_gate_non_trigger,{'below-tilt': 1},49995d5d9812e66a99b8,cca2fb4ba75888a668c1,live_action_family_938bf85d2b41
