panel,arm,opponent,seed,seat,baseline_margin,candidate_margin,transition,delta_points,delta_margin,delta_self_cash,delta_opp_cash,first_action_change,first_field_change,first_shop_change,first_difference,metric_mismatches,full_trajectory_identical,own_action_changed_decisions,own_field_changed_decisions,own_market_changed_decisions,opponent_action_changed_decisions,observations_changed_decisions
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609241,0,0.0,-96.0,T->L,-0.5,-96.0,106.0,202.0,392.0,626.0,,"[{""step"": 392, ""baseline_market"": [], ""candidate_market"": [[""SELL"", ""MILK"", 6]], ""identical_observation"": true, ""prices"": {""WHEAT"": 43, ""CARROT"": 37, ""TOMATO"": 80, ""STRAWBERRY"": 195, ""MELON"": 89, ""EGG"": 54, ""MILK"": 154, ""WOOL"": 1, ""FERTILIZER"": 44}, ""shed"": {""WHEAT"": 1, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 0, ""FERTILIZER"": 2, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,27,5,22,27,326
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609241,1,0.0,-96.0,T->L,-0.5,-96.0,106.0,202.0,392.0,626.0,,"[{""step"": 392, ""baseline_market"": [], ""candidate_market"": [[""SELL"", ""MILK"", 6]], ""identical_observation"": true, ""prices"": {""WHEAT"": 43, ""CARROT"": 37, ""TOMATO"": 80, ""STRAWBERRY"": 195, ""MELON"": 89, ""EGG"": 54, ""MILK"": 154, ""WOOL"": 1, ""FERTILIZER"": 44}, ""shed"": {""WHEAT"": 1, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 0, ""FERTILIZER"": 2, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,27,5,22,27,326
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609242,0,0.0,-3.0,T->L,-0.5,-3.0,-15.0,-12.0,291.0,,,"[{""step"": 291, ""baseline_market"": [[""SELL"", ""MILK"", 3]], ""candidate_market"": [[""SELL"", ""MILK"", 3], [""SELL"", ""WOOL"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 38, ""CARROT"": 36, ""TOMATO"": 66, ""STRAWBERRY"": 168, ""MELON"": 78, ""EGG"": 51, ""MILK"": 190, ""WOOL"": 237, ""FERTILIZER"": 64}, ""shed"": {""WHEAT"": 7, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 1, ""FERTILIZER"": 1, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,6,0,6,0,427
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609242,1,0.0,-3.0,T->L,-0.5,-3.0,-15.0,-12.0,291.0,,,"[{""step"": 291, ""baseline_market"": [[""SELL"", ""MILK"", 3]], ""candidate_market"": [[""SELL"", ""MILK"", 3], [""SELL"", ""WOOL"", 1]], ""identical_observation"": true, ""prices"": {""WHEAT"": 38, ""CARROT"": 36, ""TOMATO"": 66, ""STRAWBERRY"": 168, ""MELON"": 78, ""EGG"": 51, ""MILK"": 190, ""WOOL"": 237, ""FERTILIZER"": 64}, ""shed"": {""WHEAT"": 7, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 1, ""FERTILIZER"": 1, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,6,0,6,0,427
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609243,0,0.0,31.0,T->W,0.5,31.0,27.0,-4.0,151.0,,,"[{""step"": 151, ""baseline_market"": [], ""candidate_market"": [[""SELL"", ""WOOL"", 2]], ""identical_observation"": true, ""prices"": {""WHEAT"": 32, ""CARROT"": 37, ""TOMATO"": 63, ""STRAWBERRY"": 165, ""MELON"": 268, ""EGG"": 51, ""MILK"": 183, ""WOOL"": 190, ""FERTILIZER"": 90}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 2, ""FERTILIZER"": 1, ""GOOSE"": 2, ""COW"": 0, ""SHEEP"": 0}}]",,False,19,0,19,16,567
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609243,1,0.0,31.0,T->W,0.5,31.0,27.0,-4.0,151.0,,,"[{""step"": 151, ""baseline_market"": [], ""candidate_market"": [[""SELL"", ""WOOL"", 2]], ""identical_observation"": true, ""prices"": {""WHEAT"": 32, ""CARROT"": 37, ""TOMATO"": 63, ""STRAWBERRY"": 165, ""MELON"": 268, ""EGG"": 51, ""MILK"": 183, ""WOOL"": 190, ""FERTILIZER"": 90}, ""shed"": {""WHEAT"": 13, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 2, ""FERTILIZER"": 1, ""GOOSE"": 2, ""COW"": 0, ""SHEEP"": 0}}]",,False,19,0,19,16,567
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609244,0,0.0,841.0,T->W,0.5,841.0,-1018.0,-1859.0,455.0,493.0,,"[{""step"": 455, ""baseline_market"": [], ""candidate_market"": [[""SELL"", ""WOOL"", 4]], ""identical_observation"": true, ""prices"": {""WHEAT"": 44, ""CARROT"": 36, ""TOMATO"": 74, ""STRAWBERRY"": 3, ""MELON"": 94, ""EGG"": 58, ""MILK"": 7, ""WOOL"": 179, ""FERTILIZER"": 22}, ""shed"": {""WHEAT"": 9, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 4, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,56,8,49,71,263
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609244,1,0.0,841.0,T->W,0.5,841.0,-1018.0,-1859.0,455.0,493.0,,"[{""step"": 455, ""baseline_market"": [], ""candidate_market"": [[""SELL"", ""WOOL"", 4]], ""identical_observation"": true, ""prices"": {""WHEAT"": 44, ""CARROT"": 36, ""TOMATO"": 74, ""STRAWBERRY"": 3, ""MELON"": 94, ""EGG"": 58, ""MILK"": 7, ""WOOL"": 179, ""FERTILIZER"": 22}, ""shed"": {""WHEAT"": 9, ""CARROT"": 0, ""TOMATO"": 0, ""STRAWBERRY"": 0, ""MELON"": 0, ""EGG"": 0, ""MILK"": 0, ""WOOL"": 4, ""FERTILIZER"": 0, ""GOOSE"": 0, ""COW"": 0, ""SHEEP"": 0}}]",,False,56,8,49,71,263
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609245,0,0.0,0.0,T->T,0.0,0.0,0.0,0.0,,,,[],,True,0,0,0,0,0
holdout/m20_kagsim,m20_multi_hypothesis,B1,612609245,1,0.0,0.0,T->T,0.0,0.0,0.0,0.0,,,,[],,True,0,0,0,0,0
