seed,opponent,seat,arm,source_text_sha256,opponent_source_text_sha256,cash_self,cash_opponent,margin,steps,policy_calls,saved_action_mismatch,saved_observation_mismatch,seconds,trace,trace_sha256
612609254,v57,0,no_alt_wool,bd86671b8e919f6add38b73aee33d93b0a99a75940874d0edaaa5811c68bf7ce,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,91761.0,90387.0,1374.0,719,1438,,,2.834725607999985,reactive_initial_traces/612609254_v57_seat0_no_alt_wool.json.gz,e7c6bf3491b42e573ad9d9708ad0865de4ae87f834f438c944205b8c1bb3d0df
612609254,v57,0,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,91761.0,90387.0,1374.0,719,1438,,,2.8648998159999337,reactive_initial_traces/612609254_v57_seat0_alt_two_votes.json.gz,e1b0554910dcb6dd343c75c5d0ae35ebb7e08ec6b8454f30900e0a9f3a8b951a
612609254,v57,0,m20_multi_hypothesis,56dd617baadcc14465d62a3ce6736c1e649c7c244bf9f523e97765aca905b2fc,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,90553.0,91028.0,-475.0,719,1438,0.0,0.0,3.3950508549999086,reactive_initial_traces/612609254_v57_seat0_m20_multi_hypothesis.json.gz,fffd79d6a8ccf518d03b4a9a4ca8e9cbb5bfa712d0f060198d44c3a0c07c1794
612609254,v57,0,B1,a89943d84da23261883150712c5925b65c676c28c03a6b96aee14dad7a59454a,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,91761.0,90387.0,1374.0,719,1438,0.0,0.0,3.5804732880000074,reactive_initial_traces/612609254_v57_seat0_B1.json.gz,baac2da7efdf1cd2a11aa2f23f399df92f35c5474ea2ad06700e09c2099444b9
612609264,v57,0,m20_multi_hypothesis,56dd617baadcc14465d62a3ce6736c1e649c7c244bf9f523e97765aca905b2fc,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,105632.0,106760.0,-1128.0,719,1438,0.0,0.0,3.0348689650001006,reactive_initial_traces/612609264_v57_seat0_m20_multi_hypothesis.json.gz,7edd787917c2523a4ac8edbe15edeb7932bc39719e9d26d181765de7d3237133
612609264,v57,0,no_alt_wool,bd86671b8e919f6add38b73aee33d93b0a99a75940874d0edaaa5811c68bf7ce,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,105540.0,106862.0,-1322.0,719,1438,,,2.7616145160000087,reactive_initial_traces/612609264_v57_seat0_no_alt_wool.json.gz,11cc7a523c9a1a098d53bf710b25397eaeb4b1917f28073d93789ced38f7d2d9
612609264,v57,0,B1,a89943d84da23261883150712c5925b65c676c28c03a6b96aee14dad7a59454a,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,106502.0,106492.0,10.0,719,1438,0.0,0.0,3.391774261000023,reactive_initial_traces/612609264_v57_seat0_B1.json.gz,059b12293559853a7c723a1463607faa222c8a2cffb64f8de97a6e70c3d335af
612609264,v57,0,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,106505.0,106492.0,13.0,719,1438,,,2.705392154999913,reactive_initial_traces/612609264_v57_seat0_alt_two_votes.json.gz,026b648abcfe21aa673806964364afa202a40eb83443579a48d007e01fa4c8f4
612609241,order_book,0,no_alt_wool,bd86671b8e919f6add38b73aee33d93b0a99a75940874d0edaaa5811c68bf7ce,a16e0e9b40c489972630a0b9d04f30e9c1cab03159fa78676db74277d84d82ab,107549.0,107616.0,-67.0,719,1438,,,2.230434080000009,reactive_initial_traces/612609241_order_book_seat0_no_alt_wool.json.gz,758f1da405407b6b2b15c47f08fd15de8ba8290325b8adf90a653caacbf125ad
612609241,order_book,0,B1,a89943d84da23261883150712c5925b65c676c28c03a6b96aee14dad7a59454a,a16e0e9b40c489972630a0b9d04f30e9c1cab03159fa78676db74277d84d82ab,107443.0,107414.0,29.0,719,1438,0.0,0.0,2.8079444999999623,reactive_initial_traces/612609241_order_book_seat0_B1.json.gz,3cff90250658fef7bf443866ac75ccb53dc5f9d239bdeee9bef33c3a14253f9f
