seed,arm,step,item,price,runtime_own,true_own_fill,true_opponent_fill,inferred_opponent_fill,inferred_positive_event,true_positive_event,final_market,opponent_market
612609254,B1,456,WOOL,37,12,12,12,-6,False,True,"[['SELL', 'WOOL', 16], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]","[['SELL', 'WOOL', 16], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]"
612609254,B1,479,STRAWBERRY,93,0,6,6,12,True,True,"[['SELL', 'STRAWBERRY', 6]]","[['SELL', 'STRAWBERRY', 6]]"
612609254,B1,480,WOOL,77,12,12,12,2,True,True,"[['SELL', 'WOOL', 12], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]","[['SELL', 'WOOL', 12], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]"
612609254,B1,504,WOOL,72,12,12,12,0,False,True,"[['SELL', 'WOOL', 12], ['SELL', 'WHEAT', 3], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]","[['SELL', 'WOOL', 12], ['SELL', 'WHEAT', 3], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]"
612609254,B1,517,STRAWBERRY,20,8,8,8,2,True,True,"[['SELL', 'STRAWBERRY', 8], ['BUY_SEED', 'WHEAT', 1]]","[['SELL', 'STRAWBERRY', 8], ['BUY_SEED', 'WHEAT', 1]]"
612609254,B1,523,STRAWBERRY,5,16,16,16,-14,False,True,"[['SELL', 'STRAWBERRY', 16], ['BUY_SEED', 'CARROT', 1]]","[['SELL', 'STRAWBERRY', 16], ['BUY_SEED', 'CARROT', 1]]"
612609254,B1,528,WOOL,77,11,11,11,3,True,True,"[['SELL', 'WOOL', 12], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]","[['SELL', 'WOOL', 12], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]"
612609254,B1,529,STRAWBERRY,11,13,13,13,-8,False,True,"[['SELL', 'MILK', 9], ['SELL', 'FERTILIZER', 16], ['SELL', 'STRAWBERRY', 13], ['SELL', 'WHEAT', 11], ['HIRE'], ['HIRE']]","[['SELL', 'MILK', 9], ['SELL', 'STRAWBERRY', 13], ['SELL', 'FERTILIZER', 16], ['SELL', 'WHEAT', 11], ['HIRE'], ['HIRE']]"
612609254,B1,543,STRAWBERRY,12,8,8,8,-2,False,True,"[['SELL', 'STRAWBERRY', 8]]","[['SELL', 'STRAWBERRY', 8]]"
612609254,B1,552,STRAWBERRY,9,0,13,0,4,True,False,"[['SELL', 'FERTILIZER', 17], ['SELL', 'WHEAT', 6], ['SELL', 'STRAWBERRY', 13], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]","[['SELL', 'FERTILIZER', 17], ['SELL', 'WHEAT', 6], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]"
