record_step,day,self_cash,opp_cash,shops,self_WHEAT,self_MELON,self_OTHER,self_SHEEP,self_COW,self_land,opp_WHEAT,opp_MELON,opp_SHEEP,opp_COW,opp_land,opp_STRAWBERRY,self_STRAWBERRY,opp_GOOSE,opp_CARROT,self_GOOSE,opp_OTHER,self_CARROT
48,2,106.0,431.0,[],8,12,1,2,2,1,8,6,3,2,1,,,,,,,
72,3,215.0,498.0,['BRUNCH_SPOT'],8,12,,2,3,1,12,6,3,2,1,2,,,,,,
144,6,863.0,624.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP']",3,12,,2,4,1,6,7,3,2,2,8,4,,,,,
192,8,653.0,1071.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP']",9,12,3,2,8,2,8,8,3,4,2,26,16,1,,,,
240,10,2425.0,2101.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP']",5,12,,5,8,2,22,10,3,7,3,29,20,1,1,,,
288,12,17719.0,10151.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT']",20,,1,6,8,3,17,6,3,8,3,39,33,1,,3,,
360,15,27252.0,20285.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP']",24,,1,6,8,3,6,7,3,8,3,48,33,3,,3,,
432,18,45641.0,36088.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT']",25,,,6,8,3,7,5,3,8,3,48,33,3,,3,,
480,20,58940.0,52369.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT']",25,,,6,8,3,11,3,3,8,3,46,33,3,,3,,
528,22,74931.0,74130.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP']",30,,1,6,8,3,20,1,3,8,3,40,27,3,,3,,
576,24,89580.0,89931.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'YARN_STORE']",38,,,6,8,3,24,,3,8,3,25,20,3,2,3,1,
624,26,101802.0,106748.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'YARN_STORE']",27,,,6,8,3,32,,3,8,3,18,13,3,7,3,,18
672,28,114079.0,121520.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'YARN_STORE']",18,,,6,8,3,23,,3,8,3,9,4,3,2,3,4,24
696,29,123955.0,128299.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'YARN_STORE']",9,,1,6,8,3,8,,,8,3,5,,3,,3,7,12
719,29,132294.0,136064.0,"['BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'BRUNCH_SPOT', 'SMOOTHIE_SHOP', 'YARN_STORE']",,,1,6,8,3,,,,8,3,5,,3,,3,7,
