arm,opponent,seed,seat,done,decisions,self_cash,opp_cash,margin,points,error,order_cap_violations,b1_sha256,opponent_sha256,entry,opponent_entry,seconds,max_callback_seconds,replay_sha256,replay_path,response_eligible,response_changes,response_evaluations,response_predicted_gain
B1,B1,402609241,0,True,719,114627.0,114627.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,4.443,"[0.20526438199999575, 0.08945510300009119]",ab2a2bca9c8e81cfca64b7028df5e2aebab8034361d78d5448a48f4c27887363,development_replays/B1__B1__402609241__seat0.json.gz,0,0,0,0.0
B1,B1,402609241,1,True,719,114627.0,114627.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,4.337,"[0.05652823000002627, 0.22238900899992586]",9ea0e40dce9a400c2266ce070649175a6809d098f52b87460c07f1c9e7009f48,development_replays/B1__B1__402609241__seat1.json.gz,0,0,0,0.0
B1,B1,402609242,0,True,719,105619.0,105619.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,10.07,"[0.2930584660000477, 0.1535389780000287]",e2007117a97433ada75d8f4a9b8384f919c10cae24200029082b89a4df27eea3,development_replays/B1__B1__402609242__seat0.json.gz,0,0,0,0.0
B1,B1,402609242,1,True,719,105619.0,105619.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,5.151,"[0.09818713699996806, 0.11797000299998217]",515f8b1423e9ef7c84781c7ff6c941892c3e4629d5676c0e8528702f062244ea,development_replays/B1__B1__402609242__seat1.json.gz,0,0,0,0.0
B1,B1,402609243,0,True,719,85636.0,85636.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,4.153,"[0.12230307200002244, 0.08995728300010342]",807cc67e9816e5fbf1d39fe92552dcef5c9070dc67d5d1afcac7ed6367a957bc,development_replays/B1__B1__402609243__seat0.json.gz,0,0,0,0.0
B1,B1,402609243,1,True,719,85636.0,85636.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,8.471,"[0.14357129299992266, 0.29802406599992537]",d722df57435ad2902356bd0661a2fe6f1ee5cfc391732a8a4f47e594853eeab0,development_replays/B1__B1__402609243__seat1.json.gz,0,0,0,0.0
B1,B1,402609244,0,True,719,74119.0,74119.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,3.494,"[0.08988002499995673, 0.07100306899997122]",30cc1c75c1d9354f3aff337bb98ac7ffb4522f92d53c9ef45b261db3b78f02d4,development_replays/B1__B1__402609244__seat0.json.gz,0,0,0,0.0
B1,B1,402609244,1,True,719,74119.0,74119.0,0.0,0.5,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,opening_liquidity_agent,opening_liquidity_agent,3.69,"[0.06451601599997048, 0.07834369700003663]",331a3e974f39e774d366e622e0ba40baa76b38c364b5035ac340bc21492cd43a,development_replays/B1__B1__402609244__seat1.json.gz,0,0,0,0.0
B1,metav4,402609241,0,True,719,117926.0,121614.0,-3688.0,0.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,2.829,"[0.06397836400003598, 0.04685298599997623]",30cdefa52e94ae8364894c5251aae1948e2a96e9d95535cd63f767b233ec3298,development_replays/B1__metav4__402609241__seat0.json.gz,0,0,0,0.0
B1,metav4,402609241,1,True,719,117926.0,121614.0,-3688.0,0.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,6.727,"[0.15257748500005164, 0.7441852740000741]",e6479c79e2165bec991042484f102c7176eab8a8a4d4cc61ed3b1141e8880d1b,development_replays/B1__metav4__402609241__seat1.json.gz,0,0,0,0.0
B1,metav4,402609242,0,True,719,106057.0,104916.0,1141.0,1.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,3.707,"[0.22610271099995316, 0.2952210659999537]",f0c9cf052847d49ffb1c49ab1dab7cdebcc157f17028606b64e580adc48038c3,development_replays/B1__metav4__402609242__seat0.json.gz,0,0,0,0.0
B1,metav4,402609242,1,True,719,106057.0,104916.0,1141.0,1.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,3.551,"[0.30521320499997273, 0.050334938999981205]",be0c1866b83742ab546fc38a5d2f0733c56ffd6b7624d20f63c1c137884318c3,development_replays/B1__metav4__402609242__seat1.json.gz,0,0,0,0.0
B1,metav4,402609243,0,True,719,85898.0,85285.0,613.0,1.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,7.07,"[0.11297316800005319, 0.7857820289999609]",df5627f84c39e6fea0e9e88cd1674d80e3a5ebe84b7884d3a373bd87d8d154e9,development_replays/B1__metav4__402609243__seat0.json.gz,0,0,0,0.0
B1,metav4,402609243,1,True,719,85898.0,85285.0,613.0,1.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,3.35,"[0.323039834000042, 0.06893391900007373]",a70fdc561bdb0ec653bcc7b1e4b903a8f7bb7319cad024f5b17cde5bd61b5d0b,development_replays/B1__metav4__402609243__seat1.json.gz,0,0,0,0.0
B1,metav4,402609244,0,True,719,74477.0,72625.0,1852.0,1.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,2.962,"[0.24598765900009312, 0.07298994899997524]",c00683cbb626f04f262fd72199445b7de71c9ae492c683c28016b79f1ab60772,development_replays/B1__metav4__402609244__seat0.json.gz,0,0,0,0.0
B1,metav4,402609244,1,True,719,74477.0,72625.0,1852.0,1.0,,0,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,opening_liquidity_agent,agent,3.027,"[0.0717883229999643, 0.05516265599999315]",826b15db084ef9a4f6acb37e9444bf90400b7c2866f2cc1bfcb430f4cdbec51b,development_replays/B1__metav4__402609244__seat1.json.gz,0,0,0,0.0
