arm,opponent,seed,seat,base_points,candidate_points,delta_points,delta_self_cash,delta_opp_cash,delta_margin,self_action_differences,self_field_differences,opp_field_differences,first_difference,all_observations_actions_terminal_identical,town_same
wool_gate_open,B1,402609241,0,0.5,1.0,0.5,-361.0,-406.0,45.0,22,2,2,385,False,True
wool_gate_open,B1,402609241,1,0.5,1.0,0.5,-361.0,-406.0,45.0,22,2,2,385,False,True
wool_gate_open,B1,402609242,0,0.5,1.0,0.5,153.0,67.0,86.0,34,7,7,385,False,True
wool_gate_open,B1,402609242,1,0.5,1.0,0.5,153.0,67.0,86.0,34,7,7,385,False,True
wool_gate_open,B1,402609243,0,0.5,0.0,-0.5,-407.0,-80.0,-327.0,20,3,3,552,False,True
wool_gate_open,B1,402609243,1,0.5,0.0,-0.5,-407.0,-80.0,-327.0,20,3,3,552,False,True
wool_gate_open,B1,402609244,0,0.5,0.0,-0.5,-1221.0,-826.0,-395.0,34,5,5,529,False,True
wool_gate_open,B1,402609244,1,0.5,0.0,-0.5,-1221.0,-826.0,-395.0,34,5,5,529,False,True
wool_gate_open,metav4,402609241,0,0.0,0.0,0.0,-324.0,-378.0,54.0,22,2,2,385,False,True
wool_gate_open,metav4,402609241,1,0.0,0.0,0.0,-324.0,-378.0,54.0,22,2,2,385,False,True
wool_gate_open,metav4,402609242,0,1.0,1.0,0.0,-369.0,-459.0,90.0,23,4,4,385,False,True
wool_gate_open,metav4,402609242,1,1.0,1.0,0.0,-369.0,-459.0,90.0,23,4,4,385,False,True
wool_gate_open,metav4,402609243,0,1.0,1.0,0.0,-407.0,-185.0,-222.0,20,3,3,552,False,True
wool_gate_open,metav4,402609243,1,1.0,1.0,0.0,-407.0,-185.0,-222.0,20,3,3,552,False,True
wool_gate_open,metav4,402609244,0,1.0,1.0,0.0,-1216.0,-214.0,-1002.0,32,4,4,529,False,True
wool_gate_open,metav4,402609244,1,1.0,1.0,0.0,-1216.0,-214.0,-1002.0,32,4,4,529,False,True
wool_gate_open,order_book,402609241,0,1.0,1.0,0.0,-360.0,-608.0,248.0,22,2,2,385,False,True
wool_gate_open,order_book,402609241,1,1.0,1.0,0.0,-360.0,-608.0,248.0,22,2,2,385,False,True
wool_gate_open,order_book,402609242,0,1.0,1.0,0.0,156.0,65.0,91.0,35,7,7,385,False,True
wool_gate_open,order_book,402609242,1,1.0,1.0,0.0,156.0,65.0,91.0,35,7,7,385,False,True
wool_gate_open,order_book,402609243,0,1.0,0.0,-1.0,-407.0,-80.0,-327.0,20,3,3,552,False,True
wool_gate_open,order_book,402609243,1,1.0,0.0,-1.0,-407.0,-80.0,-327.0,20,3,3,552,False,True
wool_gate_open,order_book,402609244,0,1.0,0.0,-1.0,-1221.0,-826.0,-395.0,34,5,5,529,False,True
wool_gate_open,order_book,402609244,1,1.0,0.0,-1.0,-1221.0,-826.0,-395.0,34,5,5,529,False,True
wool_gate_open,v57,402609241,0,0.0,0.0,0.0,-332.0,-381.0,49.0,22,2,2,385,False,True
wool_gate_open,v57,402609241,1,0.0,0.0,0.0,-332.0,-381.0,49.0,22,2,2,385,False,True
wool_gate_open,v57,402609242,0,1.0,1.0,0.0,-378.0,-451.0,73.0,22,4,4,385,False,True
wool_gate_open,v57,402609242,1,1.0,1.0,0.0,-378.0,-451.0,73.0,22,4,4,385,False,True
wool_gate_open,v57,402609243,0,1.0,0.0,-1.0,-407.0,-188.0,-219.0,20,3,3,552,False,True
wool_gate_open,v57,402609243,1,1.0,0.0,-1.0,-407.0,-188.0,-219.0,20,3,3,552,False,True
wool_gate_open,v57,402609244,0,1.0,1.0,0.0,-1242.0,-185.0,-1057.0,33,4,4,529,False,True
wool_gate_open,v57,402609244,1,1.0,1.0,0.0,-1242.0,-185.0,-1057.0,33,4,4,529,False,True
final_response,B1,402609241,0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,B1,402609241,1,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,B1,402609242,0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,B1,402609242,1,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,B1,402609243,0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,B1,402609243,1,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,B1,402609244,0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,B1,402609244,1,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609241,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609241,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609242,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609242,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609243,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609243,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609244,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,metav4,402609244,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609241,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609241,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609242,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609242,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609243,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609243,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609244,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,order_book,402609244,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609241,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609241,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609242,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609242,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609243,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609243,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609244,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
final_response,v57,402609244,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,,True,True
combined,B1,402609241,0,0.5,1.0,0.5,-361.0,-406.0,45.0,22,2,2,385,False,True
combined,B1,402609241,1,0.5,1.0,0.5,-361.0,-406.0,45.0,22,2,2,385,False,True
combined,B1,402609242,0,0.5,1.0,0.5,153.0,67.0,86.0,34,7,7,385,False,True
combined,B1,402609242,1,0.5,1.0,0.5,153.0,67.0,86.0,34,7,7,385,False,True
combined,B1,402609243,0,0.5,0.0,-0.5,-407.0,-80.0,-327.0,20,3,3,552,False,True
combined,B1,402609243,1,0.5,0.0,-0.5,-407.0,-80.0,-327.0,20,3,3,552,False,True
combined,B1,402609244,0,0.5,0.0,-0.5,-1221.0,-826.0,-395.0,34,5,5,529,False,True
combined,B1,402609244,1,0.5,0.0,-0.5,-1221.0,-826.0,-395.0,34,5,5,529,False,True
combined,metav4,402609241,0,0.0,0.0,0.0,-324.0,-378.0,54.0,22,2,2,385,False,True
combined,metav4,402609241,1,0.0,0.0,0.0,-324.0,-378.0,54.0,22,2,2,385,False,True
combined,metav4,402609242,0,1.0,1.0,0.0,-369.0,-459.0,90.0,23,4,4,385,False,True
combined,metav4,402609242,1,1.0,1.0,0.0,-369.0,-459.0,90.0,23,4,4,385,False,True
combined,metav4,402609243,0,1.0,1.0,0.0,-407.0,-185.0,-222.0,20,3,3,552,False,True
combined,metav4,402609243,1,1.0,1.0,0.0,-407.0,-185.0,-222.0,20,3,3,552,False,True
combined,metav4,402609244,0,1.0,1.0,0.0,-1216.0,-214.0,-1002.0,32,4,4,529,False,True
combined,metav4,402609244,1,1.0,1.0,0.0,-1216.0,-214.0,-1002.0,32,4,4,529,False,True
combined,order_book,402609241,0,1.0,1.0,0.0,-360.0,-608.0,248.0,22,2,2,385,False,True
combined,order_book,402609241,1,1.0,1.0,0.0,-360.0,-608.0,248.0,22,2,2,385,False,True
combined,order_book,402609242,0,1.0,1.0,0.0,156.0,65.0,91.0,35,7,7,385,False,True
combined,order_book,402609242,1,1.0,1.0,0.0,156.0,65.0,91.0,35,7,7,385,False,True
combined,order_book,402609243,0,1.0,0.0,-1.0,-407.0,-80.0,-327.0,20,3,3,552,False,True
combined,order_book,402609243,1,1.0,0.0,-1.0,-407.0,-80.0,-327.0,20,3,3,552,False,True
combined,order_book,402609244,0,1.0,0.0,-1.0,-1221.0,-826.0,-395.0,34,5,5,529,False,True
combined,order_book,402609244,1,1.0,0.0,-1.0,-1221.0,-826.0,-395.0,34,5,5,529,False,True
combined,v57,402609241,0,0.0,0.0,0.0,-332.0,-381.0,49.0,22,2,2,385,False,True
combined,v57,402609241,1,0.0,0.0,0.0,-332.0,-381.0,49.0,22,2,2,385,False,True
combined,v57,402609242,0,1.0,1.0,0.0,-378.0,-451.0,73.0,22,4,4,385,False,True
combined,v57,402609242,1,1.0,1.0,0.0,-378.0,-451.0,73.0,22,4,4,385,False,True
combined,v57,402609243,0,1.0,0.0,-1.0,-407.0,-188.0,-219.0,20,3,3,552,False,True
combined,v57,402609243,1,1.0,0.0,-1.0,-407.0,-188.0,-219.0,20,3,3,552,False,True
combined,v57,402609244,0,1.0,1.0,0.0,-1242.0,-185.0,-1057.0,33,4,4,529,False,True
combined,v57,402609244,1,1.0,1.0,0.0,-1242.0,-185.0,-1057.0,33,4,4,529,False,True
