episode_id,record_step,item,own_executed,rival_executed,inventory_increments,rival_lower_bound,tight_lower_bound,next_quote,pre_town_quote
112695730,457,WOOL,0,12,12,12,12,5,1
112695730,470,WOOL,1,0,1,0,0,1,1
112695730,474,WOOL,1,0,0,0,0,1,1
112695730,478,WOOL,2,0,0,0,0,1,1
112695730,481,WOOL,0,6,0,0,0,5,1
112695730,503,WOOL,4,0,1,0,0,1,1
112695730,505,WOOL,0,6,0,0,0,5,1
112695730,516,WOOL,8,0,1,0,0,1,1
112695730,529,WOOL,0,8,0,0,0,5,1
112695730,538,WOOL,6,0,1,0,0,1,1
112695730,553,WOOL,0,4,0,0,0,5,1
112695730,569,WOOL,1,0,1,0,0,1,1
112695730,577,WOOL,1,9,0,0,0,5,1
112695730,578,WOOL,1,0,1,0,0,1,1
112695730,596,WOOL,2,0,0,0,0,1,1
112695730,598,WOOL,2,0,0,0,0,1,1
112695730,601,WOOL,0,16,0,0,0,5,1
112695730,625,WOOL,2,8,1,0,0,5,1
112695730,649,WOOL,0,7,1,1,1,5,1
112695730,650,WOOL,4,0,1,0,0,1,1
112695730,673,WOOL,0,8,0,0,0,5,1
112695730,674,WOOL,3,0,1,0,0,1,1
112695730,693,WOOL,3,0,0,0,0,1,1
112695730,697,WOOL,0,12,0,0,0,5,1
112695730,711,WOOL,1,0,1,0,0,1,1
112695730,719,WOOL,1,0,0,0,0,1,1
112696878,481,STRAWBERRY,0,34,20,20,20,7,1
112696878,481,MILK,6,5,4,0,0,9,1
112696878,503,STRAWBERRY,14,0,3,0,0,1,1
112696878,505,MELON,0,24,11,11,11,4,1
112696878,518,STRAWBERRY,8,0,5,0,0,1,1
112696878,520,STRAWBERRY,0,6,0,0,0,1,1
112696878,524,STRAWBERRY,16,8,2,0,0,1,1
112696878,526,STRAWBERRY,0,2,2,2,2,1,1
112696878,527,STRAWBERRY,0,10,0,0,0,1,1
112696878,529,STRAWBERRY,0,4,0,0,0,7,1
112696878,529,MELON,0,24,1,1,1,4,1
112696878,530,STRAWBERRY,13,0,3,0,0,1,1
112696878,544,STRAWBERRY,8,0,6,0,0,1,1
112696878,553,STRAWBERRY,0,9,4,4,4,7,1
112696878,554,STRAWBERRY,0,4,3,3,3,1,1
112696878,558,STRAWBERRY,13,0,2,0,0,1,1
112696878,566,STRAWBERRY,0,6,4,4,4,1,1
112696878,571,STRAWBERRY,8,18,2,0,0,1,1
112696878,572,STRAWBERRY,0,3,0,0,0,1,1
112696878,575,STRAWBERRY,0,6,2,2,2,1,1
112696878,576,STRAWBERRY,0,6,0,0,0,1,1
112696878,578,STRAWBERRY,0,8,3,3,3,1,1
112696878,580,STRAWBERRY,18,0,0,0,0,1,1
112696878,600,STRAWBERRY,0,22,10,10,10,1,1
112696878,602,STRAWBERRY,0,4,3,3,3,1,1
112696878,616,STRAWBERRY,0,10,6,6,6,1,1
112696878,618,STRAWBERRY,7,0,2,0,0,1,1
112696878,622,STRAWBERRY,7,0,2,0,0,1,1
112696878,623,STRAWBERRY,0,6,0,0,0,1,1
112696878,625,STRAWBERRY,0,18,0,0,0,7,1
112696878,646,STRAWBERRY,17,0,13,0,0,1,1
112696878,648,STRAWBERRY,1,0,0,0,0,1,1
112696878,649,STRAWBERRY,0,8,0,0,0,7,1
112696878,667,STRAWBERRY,0,27,10,10,10,1,1
112696878,669,STRAWBERRY,6,0,0,0,0,5,1
112696878,671,STRAWBERRY,0,4,2,2,2,1,1
112696878,694,STRAWBERRY,20,0,13,0,0,1,1
112696878,716,WOOL,0,4,3,3,3,1,1
112696878,717,STRAWBERRY,0,25,11,11,11,5,1
112696878,717,WOOL,0,10,0,0,0,11,1
112696878,719,WOOL,4,0,2,0,0,1,1
112698041,357,WOOL,0,4,1,1,1,1,1
112698041,360,WOOL,3,0,0,0,0,1,1
112698041,388,WOOL,8,5,2,0,0,1,1
112698041,389,WOOL,0,3,0,0,0,1,1
112698041,400,WOOL,6,5,0,0,0,1,1
112698041,410,WOOL,0,1,1,1,1,1,1
112698041,439,WOOL,2,2,2,0,1,1,1
112698041,448,WOOL,1,1,0,0,0,1,1
112698041,470,WOOL,1,1,0,0,0,1,1
112698041,500,WOOL,0,1,1,1,1,1,1
112698041,501,WOOL,1,0,0,0,0,1,1
112698041,515,WOOL,0,4,1,1,1,1,1
112698041,516,WOOL,4,0,0,0,0,1,1
112698041,543,WOOL,0,4,1,1,1,1,1
112698041,544,WOOL,4,0,0,0,0,1,1
112698041,567,WOOL,0,2,1,1,1,1,1
112698041,568,WOOL,2,0,0,0,0,1,1
112698041,578,WOOL,2,2,2,0,1,1,1
112698041,593,WOOL,4,0,0,0,0,1,1
112698041,594,WOOL,0,4,0,0,0,1,1
112698041,601,MILK,0,24,11,11,11,11,1
112698041,603,MILK,24,0,5,0,0,1,1
112698041,626,WOOL,3,3,2,0,1,1,1
112698041,650,WOOL,4,4,0,0,0,1,1
112698041,674,WOOL,3,3,1,0,0,1,1
112698041,698,WOOL,3,3,2,0,1,1,1
112698041,711,WOOL,1,1,0,0,0,1,1
112698041,718,MILK,16,16,24,8,8,1,1
112698041,719,WOOL,1,1,0,0,0,1,1
112698051,313,WOOL,0,12,4,4,4,5,1
112698051,343,WOOL,6,0,2,0,0,1,1
112698051,344,WOOL,3,0,0,0,0,1,1
112698051,360,WOOL,3,0,0,0,0,1,1
112698051,382,WOOL,0,8,1,1,1,1,1
112698051,385,WOOL,0,8,0,0,0,5,1
112698051,388,WOOL,6,0,1,0,0,1,1
112698051,400,WOOL,5,0,0,0,0,1,1
112698051,435,WOOL,2,0,2,0,0,1,1
112698051,448,WOOL,1,0,0,0,0,1,1
112698051,457,WOOL,0,16,0,0,0,5,1
112698051,470,WOOL,1,0,1,0,0,1,1
112698051,503,WOOL,1,0,1,0,0,1,1
112698051,509,WOOL,4,0,1,0,0,1,1
112698051,520,WOOL,0,8,0,0,0,1,1
112698051,525,WOOL,0,8,0,0,0,1,1
112698051,529,MELON,0,12,6,6,6,4,1
112698051,533,WOOL,2,0,1,0,0,1,1
112698051,546,WOOL,2,0,0,0,0,1,1
112698051,570,WOOL,2,0,1,0,0,1,1
112698051,578,WOOL,2,0,1,0,0,1,1
112698051,594,WOOL,4,0,0,0,0,1,1
112698051,601,WOOL,0,16,0,0,0,5,1
112698051,632,WOOL,3,0,2,0,0,1,1
112698051,650,WOOL,4,0,1,0,0,1,1
112698051,673,WOOL,0,15,0,0,0,5,1
112698051,674,WOOL,3,0,1,0,0,1,1
112698051,698,WOOL,3,0,1,0,0,1,1
112698051,711,WOOL,1,0,0,0,0,1,1
112698051,719,WOOL,1,0,0,0,0,1,1
112699185,355,WOOL,0,6,5,5,5,1,1
112699185,359,WOOL,0,6,0,0,0,1,1
112699185,360,WOOL,3,0,0,0,0,1,1
112699185,371,WOOL,0,4,1,1,1,1,1
112699185,385,WOOL,0,4,0,0,0,5,1
112699185,390,WOOL,14,0,1,0,0,1,1
112699185,400,WOOL,6,0,0,0,0,1,1
112699185,424,WOOL,0,4,1,1,1,1,1
112699185,425,WOOL,0,3,0,0,0,1,1
112699185,443,WOOL,6,0,1,0,0,1,1
112699185,448,WOOL,1,0,0,0,0,1,1
112699185,450,WOOL,0,2,0,0,0,1,1
112699185,462,WOOL,0,4,1,1,1,1,1
112699185,470,WOOL,1,0,0,0,0,1,1
112699185,471,WOOL,0,4,0,0,0,1,1
112699185,474,WOOL,1,0,0,0,0,1,1
112699185,503,WOOL,1,0,1,0,0,1,1
112699185,516,WOOL,2,0,1,0,0,1,1
112699185,538,WOOL,4,0,1,0,0,1,1
112699185,543,WOOL,0,31,0,0,0,1,1
112699185,567,WOOL,0,3,1,1,1,1,1
112699185,569,WOOL,4,0,0,0,0,1,1
112699185,577,WOOL,1,0,0,0,0,5,1
112699185,578,WOOL,3,0,1,0,0,1,1
112699185,593,WOOL,6,0,0,0,0,1,1
112699185,602,WOOL,3,0,1,0,0,1,1
112699185,618,WOOL,0,9,0,0,0,1,1
112699185,625,WOOL,3,0,0,0,0,5,1
112699185,626,WOOL,0,1,1,1,1,1,1
112699185,632,WOOL,0,11,0,0,0,1,1
112699185,650,WOOL,6,0,1,0,0,1,1
112699185,662,WOOL,0,1,0,0,0,1,1
112699185,674,WOOL,3,0,1,0,0,1,1
112699185,679,MILK,0,8,4,4,4,1,1
112699185,696,WOOL,1,0,0,0,0,1,1
112699185,698,WOOL,2,0,1,0,0,1,1
112699185,704,WOOL,0,23,0,0,0,1,1
112699185,711,WOOL,1,0,0,0,0,1,1
112699185,713,WOOL,0,6,0,0,0,1,1
112699185,714,MELON,0,8,7,7,7,1,1
112699185,715,MELON,0,3,0,0,0,1,1
112699185,716,WOOL,0,10,0,0,0,1,1
112699185,718,MILK,14,0,8,0,0,1,1
112699185,719,WOOL,1,0,0,0,0,1,1
112700362,360,WOOL,3,0,3,0,0,1,1
112700362,385,WOOL,14,0,7,0,0,18,1
112700362,416,WOOL,0,12,12,12,12,1,1
112700362,431,MELON,0,6,2,2,2,1,1
112700362,432,MELON,0,6,0,0,0,1,1
112700362,433,MELON,0,2,0,0,0,4,1
112700362,433,MILK,9,24,23,14,14,7,1
112700362,439,MELON,0,2,1,1,1,1,1
112700362,440,MELON,0,1,0,0,0,1,1
112700362,441,MELON,0,1,0,0,0,1,1
112700362,457,MILK,9,6,8,0,1,5,1
112700362,464,WOOL,0,8,2,2,2,1,1
112700362,481,MILK,1,30,9,8,8,7,1
112700362,530,MILK,7,0,5,0,0,1,1
112700362,544,MILK,0,8,4,4,4,1,1
112700362,545,MILK,0,11,0,0,0,5,1
112700362,553,MILK,0,6,3,3,3,7,1
112700362,577,MILK,0,24,7,7,7,7,1
112700362,601,MILK,12,0,7,0,0,7,1
112700362,609,MILK,0,6,5,5,5,5,1
112700362,635,MILK,2,14,4,2,2,1,1
112700362,638,MILK,2,0,1,0,0,1,1
112700362,649,MILK,0,6,4,4,4,7,1
112700362,673,MILK,0,24,3,3,3,7,1
112700362,674,MILK,3,0,3,0,0,1,1
112700362,697,MILK,0,6,1,1,1,7,1
112700362,718,MILK,12,15,8,0,1,1,1
112700362,719,MILK,0,3,0,0,0,1,1
112701496,344,WOOL,3,3,6,3,3,1,1
112701496,356,WOOL,3,3,0,0,0,1,1
112701496,362,MILK,6,6,2,0,0,1,1
112701496,372,MILK,5,5,0,0,0,1,1
112701496,373,MILK,2,2,0,0,0,1,1
112701496,374,MILK,5,5,0,0,0,1,1
112701496,385,WOOL,11,11,14,3,3,11,1
112701496,393,MILK,4,4,2,0,1,1,1
