,,units,units,cash,cash
role,,opp,self,opp,self
op,item,,,,
BUY_ANIMAL,COW,6,6,-2400,-2400
BUY_ANIMAL,SHEEP,11,11,-5500,-5500
BUY_LAND,,2,2,-3000,-3000
BUY_PRODUCT,FERTILIZER,57,57,-744,-759
BUY_PRODUCT,WHEAT,158,158,-5439,-5439
BUY_SEED,CARROT,56,56,-1120,-1120
BUY_SEED,MELON,12,12,-960,-960
BUY_SEED,STRAWBERRY,33,33,-3300,-3300
BUY_SEED,WHEAT,142,142,-1420,-1420
HIRE,,281,281,-5515,-5515
SELL,CARROT,162,162,10004,10003
SELL,FERTILIZER,329,329,13326,13340
SELL,MELON,72,72,14267,14267
SELL,MILK,165,165,8442,8136
SELL,STRAWBERRY,249,249,23371,22664
SELL,WHEAT,298,298,9617,9621
SELL,WOOL,281,281,46540,45410
