opponent,seed,seat,length,decisions_identical,rewards_identical
ahmed_v57,2026092425,0,719,True,True
ahmed_v57,2026092425,1,719,True,True
ahmed_v57,2026092426,0,719,True,True
ahmed_v57,2026092426,1,719,True,True
ahmed_v57,2026092427,0,719,True,True
ahmed_v57,2026092427,1,719,True,True
melon_threshold,2026092425,0,719,True,True
melon_threshold,2026092425,1,719,True,True
melon_threshold,2026092426,0,719,True,True
melon_threshold,2026092426,1,719,True,True
melon_threshold,2026092427,0,719,True,True
melon_threshold,2026092427,1,719,True,True
metav4,2026092425,0,719,True,True
metav4,2026092425,1,719,True,True
metav4,2026092426,0,719,True,True
metav4,2026092426,1,719,True,True
metav4,2026092427,0,719,True,True
metav4,2026092427,1,719,True,True
qeinstein_moev2,2026092425,0,719,True,True
qeinstein_moev2,2026092425,1,719,True,True
qeinstein_moev2,2026092426,0,719,True,True
qeinstein_moev2,2026092426,1,719,True,True
qeinstein_moev2,2026092427,0,719,True,True
qeinstein_moev2,2026092427,1,719,True,True
