section,arm,games,wins,losses,ties,mean_cash,mean_margin,seeds,opponents
b1_regression,B0_v124,32,30,2,0,92906.15625,7272.40625,4,4
b1_regression,B1_herd_safe,32,32,0,0,105860.5625,19178.21875,4,4
herd_safe_confirmation,herd_safe,16,16,0,0,100759.375,1034.625,2,4
opening_b2_confirmation,B1_buy8_sell3,48,39,3,6,91902.54166666667,4141.541666666667,4,6
opening_b2_confirmation,B2_buy10_sell5,48,39,9,0,92397.47916666667,4278.583333333333,4,6
opening_candidate_isolation,buy10_sell5,12,12,0,0,123776.66666666667,42770.666666666664,2,3
opening_candidate_isolation,buy20_sell15,12,12,0,0,113638.0,35459.5,2,3
opening_candidate_isolation,buy8_sell3_B1,12,12,0,0,111338.5,34796.833333333336,2,3
opening_candidate_isolation,direct_buy5,12,12,0,0,111331.66666666667,34783.833333333336,2,3
opening_candidate_isolation,sell3_buy8,12,4,8,0,115024.83333333333,31423.666666666668,2,3
opening_funding_stress,B0_v124,24,16,8,0,137956.58333333334,80220.66666666667,2,6
opening_funding_stress,B1_herd_safe,24,22,2,0,150049.08333333334,93227.58333333333,2,6
public_candidate_selection,ahmed_v57,20,6,10,4,102836.0,-3875.1,2,5
public_candidate_selection,melon_threshold,20,8,8,4,112279.6,6645.5,2,5
public_candidate_selection,metav4,20,4,12,4,100255.4,28.1,2,5
public_preliminary,B0_v124,56,8,48,0,96703.30357142857,-2631.839285714286,4,7
task_null_control,B1_original,4,4,0,0,81001.0,2596.0,2,1
task_null_control,B1_wrapper_null,4,4,0,0,81001.0,2596.0,2,1
task_selector_seed_holdout,B0_v124,24,6,18,0,85950.0,-3955.0833333333335,3,4
task_selector_seed_holdout,B1_herd_safe,24,23,1,0,94025.83333333333,7087.291666666667,3,4
task_selector_seed_holdout,learned_selector,24,23,1,0,94025.83333333333,7087.291666666667,3,4
task_selector_seed_holdout,rule_selector,24,15,9,0,90884.91666666667,5988.75,3,4
