episode_id,role,op,item,units,cash
112695730,opp,BUY_ANIMAL,COW,8,-3200
112695730,opp,BUY_ANIMAL,SHEEP,9,-4500
112695730,opp,BUY_LAND,,2,-3000
112695730,opp,BUY_PRODUCT,FERTILIZER,214,-10761
112695730,opp,BUY_PRODUCT,WHEAT,5221,-228716
112695730,opp,BUY_SEED,MELON,29,-2320
112695730,opp,BUY_SEED,STRAWBERRY,51,-5100
112695730,opp,BUY_SEED,WHEAT,42,-420
112695730,opp,HIRE,,306,-8194
112695730,opp,SELL,FERTILIZER,389,19352
112695730,opp,SELL,MELON,48,8797
112695730,opp,SELL,MILK,184,42484
112695730,opp,SELL,STRAWBERRY,10,2199
112695730,opp,SELL,WHEAT,4901,215011
112695730,opp,SELL,WOOL,96,560
112695730,self,BUY_ANIMAL,COW,12,-4800
112695730,self,BUY_ANIMAL,SHEEP,5,-2500
112695730,self,BUY_LAND,,2,-3000
112695730,self,BUY_PRODUCT,FERTILIZER,79,-3535
112695730,self,BUY_PRODUCT,WHEAT,122,-4023
112695730,self,BUY_SEED,CARROT,40,-800
112695730,self,BUY_SEED,MELON,12,-960
112695730,self,BUY_SEED,STRAWBERRY,33,-3300
112695730,self,BUY_SEED,WHEAT,159,-1590
112695730,self,HIRE,,265,-4075
112695730,self,SELL,CARROT,117,7295
112695730,self,SELL,EGG,0,0
112695730,self,SELL,FERTILIZER,345,19645
112695730,self,SELL,MELON,72,17440
112695730,self,SELL,MILK,323,75162
112695730,self,SELL,STRAWBERRY,249,60852
112695730,self,SELL,WHEAT,338,14724
112695730,self,SELL,WOOL,109,11160
112696878,opp,BUY_ANIMAL,COW,8,-3200
112696878,opp,BUY_ANIMAL,SHEEP,6,-3000
112696878,opp,BUY_LAND,,2,-3000
112696878,opp,BUY_PRODUCT,WHEAT,266,-9950
112696878,opp,BUY_SEED,MELON,24,-1920
112696878,opp,BUY_SEED,STRAWBERRY,42,-4200
112696878,opp,BUY_SEED,WHEAT,109,-1090
112696878,opp,HIRE,,263,-8733
112696878,opp,SELL,FERTILIZER,212,10433
112696878,opp,SELL,MELON,144,14290
112696878,opp,SELL,MILK,213,14755
112696878,opp,SELL,STRAWBERRY,295,5510
112696878,opp,SELL,WHEAT,302,11782
112696878,opp,SELL,WOOL,148,27292
112696878,self,BUY_ANIMAL,COW,6,-2400
112696878,self,BUY_ANIMAL,SHEEP,11,-5500
112696878,self,BUY_LAND,,2,-3000
112696878,self,BUY_PRODUCT,FERTILIZER,48,-1289
112696878,self,BUY_PRODUCT,WHEAT,149,-5477
112696878,self,BUY_SEED,CARROT,28,-560
112696878,self,BUY_SEED,MELON,12,-960
112696878,self,BUY_SEED,STRAWBERRY,33,-3300
112696878,self,BUY_SEED,WHEAT,166,-1660
112696878,self,HIRE,,280,-5371
112696878,self,SELL,CARROT,83,4415
112696878,self,SELL,FERTILIZER,322,15897
112696878,self,SELL,MELON,72,16064
112696878,self,SELL,MILK,181,14949
112696878,self,SELL,STRAWBERRY,246,10831
112696878,self,SELL,WHEAT,363,15065
112696878,self,SELL,WOOL,278,54315
112698041,opp,BUY_ANIMAL,COW,12,-4800
112698041,opp,BUY_ANIMAL,SHEEP,5,-2500
112698041,opp,BUY_LAND,,2,-3000
112698041,opp,BUY_PRODUCT,FERTILIZER,78,-2584
112698041,opp,BUY_PRODUCT,WHEAT,1045,-40135
112698041,opp,BUY_SEED,CARROT,38,-760
112698041,opp,BUY_SEED,MELON,12,-960
112698041,opp,BUY_SEED,STRAWBERRY,33,-3300
112698041,opp,BUY_SEED,WHEAT,158,-1580
112698041,opp,HIRE,,266,-4164
112698041,opp,SELL,CARROT,111,6024
112698041,opp,SELL,FERTILIZER,331,15120
112698041,opp,SELL,MELON,72,14407
112698041,opp,SELL,MILK,309,39958
112698041,opp,SELL,STRAWBERRY,249,33007
112698041,opp,SELL,WHEAT,1298,48899
112698041,opp,SELL,WOOL,90,5461
112698041,self,BUY_ANIMAL,COW,12,-4800
112698041,self,BUY_ANIMAL,SHEEP,5,-2500
112698041,self,BUY_LAND,,2,-3000
112698041,self,BUY_PRODUCT,FERTILIZER,80,-2617
112698041,self,BUY_PRODUCT,WHEAT,1038,-40527
112698041,self,BUY_SEED,CARROT,51,-1020
112698041,self,BUY_SEED,MELON,12,-960
112698041,self,BUY_SEED,STRAWBERRY,33,-3300
112698041,self,BUY_SEED,WHEAT,147,-1470
112698041,self,HIRE,,266,-4164
112698041,self,SELL,CARROT,153,8594
112698041,self,SELL,FERTILIZER,334,15201
112698041,self,SELL,MELON,72,14319
112698041,self,SELL,MILK,306,39112
112698041,self,SELL,STRAWBERRY,249,33582
112698041,self,SELL,WHEAT,1244,47180
112698041,self,SELL,WOOL,90,5481
112698051,opp,BUY_ANIMAL,COW,9,-3600
112698051,opp,BUY_ANIMAL,SHEEP,4,-2000
112698051,opp,BUY_LAND,,2,-3000
112698051,opp,BUY_PRODUCT,WHEAT,212,-8035
112698051,opp,BUY_SEED,MELON,19,-1520
112698051,opp,BUY_SEED,STRAWBERRY,36,-3600
112698051,opp,BUY_SEED,WHEAT,148,-1480
112698051,opp,HIRE,,262,-7148
112698051,opp,SELL,FERTILIZER,225,10973
112698051,opp,SELL,MELON,114,14367
112698051,opp,SELL,MILK,219,37827
112698051,opp,SELL,STRAWBERRY,278,38953
112698051,opp,SELL,WHEAT,444,16322
112698051,opp,SELL,WOOL,131,5902
112698051,self,BUY_ANIMAL,COW,9,-3600
112698051,self,BUY_ANIMAL,GOOSE,3,-900
112698051,self,BUY_ANIMAL,SHEEP,5,-2500
112698051,self,BUY_LAND,,2,-3000
112698051,self,BUY_PRODUCT,FERTILIZER,79,-3340
112698051,self,BUY_PRODUCT,WHEAT,1038,-43419
112698051,self,BUY_SEED,CARROT,40,-800
112698051,self,BUY_SEED,MELON,12,-960
112698051,self,BUY_SEED,STRAWBERRY,33,-3300
112698051,self,BUY_SEED,WHEAT,159,-1590
112698051,self,HIRE,,266,-4164
112698051,self,SELL,CARROT,113,6719
112698051,self,SELL,EGG,91,4895
112698051,self,SELL,FERTILIZER,327,17344
112698051,self,SELL,MELON,72,16847
112698051,self,SELL,MILK,266,46152
112698051,self,SELL,STRAWBERRY,249,37883
112698051,self,SELL,WHEAT,1286,53673
112698051,self,SELL,WOOL,87,4520
112699185,opp,BUY_ANIMAL,COW,8,-3200
112699185,opp,BUY_ANIMAL,SHEEP,6,-3000
112699185,opp,BUY_LAND,,2,-3000
112699185,opp,BUY_PRODUCT,WHEAT,902,-38958
112699185,opp,BUY_SEED,MELON,21,-1680
112699185,opp,BUY_SEED,STRAWBERRY,44,-4400
112699185,opp,BUY_SEED,WHEAT,66,-660
