arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,action_difference_detail,stored_states,statuses,shop_history_sha256,replay_path
c0,ggmljs_v16,2026092306,0,1.0,126228.0,67758.0,58470.0,0.0,0.0,0,,{},720,DONE/DONE,d0e1e483e2dc2cafe5be8706f15f5ba0524bd61f9b3e2e619cfc2b8884f17798,experiments\learning_next_20260921\challenge_calibration\replays\c0\ggmljs_v16\seed_2026092306_seat_0.json.gz
c0,ggmljs_v16,2026092306,1,1.0,126228.0,67758.0,58470.0,0.0,0.0,0,,{},720,DONE/DONE,d0e1e483e2dc2cafe5be8706f15f5ba0524bd61f9b3e2e619cfc2b8884f17798,experiments\learning_next_20260921\challenge_calibration\replays\c0\ggmljs_v16\seed_2026092306_seat_1.json.gz
c0,ggmljs_v16,2026092307,0,1.0,116519.0,95136.0,21383.0,0.0,0.0,0,,{},720,DONE/DONE,93a58442f57f12a973156e422b9235781352cc95885cb1db1162e3f750c5e8a7,experiments\learning_next_20260921\challenge_calibration\replays\c0\ggmljs_v16\seed_2026092307_seat_0.json.gz
c0,ggmljs_v16,2026092307,1,1.0,115902.0,95100.0,20802.0,0.0,0.0,0,,{},720,DONE/DONE,93a58442f57f12a973156e422b9235781352cc95885cb1db1162e3f750c5e8a7,experiments\learning_next_20260921\challenge_calibration\replays\c0\ggmljs_v16\seed_2026092307_seat_1.json.gz
c0,mooman_e052a,2026092306,0,1.0,112032.0,106878.0,5154.0,0.0,0.0,0,,{},720,DONE/DONE,aea8d2af4be12fdc4f861a230b6f2e6122d7d3e1391066eac04d7538b2aa0d98,experiments\learning_next_20260921\challenge_calibration\replays\c0\mooman_e052a\seed_2026092306_seat_0.json.gz
c0,mooman_e052a,2026092306,1,1.0,112032.0,106878.0,5154.0,0.0,0.0,0,,{},720,DONE/DONE,aea8d2af4be12fdc4f861a230b6f2e6122d7d3e1391066eac04d7538b2aa0d98,experiments\learning_next_20260921\challenge_calibration\replays\c0\mooman_e052a\seed_2026092306_seat_1.json.gz
c0,mooman_e052a,2026092307,0,1.0,105935.0,105823.0,112.0,0.0,0.0,0,,{},720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_next_20260921\challenge_calibration\replays\c0\mooman_e052a\seed_2026092307_seat_0.json.gz
c0,mooman_e052a,2026092307,1,0.0,98042.0,105494.0,-7452.0,0.0,0.0,0,,{},720,DONE/DONE,8f37b24d7598c448601c51720a1735102d0f50b31baabc5cf13b6e13cf5e5994,experiments\learning_next_20260921\challenge_calibration\replays\c0\mooman_e052a\seed_2026092307_seat_1.json.gz
c0,qeinstein_moev2,2026092306,0,1.0,114250.0,93867.0,20383.0,0.0,0.0,0,,{},720,DONE/DONE,3c786d3cf515d357d9b95b6ffed0667c5691ad27d152f1a73cf30f7b8760a034,experiments\learning_next_20260921\challenge_calibration\replays\c0\qeinstein_moev2\seed_2026092306_seat_0.json.gz
c0,qeinstein_moev2,2026092306,1,1.0,114250.0,93867.0,20383.0,0.0,0.0,0,,{},720,DONE/DONE,3c786d3cf515d357d9b95b6ffed0667c5691ad27d152f1a73cf30f7b8760a034,experiments\learning_next_20260921\challenge_calibration\replays\c0\qeinstein_moev2\seed_2026092306_seat_1.json.gz
c0,qeinstein_moev2,2026092307,0,1.0,68074.0,62228.0,5846.0,0.0,0.0,0,,{},720,DONE/DONE,f4911c5524a255302c47cdf12298e34160769022b43a0015930c340ff8632ab8,experiments\learning_next_20260921\challenge_calibration\replays\c0\qeinstein_moev2\seed_2026092307_seat_0.json.gz
c0,qeinstein_moev2,2026092307,1,0.0,81967.0,82137.0,-170.0,0.0,0.0,0,,{},720,DONE/DONE,3cfe19461023c707f3081520681161ae28506edcb87ea09ae60ff3b8bd071869,experiments\learning_next_20260921\challenge_calibration\replays\c0\qeinstein_moev2\seed_2026092307_seat_1.json.gz
c0,robriculture_lean_feed,2026092306,0,1.0,121447.0,14611.0,106836.0,0.0,0.0,0,,{},720,DONE/DONE,2bddfdea302249c03dc06ec87764908b71c5c32f540956237c1f992a9b372377,experiments\learning_next_20260921\challenge_calibration\replays\c0\robriculture_lean_feed\seed_2026092306_seat_0.json.gz
c0,robriculture_lean_feed,2026092306,1,1.0,121447.0,14611.0,106836.0,0.0,0.0,0,,{},720,DONE/DONE,2bddfdea302249c03dc06ec87764908b71c5c32f540956237c1f992a9b372377,experiments\learning_next_20260921\challenge_calibration\replays\c0\robriculture_lean_feed\seed_2026092306_seat_1.json.gz
c0,robriculture_lean_feed,2026092307,0,1.0,174729.0,82433.0,92296.0,0.0,0.0,0,,{},720,DONE/DONE,70ad00387d6f1374f83bb0b6adad55b172ba285876b609e8ba2c68a491d985ea,experiments\learning_next_20260921\challenge_calibration\replays\c0\robriculture_lean_feed\seed_2026092307_seat_0.json.gz
c0,robriculture_lean_feed,2026092307,1,1.0,147849.0,48846.0,99003.0,0.0,0.0,0,,{},720,DONE/DONE,545b0261ec19f9096435cc296395b80fa49302f787ed96ee859351d4d2410dcc,experiments\learning_next_20260921\challenge_calibration\replays\c0\robriculture_lean_feed\seed_2026092307_seat_1.json.gz
c0,smart_farm,2026092306,0,1.0,112562.0,100040.0,12522.0,0.0,0.0,0,,{},720,DONE/DONE,aea8d2af4be12fdc4f861a230b6f2e6122d7d3e1391066eac04d7538b2aa0d98,experiments\learning_next_20260921\challenge_calibration\replays\c0\smart_farm\seed_2026092306_seat_0.json.gz
c0,smart_farm,2026092306,1,1.0,112562.0,100040.0,12522.0,0.0,0.0,0,,{},720,DONE/DONE,aea8d2af4be12fdc4f861a230b6f2e6122d7d3e1391066eac04d7538b2aa0d98,experiments\learning_next_20260921\challenge_calibration\replays\c0\smart_farm\seed_2026092306_seat_1.json.gz
c0,smart_farm,2026092307,0,0.0,106774.0,107235.0,-461.0,0.0,0.0,0,,{},720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_next_20260921\challenge_calibration\replays\c0\smart_farm\seed_2026092307_seat_0.json.gz
c0,smart_farm,2026092307,1,0.0,106774.0,107235.0,-461.0,0.0,0.0,0,,{},720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_next_20260921\challenge_calibration\replays\c0\smart_farm\seed_2026092307_seat_1.json.gz
