evaluation_id,arm,opponent_family,games,wins,draws,losses,mean_score,mean_margin,mean_paired_score_delta_vs_c0
b_development_evaluation,c0,qeinstein_moev2,10,10,0,0,1.0,12304.6,0.0
b_development_evaluation,c0,mooman_e052a,10,10,0,0,1.0,8965.4,0.0
b_development_evaluation,c0,smart_farm,10,10,0,0,1.0,9741.2,0.0
b_development_evaluation,c0,souvik_v4,10,10,0,0,1.0,10354.2,0.0
b_development_evaluation,b_simple,qeinstein_moev2,10,10,0,0,1.0,12007.8,0.0
b_development_evaluation,b_simple,mooman_e052a,10,10,0,0,1.0,8636.5,0.0
b_development_evaluation,b_simple,smart_farm,10,10,0,0,1.0,9466.2,0.0
b_development_evaluation,b_simple,souvik_v4,10,10,0,0,1.0,10042.2,0.0
b_development_evaluation,b_learned,qeinstein_moev2,10,10,0,0,1.0,12313.4,0.0
b_development_evaluation,b_learned,mooman_e052a,10,10,0,0,1.0,8982.4,0.0
b_development_evaluation,b_learned,smart_farm,10,10,0,0,1.0,9753.8,0.0
b_development_evaluation,b_learned,souvik_v4,10,10,0,0,1.0,10371.2,0.0
challenge_calibration,c0,qeinstein_moev2,4,3,0,1,0.75,11610.5,0.0
challenge_calibration,c0,mooman_e052a,4,3,0,1,0.75,742.0,0.0
challenge_calibration,c0,smart_farm,4,2,0,2,0.5,6030.5,0.0
challenge_calibration,c0,souvik_v4,4,4,0,0,1.0,4226.5,0.0
challenge_calibration,c0,ggmljs_v16,4,4,0,0,1.0,39781.25,0.0
challenge_calibration,c0,robriculture_lean_feed,4,4,0,0,1.0,101242.75,0.0
smoke_evaluation,c0,qeinstein_moev2,2,2,0,0,1.0,20416.0,0.0
smoke_evaluation,b_simple,qeinstein_moev2,2,2,0,0,1.0,20117.0,0.0
smoke_evaluation,b_learned,qeinstein_moev2,2,2,0,0,1.0,20117.0,0.0
smoke_evaluation,a_baseline,qeinstein_moev2,2,0,0,2,0.0,-120066.0,-1.0
smoke_evaluation,a_learned,qeinstein_moev2,2,0,0,2,0.0,-120066.0,-1.0
smoke_evaluation,independent_bc,qeinstein_moev2,2,0,0,2,0.0,-169396.0,-1.0
smoke_repair1_evaluation,c0,qeinstein_moev2,2,2,0,0,1.0,20416.0,0.0
smoke_repair1_evaluation,b_simple,qeinstein_moev2,2,2,0,0,1.0,20117.0,0.0
smoke_repair1_evaluation,b_learned,qeinstein_moev2,2,2,0,0,1.0,20412.0,0.0
smoke_repair1_evaluation,a_baseline,qeinstein_moev2,2,0,0,2,0.0,-181810.0,-1.0
smoke_repair1_evaluation,a_learned,qeinstein_moev2,2,0,0,2,0.0,-136485.0,-1.0
smoke_repair1_evaluation,independent_bc,qeinstein_moev2,2,0,0,2,0.0,-127525.5,-1.0
