arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
a_baseline,qeinstein_moev2,2026092301,0,0.0,0.0,112785.0,-112785.0,-1.0,-133201.0,714,2,720,DONE/DONE,a110eed537bcfbe172b5eb3936b0c6efa3c255c839531e6d5202b58d7e6b772d,experiments\learning_next_20260921\smoke_evaluation\replays\a_baseline\qeinstein_moev2\seed_2026092301_seat_0.json.gz
a_baseline,qeinstein_moev2,2026092301,1,0.0,0.0,127347.0,-127347.0,-1.0,-147763.0,714,2,720,DONE/DONE,94bb08d7df95ff0a621a5738900b8b98e72dae6b4199622f1ab37a4876288de0,experiments\learning_next_20260921\smoke_evaluation\replays\a_baseline\qeinstein_moev2\seed_2026092301_seat_1.json.gz
a_learned,qeinstein_moev2,2026092301,0,0.0,0.0,112785.0,-112785.0,-1.0,-133201.0,714,2,720,DONE/DONE,a110eed537bcfbe172b5eb3936b0c6efa3c255c839531e6d5202b58d7e6b772d,experiments\learning_next_20260921\smoke_evaluation\replays\a_learned\qeinstein_moev2\seed_2026092301_seat_0.json.gz
a_learned,qeinstein_moev2,2026092301,1,0.0,0.0,127347.0,-127347.0,-1.0,-147763.0,714,2,720,DONE/DONE,94bb08d7df95ff0a621a5738900b8b98e72dae6b4199622f1ab37a4876288de0,experiments\learning_next_20260921\smoke_evaluation\replays\a_learned\qeinstein_moev2\seed_2026092301_seat_1.json.gz
b_learned,qeinstein_moev2,2026092301,0,1.0,86082.0,65965.0,20117.0,0.0,-299.0,2,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_evaluation\replays\b_learned\qeinstein_moev2\seed_2026092301_seat_0.json.gz
b_learned,qeinstein_moev2,2026092301,1,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_evaluation\replays\b_learned\qeinstein_moev2\seed_2026092301_seat_1.json.gz
b_simple,qeinstein_moev2,2026092301,0,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_evaluation\replays\b_simple\qeinstein_moev2\seed_2026092301_seat_0.json.gz
b_simple,qeinstein_moev2,2026092301,1,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_evaluation\replays\b_simple\qeinstein_moev2\seed_2026092301_seat_1.json.gz
c0,qeinstein_moev2,2026092301,0,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_evaluation\replays\c0\qeinstein_moev2\seed_2026092301_seat_0.json.gz
c0,qeinstein_moev2,2026092301,1,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_evaluation\replays\c0\qeinstein_moev2\seed_2026092301_seat_1.json.gz
independent_bc,qeinstein_moev2,2026092301,0,0.0,142.0,161968.0,-161826.0,-1.0,-182242.0,719,0,720,DONE/DONE,578e199072d9a9e2d00fb86ccabff6c013605e424c3dbcb35f06723a8d4a44b5,experiments\learning_next_20260921\smoke_evaluation\replays\independent_bc\qeinstein_moev2\seed_2026092301_seat_0.json.gz
independent_bc,qeinstein_moev2,2026092301,1,0.0,0.0,176966.0,-176966.0,-1.0,-197382.0,719,0,720,DONE/DONE,9fed526712c6cb0d92ca1b61f9a36699bb8a17e8a8af2e98831d8aa1b14b0fb8,experiments\learning_next_20260921\smoke_evaluation\replays\independent_bc\qeinstein_moev2\seed_2026092301_seat_1.json.gz
