arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,action_difference_detail,stored_states,statuses,shop_history_sha256,replay_path
a_baseline,qeinstein_moev2,2026092301,0,0.0,0.0,181160.0,-181160.0,-1.0,-201576.0,679,4,"{""by_day_band"":{""d00-05"":108,""d06-11"":140,""d12-17"":144,""d18-23"":144,""d24-29"":143},""candidate_ops_on_different_turns"":{""DROP"":59,""BUILD_PASTURE"":11,""PASS"":188,""NORTH"":177,""PLACE"":6,""WEST"":167,""PICKUP"":81,""DIG"":43,""PLANT"":91,""HARVEST"":81,""FEED"":44,""SOUTH"":92,""WATER"":123,""CARE"":51,""COLLECT_FERTILIZER"":45,""EAST"":107,""FERTILIZE"":4},""candidate_market_items_on_different_turns"":{""MELON"":6,""WHEAT"":165,""FERTILIZER"":26,""COW"":5,""STRAWBERRY"":24,""SHEEP"":6,""CARROT"":25}}",720,DONE/DONE,e6df15609e94553fdc964961ada2511cab0aeced3fc1bfda569c55cd355224a8,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\a_baseline\qeinstein_moev2\seed_2026092301_seat_0.json.gz
a_baseline,qeinstein_moev2,2026092301,1,0.0,0.0,182460.0,-182460.0,-1.0,-202876.0,679,4,"{""by_day_band"":{""d00-05"":108,""d06-11"":140,""d12-17"":144,""d18-23"":144,""d24-29"":143},""candidate_ops_on_different_turns"":{""DROP"":58,""BUILD_PASTURE"":11,""PASS"":193,""NORTH"":176,""PLACE"":5,""WEST"":165,""PICKUP"":82,""DIG"":45,""PLANT"":91,""HARVEST"":79,""FEED"":46,""SOUTH"":92,""WATER"":122,""CARE"":51,""COLLECT_FERTILIZER"":46,""EAST"":104,""FERTILIZE"":4},""candidate_market_items_on_different_turns"":{""MELON"":6,""WHEAT"":171,""FERTILIZER"":26,""COW"":5,""STRAWBERRY"":24,""SHEEP"":6,""CARROT"":25}}",720,DONE/DONE,44d3187f2d5a2c1c0e4a3c5a3766b27717aba414030ca4e87d4cd7534039c94f,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\a_baseline\qeinstein_moev2\seed_2026092301_seat_1.json.gz
a_learned,qeinstein_moev2,2026092301,0,0.0,4047.0,154302.0,-150255.0,-1.0,-170671.0,633,4,"{""by_day_band"":{""d00-05"":82,""d06-11"":129,""d12-17"":137,""d18-23"":144,""d24-29"":141},""candidate_ops_on_different_turns"":{""PLACE"":87,""BUILD_PASTURE"":13,""PASS"":384,""NORTH"":755,""WEST"":687,""PICKUP"":313,""DIG"":111,""PLANT"":403,""FEED"":165,""SOUTH"":424,""WATER"":874,""COLLECT_FERTILIZER"":192,""CARE"":195,""EAST"":493,""HARVEST"":498,""DROP"":17,""BUILD_COOP"":2,""FERTILIZE"":53},""candidate_market_items_on_different_turns"":{""MELON"":6,""WHEAT"":170,""FERTILIZER"":57,""COW"":4,""STRAWBERRY"":17,""SHEEP"":5,""WOOL"":2,""CARROT"":29}}",720,DONE/DONE,2ad7bbe8b9d3896662d35a451fa0170211eb5d1cfd18f288c86023e16a0e6f98,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\a_learned\qeinstein_moev2\seed_2026092301_seat_0.json.gz
a_learned,qeinstein_moev2,2026092301,1,0.0,2374.0,125089.0,-122715.0,-1.0,-143131.0,644,4,"{""by_day_band"":{""d00-05"":83,""d06-11"":136,""d12-17"":140,""d18-23"":144,""d24-29"":141},""candidate_ops_on_different_turns"":{""PLACE"":92,""BUILD_PASTURE"":13,""PASS"":385,""NORTH"":703,""WEST"":664,""PICKUP"":277,""DIG"":123,""PLANT"":389,""FEED"":152,""SOUTH"":407,""WATER"":813,""COLLECT_FERTILIZER"":186,""CARE"":183,""EAST"":476,""HARVEST"":464,""DROP"":21,""BUILD_COOP"":2,""FERTILIZE"":49},""candidate_market_items_on_different_turns"":{""MELON"":6,""WHEAT"":181,""FERTILIZER"":53,""COW"":2,""STRAWBERRY"":19,""SHEEP"":6,""CARROT"":29}}",720,DONE/DONE,90dd0ae782a34bef2b5cf9573fea8457781d2e90d09132e9220252bb2da3d09c,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\a_learned\qeinstein_moev2\seed_2026092301_seat_1.json.gz
b_learned,qeinstein_moev2,2026092301,0,1.0,86243.0,65831.0,20412.0,0.0,-4.0,2,409,"{""by_day_band"":{""d12-17"":1,""d24-29"":1},""candidate_ops_on_different_turns"":{""WEST"":5,""PICKUP"":6,""EAST"":2,""NORTH"":3,""PASS"":3,""SOUTH"":1},""candidate_market_items_on_different_turns"":{""FERTILIZER"":5,""EGG"":2,""WOOL"":1}}",720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\b_learned\qeinstein_moev2\seed_2026092301_seat_0.json.gz
b_learned,qeinstein_moev2,2026092301,1,1.0,86243.0,65831.0,20412.0,0.0,-4.0,2,409,"{""by_day_band"":{""d12-17"":1,""d24-29"":1},""candidate_ops_on_different_turns"":{""WEST"":5,""PICKUP"":6,""EAST"":2,""NORTH"":3,""PASS"":3,""SOUTH"":1},""candidate_market_items_on_different_turns"":{""FERTILIZER"":5,""EGG"":2,""WOOL"":1}}",720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\b_learned\qeinstein_moev2\seed_2026092301_seat_1.json.gz
b_simple,qeinstein_moev2,2026092301,0,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,"{""by_day_band"":{""d06-11"":1},""candidate_ops_on_different_turns"":{""SOUTH"":1},""candidate_market_items_on_different_turns"":{""FERTILIZER"":1,""MELON"":1}}",720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\b_simple\qeinstein_moev2\seed_2026092301_seat_0.json.gz
b_simple,qeinstein_moev2,2026092301,1,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,"{""by_day_band"":{""d06-11"":1},""candidate_ops_on_different_turns"":{""SOUTH"":1},""candidate_market_items_on_different_turns"":{""FERTILIZER"":1,""MELON"":1}}",720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\b_simple\qeinstein_moev2\seed_2026092301_seat_1.json.gz
c0,qeinstein_moev2,2026092301,0,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,{},720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\c0\qeinstein_moev2\seed_2026092301_seat_0.json.gz
c0,qeinstein_moev2,2026092301,1,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,{},720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_next_20260921\smoke_repair1_evaluation\replays\c0\qeinstein_moev2\seed_2026092301_seat_1.json.gz
