arm,opponent_family,games,wins,draws,losses,mean_margin,mean_paired_score_delta_vs_c0
a2,mooman_e052a,8,6,0,2,4908.75,-0.25
a2,qeinstein_moev2,8,5,0,3,5428.375,-0.125
a2,smart_farm,8,6,0,2,3109.0,-0.25
a2,souvik_v4,8,6,0,2,4419.875,-0.25
a2_keep,mooman_e052a,8,8,0,0,8759.875,0.0
a2_keep,qeinstein_moev2,8,6,0,2,6095.875,0.0
a2_keep,smart_farm,8,8,0,0,6574.625,0.0
a2_keep,souvik_v4,8,8,0,0,8822.75,0.0
a2_nonlearned,mooman_e052a,8,6,0,2,3883.75,-0.25
a2_nonlearned,qeinstein_moev2,8,2,0,6,-5508.125,-0.5
a2_nonlearned,smart_farm,8,6,0,2,1493.125,-0.25
a2_nonlearned,souvik_v4,8,6,0,2,3747.625,-0.25
b1,mooman_e052a,8,8,0,0,8778.25,0.0
b1,qeinstein_moev2,8,6,0,2,6098.0,0.0
b1,smart_farm,8,8,0,0,6584.25,0.0
b1,souvik_v4,8,8,0,0,8796.25,0.0
b2,mooman_e052a,8,8,0,0,8506.625,0.0
b2,qeinstein_moev2,8,6,0,2,5795.875,0.0
b2,smart_farm,8,6,0,2,6267.375,-0.25
b2,souvik_v4,8,8,0,0,8444.0,0.0
b2_frequency,mooman_e052a,8,8,0,0,8507.75,0.0
b2_frequency,qeinstein_moev2,8,6,0,2,5794.625,0.0
b2_frequency,smart_farm,8,6,0,2,6271.375,-0.25
b2_frequency,souvik_v4,8,8,0,0,8445.0,0.0
b_simple,mooman_e052a,8,8,0,0,8507.75,0.0
b_simple,qeinstein_moev2,8,6,0,2,5794.625,0.0
b_simple,smart_farm,8,6,0,2,6271.375,-0.25
b_simple,souvik_v4,8,8,0,0,8445.0,0.0
c0,mooman_e052a,8,8,0,0,8759.875,0.0
c0,qeinstein_moev2,8,6,0,2,6095.875,0.0
c0,smart_farm,8,8,0,0,6574.625,0.0
c0,souvik_v4,8,8,0,0,8822.75,0.0
