arm,opponent_family,games,wins,draws,losses,mean_margin,mean_paired_score_delta_vs_c0
b1,mooman_e052a,1,0,0,1,-7452.0,0.0
b1,qeinstein_moev2,1,0,0,1,-154.0,0.0
b1,smart_farm,2,0,0,2,-461.0,0.0
b2,mooman_e052a,1,0,0,1,-7725.0,0.0
b2,qeinstein_moev2,1,0,0,1,-415.0,0.0
b2,smart_farm,2,0,0,2,-773.0,0.0
b2_frequency,mooman_e052a,1,0,0,1,-7725.0,0.0
b2_frequency,qeinstein_moev2,1,0,0,1,-415.0,0.0
b2_frequency,smart_farm,2,0,0,2,-773.0,0.0
c0,mooman_e052a,1,0,0,1,-7452.0,0.0
c0,qeinstein_moev2,1,0,0,1,-170.0,0.0
c0,smart_farm,2,0,0,2,-461.0,0.0
