opponent_family,seed,seat,step,candidate_count,c0_equals_b2,ordered_oracle_cash_c0,ordered_oracle_cash_b2,ordered_oracle_margin_c0,ordered_oracle_margin_b2,ordered_oracle_headroom,choice_current_prediction_current_evaluator,regret_current_prediction_current_evaluator,choice_current_prediction_repaired_evaluator,regret_current_prediction_repaired_evaluator,choice_simple_prediction_repaired_evaluator,regret_simple_prediction_repaired_evaluator,choice_exact_quantities_unordered_oracle,regret_exact_quantities_unordered_oracle,choice_exact_ordered_oracle_repaired_evaluator,regret_exact_ordered_oracle_repaired_evaluator
mooman_e052a,2026092421,0,264,2,False,17298,17126,1443,1131,0,1,172,1,172,1,172,0,0,0,0
mooman_e052a,2026092421,1,264,2,False,17298,17126,1443,1131,0,1,172,1,172,1,172,0,0,0,0
mooman_e052a,2026092422,0,264,2,False,16305,16133,2663,2351,0,1,172,1,172,1,172,0,0,0,0
mooman_e052a,2026092422,1,264,2,False,16305,16133,2663,2351,0,1,172,1,172,1,172,0,0,0,0
mooman_e052a,2026092423,0,264,2,False,16719,16547,2581,2269,0,1,172,1,172,1,172,0,0,0,0
mooman_e052a,2026092423,1,264,2,False,16719,16547,2581,2269,0,1,172,1,172,1,172,0,0,0,0
mooman_e052a,2026092424,0,264,2,False,16658,16486,1881,1570,0,1,172,1,172,1,172,0,0,0,0
mooman_e052a,2026092424,1,264,2,False,16658,16486,1881,1570,0,1,172,1,172,1,172,0,0,0,0
qeinstein_moev2,2026092421,0,264,2,False,18067,17902,-162,-461,0,1,165,1,165,1,165,0,0,0,0
qeinstein_moev2,2026092421,1,264,2,False,18067,17902,-162,-461,0,1,165,1,165,1,165,0,0,0,0
qeinstein_moev2,2026092422,0,264,2,False,17864,17699,-648,-947,0,1,165,1,165,1,165,0,0,0,0
qeinstein_moev2,2026092422,1,264,2,False,17927,17762,-598,-897,0,1,165,1,165,1,165,0,0,0,0
qeinstein_moev2,2026092423,0,264,2,False,15912,15747,-2586,-2885,0,1,165,1,165,1,165,0,0,0,0
qeinstein_moev2,2026092423,1,264,2,False,15912,15747,-2586,-2885,0,1,165,1,165,1,165,0,0,0,0
qeinstein_moev2,2026092424,0,264,2,False,18210,18045,-237,-536,0,1,165,1,165,1,165,0,0,0,0
qeinstein_moev2,2026092424,1,264,2,False,18210,18045,-237,-536,0,1,165,1,165,1,165,0,0,0,0
smart_farm,2026092421,0,264,2,False,17299,17127,2176,1864,0,1,172,1,172,1,172,0,0,0,0
smart_farm,2026092421,1,264,2,False,17299,17127,2176,1864,0,1,172,1,172,1,172,0,0,0,0
smart_farm,2026092422,0,264,2,False,15819,15646,1371,1058,0,1,173,1,173,1,173,0,0,0,0
smart_farm,2026092422,1,264,2,False,15819,15646,1371,1058,0,1,173,1,173,1,173,0,0,0,0
smart_farm,2026092423,0,264,2,False,15769,15596,1261,948,0,1,173,1,173,1,173,0,0,0,0
smart_farm,2026092423,1,264,2,False,15769,15596,1261,948,0,1,173,1,173,1,173,0,0,0,0
smart_farm,2026092424,0,264,2,False,16721,16549,804,492,0,1,172,1,172,1,172,0,0,0,0
smart_farm,2026092424,1,264,2,False,16721,16549,804,492,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092421,0,264,2,False,17296,17124,1439,1127,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092421,1,264,2,False,17296,17124,1439,1127,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092422,0,264,2,False,16642,16470,2005,1693,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092422,1,264,2,False,15842,15670,1033,721,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092423,0,264,2,False,16717,16545,2577,2265,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092423,1,264,2,False,16717,16545,2577,2265,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092424,0,264,2,False,16723,16551,753,441,0,1,172,1,172,1,172,0,0,0,0
souvik_v4,2026092424,1,264,2,False,16723,16551,753,441,0,1,172,1,172,1,172,0,0,0,0
