family,seed,seat,selected_step,first_difference,predicted_value,predicted_risk,max_abs_z,n_z_gt_10,n_changed_constant_features,terminal_margin_delta,job,actor
mooman_e052a,2026092421,0,279,279.0,1.9540984630584717,9.357623589846195e-14,999.9999389648438,72,55,-2843.0,FERTILIZE_WATER,10
mooman_e052a,2026092421,1,281,281.0,10.403629302978516,9.357623589846195e-14,999.9999389648438,73,61,-3496.0,FERTILIZE_WATER,8
mooman_e052a,2026092422,0,254,254.0,44.36023712158203,9.357623589846195e-14,1080.0,37,30,0.0,COLLECT_CARE,10
mooman_e052a,2026092422,1,254,254.0,43.41271209716797,9.357623589846195e-14,1080.0,36,23,0.0,COLLECT_CARE,10
mooman_e052a,2026092423,0,254,254.0,8.5621976852417,9.357623589846195e-14,1080.0,34,22,0.0,COLLECT_CARE,10
mooman_e052a,2026092423,1,254,254.0,8.192338943481445,9.357623589846195e-14,1080.0,34,22,0.0,COLLECT_CARE,10
mooman_e052a,2026092424,0,242,242.0,43.664058685302734,9.357623589846195e-14,920.0,2,1,-12235.0,COLLECT_DROP,8
mooman_e052a,2026092424,1,242,242.0,43.49642562866211,9.357623589846195e-14,920.0,2,1,-12235.0,COLLECT_DROP,8
qeinstein_moev2,2026092421,0,284,284.0,0.3924412131309509,9.357623589846195e-14,999.9999389648438,69,48,-713.0,FERTILIZE_WATER,2
qeinstein_moev2,2026092421,1,287,287.0,23.359907150268555,9.357623589846195e-14,999.9999389648438,69,46,-1.0,FERTILIZE_WATER,5
qeinstein_moev2,2026092422,0,279,279.0,20.156051635742188,9.357623589846195e-14,999.9999389648438,69,54,-2134.0,FERTILIZE_WATER,10
qeinstein_moev2,2026092422,1,279,279.0,6.599294185638428,9.357623589846195e-14,999.9999389648438,71,52,-2444.0,FERTILIZE_WATER,10
qeinstein_moev2,2026092423,0,254,254.0,13.602303504943848,9.357623589846195e-14,1019.9999389648438,33,28,0.0,COLLECT_CARE,10
qeinstein_moev2,2026092423,1,254,254.0,11.266748428344727,9.357623589846195e-14,1019.9999389648438,33,28,0.0,COLLECT_CARE,10
qeinstein_moev2,2026092424,0,286,286.0,2.60783052444458,9.357623589846195e-14,999.9999389648438,71,49,-63.0,FERTILIZE_WATER,2
qeinstein_moev2,2026092424,1,287,287.0,20.816728591918945,9.357623589846195e-14,999.9999389648438,67,44,15.0,FERTILIZE_WATER,5
smart_farm,2026092421,0,279,279.0,1.9143158197402954,9.357623589846195e-14,999.9999389648438,72,55,-3491.0,FERTILIZE_WATER,10
smart_farm,2026092421,1,281,281.0,10.384474754333496,9.357623589846195e-14,999.9999389648438,73,61,-4080.0,FERTILIZE_WATER,8
smart_farm,2026092422,0,254,254.0,11.497583389282227,9.357623589846195e-14,1080.0,35,28,0.0,COLLECT_CARE,10
smart_farm,2026092422,1,254,254.0,8.968210220336914,9.357623589846195e-14,1080.0,35,28,0.0,COLLECT_CARE,10
smart_farm,2026092423,0,254,254.0,9.575432777404785,9.357623589846195e-14,1080.0,34,22,0.0,COLLECT_CARE,10
smart_farm,2026092423,1,254,254.0,7.060723304748535,9.357623589846195e-14,1080.0,34,22,0.0,COLLECT_CARE,10
smart_farm,2026092424,0,242,242.0,42.43492889404297,9.357623589846195e-14,920.0,2,1,-10077.0,COLLECT_DROP,8
smart_farm,2026092424,1,242,242.0,42.50977325439453,9.357623589846195e-14,920.0,2,1,-10077.0,COLLECT_DROP,8
souvik_v4,2026092421,0,279,279.0,1.9541199207305908,9.357623589846195e-14,999.9999389648438,72,55,-2843.0,FERTILIZE_WATER,10
souvik_v4,2026092421,1,281,281.0,10.403607368469238,9.357623589846195e-14,999.9999389648438,73,61,-3496.0,FERTILIZE_WATER,8
souvik_v4,2026092422,0,254,254.0,10.594088554382324,9.357623589846195e-14,1080.0,35,28,0.0,COLLECT_CARE,10
souvik_v4,2026092422,1,254,254.0,7.861596584320068,9.357623589846195e-14,1080.0,34,21,0.0,COLLECT_CARE,10
souvik_v4,2026092423,0,254,254.0,8.562224388122559,9.357623589846195e-14,1080.0,34,22,0.0,COLLECT_CARE,10
souvik_v4,2026092423,1,254,254.0,8.192317008972168,9.357623589846195e-14,1080.0,34,22,0.0,COLLECT_CARE,10
souvik_v4,2026092424,0,242,242.0,42.36338806152344,9.357623589846195e-14,920.0,2,1,-14442.0,COLLECT_DROP,8
souvik_v4,2026092424,1,242,242.0,42.19710922241211,9.357623589846195e-14,920.0,2,1,-14442.0,COLLECT_DROP,8
