family,seed,seat,same_initial_obs,first_step,first_self_delta,first_opp_delta,first_margin_delta,terminal_margin_delta,unit_action_differences
mooman_e052a,2026092421,0,True,264,-172.0,140.0,-312.0,-308.0,0
mooman_e052a,2026092421,1,True,264,-172.0,140.0,-312.0,-308.0,0
mooman_e052a,2026092422,0,True,264,-172.0,140.0,-312.0,-286.0,0
mooman_e052a,2026092422,1,True,264,-172.0,140.0,-312.0,-236.0,0
mooman_e052a,2026092423,0,True,264,-172.0,140.0,-312.0,-267.0,0
mooman_e052a,2026092423,1,True,264,-172.0,140.0,-312.0,-267.0,0
mooman_e052a,2026092424,0,True,264,-172.0,139.0,-311.0,-177.0,1
mooman_e052a,2026092424,1,True,264,-172.0,139.0,-311.0,-177.0,1
qeinstein_moev2,2026092421,0,True,264,-165.0,134.0,-299.0,-231.0,0
qeinstein_moev2,2026092421,1,True,264,-165.0,134.0,-299.0,-231.0,0
qeinstein_moev2,2026092422,0,True,264,-165.0,134.0,-299.0,-398.0,0
qeinstein_moev2,2026092422,1,True,264,-165.0,134.0,-299.0,-344.0,0
qeinstein_moev2,2026092423,0,True,264,-165.0,134.0,-299.0,-299.0,0
qeinstein_moev2,2026092423,1,True,264,-165.0,134.0,-299.0,-299.0,0
qeinstein_moev2,2026092424,0,True,264,-165.0,134.0,-299.0,-299.0,0
qeinstein_moev2,2026092424,1,True,264,-165.0,134.0,-299.0,-299.0,0
smart_farm,2026092421,0,True,264,-172.0,140.0,-312.0,-293.0,0
smart_farm,2026092421,1,True,264,-172.0,140.0,-312.0,-293.0,0
smart_farm,2026092422,0,True,264,-173.0,140.0,-313.0,-280.0,0
smart_farm,2026092422,1,True,264,-173.0,140.0,-313.0,-280.0,0
smart_farm,2026092423,0,True,264,-173.0,140.0,-313.0,-344.0,0
smart_farm,2026092423,1,True,264,-173.0,140.0,-313.0,-344.0,0
smart_farm,2026092424,0,True,264,-172.0,140.0,-312.0,-312.0,0
smart_farm,2026092424,1,True,264,-172.0,140.0,-312.0,-312.0,0
souvik_v4,2026092421,0,True,264,-172.0,140.0,-312.0,-308.0,0
souvik_v4,2026092421,1,True,264,-172.0,140.0,-312.0,-308.0,0
souvik_v4,2026092422,0,True,264,-172.0,140.0,-312.0,-258.0,0
souvik_v4,2026092422,1,True,264,-172.0,140.0,-312.0,-258.0,0
souvik_v4,2026092423,0,True,264,-172.0,140.0,-312.0,-267.0,0
souvik_v4,2026092423,1,True,264,-172.0,140.0,-312.0,-267.0,0
souvik_v4,2026092424,0,True,264,-172.0,140.0,-312.0,-682.0,0
souvik_v4,2026092424,1,True,264,-172.0,140.0,-312.0,-682.0,0
