split,model,horizon,cells,brier,quantity_mae
validation,learned,1,822924,0.10146982967853546,0.3279874821503957
validation,learned,4,818154,0.12737749848100874,1.022175093491872
validation,learned,24,794556,0.10370753912462129,3.443481935395135
validation,zero,1,822924,0.04792787776225143,0.26409729156229234
validation,zero,4,818154,0.1650618351995945,0.9847265746858385
validation,zero,24,794556,0.4639156974024243,5.808856765429179
validation,frequency,1,822924,0.04145324799335665,0.4520999888579051
validation,frequency,4,818154,0.1193239183889495,1.4520509839057922
validation,frequency,24,794556,0.18354444578289986,6.100130769941542
validation,production,1,822924,0.24800991266965866,7.270837505658467
validation,production,4,818154,0.2607553063167466,8.353138870663113
validation,production,24,794556,0.19335978271232712,14.182470692528618
test,learned,1,829368,0.10233649445904626,0.3790447347693973
test,learned,4,824544,0.12878072592947218,1.0075967046949599
test,learned,24,800226,0.10300902277231216,3.372164249420166
test,zero,1,829368,0.04892641161051062,0.26561550464895034
test,zero,4,824544,0.16785884565777248,0.9720730417304568
test,zero,24,800226,0.4647762013806237,5.72587870226966
test,frequency,1,829368,0.0422023633081052,0.4526117030117247
test,frequency,4,824544,0.12086810254388386,1.4353574050797357
test,frequency,24,800226,0.18270783043569988,6.019720925225152
test,production,1,829368,0.24731910311513478,7.15348035759396
test,production,4,824544,0.2597425985667441,8.227820979224312
test,production,24,800226,0.1923560719523165,14.01624427901374
