arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,model_loads,inference_calls,jobs_started,jobs_completed,jobs_aborted,action_changes,fallbacks,statuses,replay_path
c0,qeinstein_moev2,2026092421,0,0.0,104646.0,107916.0,-3270.0,0.0,0.0,,,0,0,0,0,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\c0\qeinstein_moev2\seed_2026092421_seat_0.json.gz
c0,qeinstein_moev2,2026092421,1,0.0,104646.0,107916.0,-3270.0,0.0,0.0,,,0,0,0,0,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\c0\qeinstein_moev2\seed_2026092421_seat_1.json.gz
c0,smart_farm,2026092422,0,1.0,58394.0,55414.0,2980.0,0.0,0.0,,,0,0,0,0,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\c0\smart_farm\seed_2026092422_seat_0.json.gz
c0,smart_farm,2026092422,1,1.0,58645.0,54454.0,4191.0,0.0,0.0,,,0,0,0,0,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\c0\smart_farm\seed_2026092422_seat_1.json.gz
feed_once_replan,qeinstein_moev2,2026092421,0,0.0,104494.0,107900.0,-3406.0,0.0,-136.0,0,0,1,1,0,2,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_once_replan\qeinstein_moev2\seed_2026092421_seat_0.json.gz
feed_once_replan,qeinstein_moev2,2026092421,1,0.0,104494.0,107900.0,-3406.0,0.0,-136.0,0,0,1,1,0,2,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_once_replan\qeinstein_moev2\seed_2026092421_seat_1.json.gz
feed_once_replan,smart_farm,2026092422,0,1.0,58364.0,55416.0,2948.0,0.0,-32.0,0,0,1,1,0,5,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_once_replan\smart_farm\seed_2026092422_seat_0.json.gz
feed_once_replan,smart_farm,2026092422,1,1.0,58603.0,54456.0,4147.0,0.0,-44.0,0,0,1,1,0,5,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_once_replan\smart_farm\seed_2026092422_seat_1.json.gz
feed_refill,qeinstein_moev2,2026092421,0,0.0,103131.0,108541.0,-5410.0,0.0,-2140.0,0,0,1,1,0,18,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_refill\qeinstein_moev2\seed_2026092421_seat_0.json.gz
feed_refill,qeinstein_moev2,2026092421,1,0.0,103131.0,108541.0,-5410.0,0.0,-2140.0,0,0,1,1,0,18,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_refill\qeinstein_moev2\seed_2026092421_seat_1.json.gz
feed_refill,smart_farm,2026092422,0,1.0,58364.0,55416.0,2948.0,0.0,-32.0,0,0,1,1,0,5,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_refill\smart_farm\seed_2026092422_seat_0.json.gz
feed_refill,smart_farm,2026092422,1,1.0,58603.0,54456.0,4147.0,0.0,-44.0,0,0,1,1,0,5,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\feed_refill\smart_farm\seed_2026092422_seat_1.json.gz
harvest_deliver,qeinstein_moev2,2026092421,0,0.0,104646.0,107916.0,-3270.0,0.0,0.0,0,0,1,1,0,8,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\harvest_deliver\qeinstein_moev2\seed_2026092421_seat_0.json.gz
harvest_deliver,qeinstein_moev2,2026092421,1,0.0,104646.0,107916.0,-3270.0,0.0,0.0,0,0,1,1,0,8,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\harvest_deliver\qeinstein_moev2\seed_2026092421_seat_1.json.gz
harvest_deliver,smart_farm,2026092422,0,1.0,58394.0,55414.0,2980.0,0.0,0.0,0,0,0,0,0,0,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\harvest_deliver\smart_farm\seed_2026092422_seat_0.json.gz
harvest_deliver,smart_farm,2026092422,1,1.0,58645.0,54454.0,4191.0,0.0,0.0,0,0,0,0,0,0,0,DONE/DONE,experiments\learning_round3_20260921\p3_paired_development\replays\harvest_deliver\smart_farm\seed_2026092422_seat_1.json.gz
