arm,opponent_family,requested_seed,seat,paired_margin_delta_vs_c0,action_changes,actual_action_diff_turns,first_action_diff,last_action_diff,opponent_action_diff_turns,state_diff_turns,last_state_diff,our_terminal_delta
c0,qeinstein_moev2,2026092421,0,0.0,0,0,,,0,0,,0.0
c0,qeinstein_moev2,2026092421,1,0.0,0,0,,,0,0,,0.0
c0,smart_farm,2026092422,0,0.0,0,0,,,0,0,,0.0
c0,smart_farm,2026092422,1,0.0,0,0,,,0,0,,0.0
feed_once_replan,qeinstein_moev2,2026092421,0,-136.0,2,5,434,712,0,285,719,-152.0
feed_once_replan,qeinstein_moev2,2026092421,1,-136.0,2,5,434,712,0,285,719,-152.0
feed_once_replan,smart_farm,2026092422,0,-32.0,5,5,209,213,0,510,719,-30.0
feed_once_replan,smart_farm,2026092422,1,-44.0,5,5,209,213,0,510,719,-42.0
feed_refill,qeinstein_moev2,2026092421,0,-2140.0,18,35,434,712,0,285,719,-1515.0
feed_refill,qeinstein_moev2,2026092421,1,-2140.0,18,35,434,712,0,285,719,-1515.0
feed_refill,smart_farm,2026092422,0,-32.0,5,5,209,213,0,510,719,-30.0
feed_refill,smart_farm,2026092422,1,-44.0,5,5,209,213,0,510,719,-42.0
harvest_deliver,qeinstein_moev2,2026092421,0,0.0,8,8,205,212,0,9,215,0.0
harvest_deliver,qeinstein_moev2,2026092421,1,0.0,8,8,205,212,0,9,215,0.0
harvest_deliver,smart_farm,2026092422,0,0.0,0,0,,,0,0,,0.0
harvest_deliver,smart_farm,2026092422,1,0.0,0,0,,,0,0,,0.0
