arm,family,seed,seat,record,day,hour,money,opponent_money,animals,crops,hands,weeds,shed_load,carried_load,quadrants
round4_learned,qeinstein_moev2,2026092421,0,0,0,0,3000.0,3000.0,0,0,0,0,0,0,1
round4_learned,qeinstein_moev2,2026092421,0,24,1,0,87.0,17.0,2,0,0,0,2,0,2
round4_learned,qeinstein_moev2,2026092421,0,48,2,0,7.0,239.0,1,0,0,1,1,0,2
round4_learned,qeinstein_moev2,2026092421,0,72,3,0,0.0,236.0,1,11,0,1,0,0,2
round4_learned,qeinstein_moev2,2026092421,0,96,4,0,0.0,282.0,0,14,0,1,0,0,2
round4_learned,qeinstein_moev2,2026092421,0,120,5,0,0.0,707.0,0,12,0,8,2,0,2
round4_learned,qeinstein_moev2,2026092421,0,144,6,0,0.0,930.0,0,8,0,12,7,0,2
round4_learned,qeinstein_moev2,2026092421,0,168,7,0,3.0,769.0,0,10,0,15,6,0,2
round4_learned,qeinstein_moev2,2026092421,0,192,8,0,1.0,817.0,0,7,0,17,9,0,2
round4_learned,qeinstein_moev2,2026092421,0,216,9,0,0.0,1135.0,0,5,0,19,9,0,2
round4_learned,qeinstein_moev2,2026092421,0,240,10,0,6.0,2939.0,0,7,0,15,10,0,2
round4_learned,qeinstein_moev2,2026092421,0,264,11,0,4.0,18329.0,0,10,0,13,6,0,2
round4_learned,qeinstein_moev2,2026092421,0,288,12,0,0.0,18673.0,0,9,0,13,6,0,2
round4_learned,qeinstein_moev2,2026092421,0,312,13,0,4.0,23414.0,0,13,0,12,5,0,2
round4_learned,qeinstein_moev2,2026092421,0,336,14,0,0.0,24577.0,0,11,0,13,8,0,2
round4_learned,qeinstein_moev2,2026092421,0,360,15,0,0.0,29487.0,0,9,0,16,3,0,2
round4_learned,qeinstein_moev2,2026092421,0,384,16,0,0.0,36261.0,0,2,0,22,5,0,2
round4_learned,qeinstein_moev2,2026092421,0,408,17,0,8.0,43126.0,0,2,0,18,3,0,2
round4_learned,qeinstein_moev2,2026092421,0,432,18,0,1.0,50899.0,0,2,0,18,3,0,2
