arm,anchor,seed,seat,our_cash,opponent_cash,margin,score,learner_land_final,learner_first_extra_land,learner_max_animals,learner_max_crops,learner_max_hands,learner_animal_days,learner_crop_days,learner_animal_exits,learner_seed_units_final,learner_seed_book_cost_final,learner_move_nochange_observed,learner_move_commands,learner_buy_land_commands,opponent_land_final,opponent_first_extra_land,opponent_max_animals,opponent_max_crops,opponent_max_hands,opponent_animal_days,opponent_crop_days,opponent_animal_exits,opponent_seed_units_final,opponent_seed_book_cost_final,opponent_move_nochange_observed,opponent_move_commands,opponent_buy_land_commands
round5_learned,v122,2026102201,0,11787.0,112746.0,-100959.0,0,1,,0,25,10,0.0,557.3333333333346,0,176,4200,0,4209,0,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2785,2
round5_learned,v122,2026102201,1,5984.0,130307.0,-124323.0,0,2,268.0,0,37,13,0.0,707.0833333333321,0,409,7300,0,4126,1,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2782,2
round5_learned,v122,2026102202,0,8393.0,179106.0,-170713.0,0,2,467.0,0,50,14,0.0,823.083333333335,0,97,3340,0,4825,1,3,151,17,58,11,402.7916666666644,1242.4583333333317,0,1,10,0,2856,2
round5_learned,v122,2026102202,1,12724.0,96109.0,-83385.0,0,3,365.0,0,55,11,0.0,944.6250000000002,0,219,4330,0,3481,2,3,151,13,59,12,254.8333333333336,1227.4583333333355,4,16,160,1,2966,2
round5_learned,v122,2026102203,0,6143.0,165366.0,-159223.0,0,1,,0,25,16,0.0,578.5833333333333,0,109,4680,0,5017,0,3,151,17,58,11,402.7916666666644,1242.2916666666645,0,0,0,0,2791,2
round5_learned,v122,2026102203,1,8916.0,167297.0,-158381.0,0,2,388.0,0,31,11,0.0,625.333333333333,0,287,4860,0,4023,1,3,151,16,58,12,384.4166666666689,1249.9999999999973,0,0,0,0,3046,2
round5_learned,v122,2026102204,0,6284.0,150137.0,-143853.0,0,4,320.0,0,84,16,0.0,1160.4583333333326,0,15,630,0,4102,3,3,151,16,58,12,382.3750000000021,1242.4999999999982,0,1,10,0,2889,2
round5_learned,v122,2026102204,1,7007.0,176285.0,-169278.0,0,2,315.0,0,43,14,0.0,790.2916666666663,0,20,830,0,4290,1,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2782,2
round5_learned,v122,2026102205,0,12304.0,126023.0,-113719.0,0,1,,0,25,14,0.0,590.5416666666699,0,136,3660,0,4981,0,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2782,2
round5_learned,v122,2026102205,1,7530.0,154502.0,-146972.0,0,2,318.0,0,33,15,0.0,608.0416666666675,0,149,1770,0,4133,1,4,151,17,68,14,402.7916666666644,1357.9999999999995,0,0,0,0,2968,3
round5_learned,v122,2026102206,0,10757.0,180137.0,-169380.0,0,3,387.0,0,69,16,0.0,994.6250000000016,0,33,850,0,4155,2,3,151,17,58,11,402.7916666666644,1242.5416666666647,0,0,0,0,2782,2
round5_learned,v122,2026102206,1,838.0,133803.0,-132965.0,0,2,412.0,0,37,9,0.0,594.750000000001,0,160,2830,0,3013,1,3,151,17,58,12,402.7916666666644,1242.4999999999982,0,1,10,0,2823,2
round5_learned,v122,2026102207,0,17939.0,177406.0,-159467.0,0,3,340.0,0,71,14,0.0,1058.9999999999998,0,33,940,0,3785,2,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2782,2
round5_learned,v122,2026102207,1,7311.0,144831.0,-137520.0,0,2,412.0,0,35,12,0.0,524.0833333333345,0,136,2680,0,3825,1,4,151,17,68,14,402.7916666666644,1357.9999999999995,0,0,0,0,2958,3
round5_learned,v122,2026102208,0,9224.0,167384.0,-158160.0,0,3,387.0,0,74,15,0.0,1030.1249999999998,0,108,1930,0,4538,2,3,151,17,58,11,402.7916666666644,1242.3749999999982,0,1,10,0,2859,2
round5_learned,v122,2026102208,1,3741.0,135039.0,-131298.0,0,2,268.0,0,36,12,0.0,657.7083333333327,0,479,8380,0,4182,1,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2782,2
round5_learned,v123,2026102201,0,11787.0,112746.0,-100959.0,0,1,,0,25,10,0.0,557.3333333333346,0,176,4200,0,4209,0,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2785,2
round5_learned,v123,2026102201,1,5984.0,130307.0,-124323.0,0,2,268.0,0,37,13,0.0,707.0833333333321,0,409,7300,0,4126,1,3,151,17,58,11,402.7916666666644,1242.5833333333312,0,0,0,0,2782,2
round5_learned,v123,2026102202,0,8393.0,179106.0,-170713.0,0,2,467.0,0,50,14,0.0,823.083333333335,0,97,3340,0,4825,1,3,151,17,58,11,402.7916666666644,1242.4583333333317,0,1,10,0,2856,2
round5_learned,v123,2026102202,1,12724.0,96109.0,-83385.0,0,3,365.0,0,55,11,0.0,944.6250000000002,0,219,4330,0,3481,2,3,151,13,59,12,254.8333333333336,1227.4583333333355,4,16,160,1,2966,2
round5_learned,v123,2026102203,0,6143.0,165366.0,-159223.0,0,1,,0,25,16,0.0,578.5833333333333,0,109,4680,0,5017,0,3,151,17,58,11,402.7916666666644,1242.2916666666645,0,0,0,0,2791,2
