arm,anchor,seed,seat,side,step,cash,land,hands,animals,crops,weeds,seed_book_cost,seed_units
round5_learned,v122,2026102201,0,learner,0,3000.0,1,0,0,0,0,0,0
round5_learned,v122,2026102201,0,learner,24,2169.0,1,0,0,8,0,170,10
round5_learned,v122,2026102201,0,learner,48,2165.0,1,0,0,18,0,0,0
round5_learned,v122,2026102201,0,learner,72,513.0,1,0,0,24,0,1000,11
round5_learned,v122,2026102201,0,learner,96,477.0,1,0,0,24,1,760,8
round5_learned,v122,2026102201,0,learner,120,536.0,1,0,0,18,7,680,7
round5_learned,v122,2026102201,0,learner,144,76.0,1,0,0,16,8,660,7
round5_learned,v122,2026102201,0,learner,168,379.0,1,0,0,15,9,660,7
round5_learned,v122,2026102201,0,learner,192,436.0,1,0,0,12,12,660,7
round5_learned,v122,2026102201,0,learner,216,569.0,1,0,0,13,11,480,5
round5_learned,v122,2026102201,0,learner,240,312.0,1,0,0,15,7,390,5
round5_learned,v122,2026102201,0,learner,264,46.0,1,0,0,17,5,390,14
round5_learned,v122,2026102201,0,learner,288,9.0,1,0,0,20,2,440,19
round5_learned,v122,2026102201,0,learner,312,215.0,1,0,0,20,4,1020,23
round5_learned,v122,2026102201,0,learner,336,2.0,1,0,0,21,3,680,25
round5_learned,v122,2026102201,0,learner,360,6324.0,1,0,0,20,4,590,25
round5_learned,v122,2026102201,0,learner,384,5375.0,1,0,0,19,5,1570,42
round5_learned,v122,2026102201,0,learner,408,4283.0,1,0,0,22,3,2290,60
round5_learned,v122,2026102201,0,learner,432,3323.0,1,0,0,22,3,3180,77
round5_learned,v122,2026102201,0,learner,456,4433.0,1,0,0,23,2,3590,91
round5_learned,v122,2026102201,0,learner,480,3895.0,1,0,0,25,0,3960,107
round5_learned,v122,2026102201,0,learner,504,4526.0,1,0,0,23,2,4170,119
round5_learned,v122,2026102201,0,learner,528,4821.0,1,0,0,22,3,4290,131
round5_learned,v122,2026102201,0,learner,552,5397.0,1,0,0,22,3,4320,143
round5_learned,v122,2026102201,0,learner,576,6049.0,1,0,0,22,3,4330,153
round5_learned,v122,2026102201,0,learner,600,6560.0,1,0,0,21,4,4450,165
round5_learned,v122,2026102201,0,learner,624,8152.0,1,0,0,18,7,4540,174
round5_learned,v122,2026102201,0,learner,648,8466.0,1,0,0,14,11,4570,177
round5_learned,v122,2026102201,0,learner,672,10398.0,1,0,0,15,10,4300,177
round5_learned,v122,2026102201,0,learner,696,11743.0,1,0,0,14,11,4300,177
round5_learned,v122,2026102201,0,learner,719,11787.0,1,8,0,13,12,4200,176
round5_learned,v122,2026102201,0,opponent,0,3000.0,1,0,0,0,0,0,0
round5_learned,v122,2026102201,0,opponent,24,30.0,1,0,4,19,0,0,0
round5_learned,v122,2026102201,0,opponent,48,96.0,1,0,4,19,0,0,0
round5_learned,v122,2026102201,0,opponent,72,214.0,1,0,5,19,0,0,0
round5_learned,v122,2026102201,0,opponent,96,304.0,1,0,6,19,0,0,0
round5_learned,v122,2026102201,0,opponent,120,727.0,1,0,6,19,0,0,0
