arm,opponent_family,seed,seat,our_cash,opponent_cash,margin,win,tie,passes,discarded_units,floor_sale_units,sold_units,floor_sale_share,atomic_plant_cancellations,successful_feed,failed_feed,successful_care,animal_exits,unplaced_animals,fertilize_wheat,elapsed_seconds,prediction_terminal_cash,prediction_error,replay
control,mooman_e052a,2026092201,0,90935.0,89008.0,1927.0,1,0,541,0,172,1537,0.111906,0,343,23,374,0,0,9,35.6056,,,experiments\research_20260920_v126\four_arm_development\replays\control\mooman_e052a\seed_2026092201_seat_0.json.gz
control,mooman_e052a,2026092201,1,90935.0,89008.0,1927.0,1,0,541,0,172,1537,0.111906,0,343,23,374,0,0,9,35.6521,,,experiments\research_20260920_v126\four_arm_development\replays\control\mooman_e052a\seed_2026092201_seat_1.json.gz
control,mooman_e052a,2026092202,0,60329.0,55334.0,4995.0,1,0,630,25,322,1604,0.200748,0,315,1,392,0,0,19,36.0332,,,experiments\research_20260920_v126\four_arm_development\replays\control\mooman_e052a\seed_2026092202_seat_0.json.gz
control,mooman_e052a,2026092202,1,60329.0,55334.0,4995.0,1,0,630,25,322,1604,0.200748,0,315,1,392,0,0,19,35.7355,,,experiments\research_20260920_v126\four_arm_development\replays\control\mooman_e052a\seed_2026092202_seat_1.json.gz
control,qeinstein_moev2,2026092201,0,66466.0,58161.0,8305.0,1,0,437,0,137,1595,0.085893,0,344,0,390,0,0,18,11.5899,,,experiments\research_20260920_v126\four_arm_development\replays\control\qeinstein_moev2\seed_2026092201_seat_0.json.gz
control,qeinstein_moev2,2026092201,1,66839.0,58717.0,8122.0,1,0,432,0,138,1588,0.086902,0,344,0,391,0,0,18,11.8038,,,experiments\research_20260920_v126\four_arm_development\replays\control\qeinstein_moev2\seed_2026092201_seat_1.json.gz
control,qeinstein_moev2,2026092202,0,106577.0,96612.0,9965.0,1,0,408,19,85,1522,0.055848,0,367,0,393,0,0,0,11.5109,,,experiments\research_20260920_v126\four_arm_development\replays\control\qeinstein_moev2\seed_2026092202_seat_0.json.gz
control,qeinstein_moev2,2026092202,1,106577.0,96612.0,9965.0,1,0,408,19,85,1522,0.055848,0,367,0,393,0,0,0,11.6117,,,experiments\research_20260920_v126\four_arm_development\replays\control\qeinstein_moev2\seed_2026092202_seat_1.json.gz
control,smart_farm,2026092201,0,93492.0,91608.0,1884.0,1,0,530,0,235,1504,0.15625,0,348,23,374,0,0,0,10.4746,,,experiments\research_20260920_v126\four_arm_development\replays\control\smart_farm\seed_2026092201_seat_0.json.gz
control,smart_farm,2026092201,1,87780.0,86200.0,1580.0,1,0,533,0,311,1511,0.205824,0,344,23,374,0,0,0,9.536,,,experiments\research_20260920_v126\four_arm_development\replays\control\smart_farm\seed_2026092201_seat_1.json.gz
control,smart_farm,2026092202,0,50025.0,47953.0,2072.0,1,0,431,6,414,1592,0.26005,0,344,0,391,0,0,18,10.6712,,,experiments\research_20260920_v126\four_arm_development\replays\control\smart_farm\seed_2026092202_seat_0.json.gz
control,smart_farm,2026092202,1,50025.0,47953.0,2072.0,1,0,431,6,414,1592,0.26005,0,344,0,391,0,0,18,10.4883,,,experiments\research_20260920_v126\four_arm_development\replays\control\smart_farm\seed_2026092202_seat_1.json.gz
control,souvik_v4,2026092201,0,91425.0,76577.0,14848.0,1,0,534,0,149,1509,0.098741,0,344,23,374,0,0,0,9.7246,,,experiments\research_20260920_v126\four_arm_development\replays\control\souvik_v4\seed_2026092201_seat_0.json.gz
control,souvik_v4,2026092201,1,87790.0,74700.0,13090.0,1,0,533,0,284,1512,0.187831,0,344,23,374,0,0,0,10.7695,,,experiments\research_20260920_v126\four_arm_development\replays\control\souvik_v4\seed_2026092201_seat_1.json.gz
control,souvik_v4,2026092202,0,51836.0,45095.0,6741.0,1,0,431,6,388,1593,0.243566,0,344,0,391,0,0,18,10.9813,,,experiments\research_20260920_v126\four_arm_development\replays\control\souvik_v4\seed_2026092202_seat_0.json.gz
control,souvik_v4,2026092202,1,51836.0,45095.0,6741.0,1,0,431,6,388,1593,0.243566,0,344,0,391,0,0,18,10.9604,,,experiments\research_20260920_v126\four_arm_development\replays\control\souvik_v4\seed_2026092202_seat_1.json.gz
fertilizer,mooman_e052a,2026092201,0,90563.0,89522.0,1041.0,1,0,561,28,147,1485,0.09899,0,343,23,374,0,0,17,46.6117,,,experiments\research_20260920_v126\four_arm_development\replays\fertilizer\mooman_e052a\seed_2026092201_seat_0.json.gz
