arm,opponent_family,games,wins,ties,win_rate,mean_margin,median_margin,lower_margin,mean_loss_margin,mean_cash,mean_successful_feed,mean_successful_care,mean_animal_exits,mean_unplaced_animals,mean_discarded,mean_floor_share,mean_elapsed_seconds
control,mooman_e052a,4,4,0,1.0,3461.0,3461.0,1927.0,0.0,75632.0,329.0,383.0,0.0,0.0,12.5,0.156327,35.7566
control,qeinstein_moev2,4,4,0,1.0,9089.25,9135.0,8122.0,0.0,86614.75,355.5,391.75,0.0,0.0,9.5,0.07112275,11.629075
control,smart_farm,4,4,0,1.0,1902.0,1978.0,1580.0,0.0,70330.5,345.0,382.5,0.0,0.0,3.0,0.2205435,10.292525000000001
control,souvik_v4,4,4,0,1.0,10355.0,9915.5,6741.0,0.0,70721.75,344.0,382.5,0.0,0.0,3.0,0.193426,10.60895
fertilizer,mooman_e052a,4,4,0,1.0,1570.5,1570.5,1041.0,0.0,74440.0,325.0,381.0,1.5,0.0,68.5,0.13536399999999998,46.798474999999996
fertilizer,qeinstein_moev2,4,4,0,1.0,8643.5,8678.0,7756.0,0.0,86453.75,355.5,391.75,0.0,0.0,10.5,0.0752725,15.476675
fertilizer,smart_farm,4,2,0,0.5,-401.5,-589.0,-2122.0,-2122.0,68309.25,347.5,382.5,0.0,0.0,60.5,0.211512,13.67405
fertilizer,souvik_v4,4,4,0,1.0,6341.25,4616.5,2313.0,0.0,67126.25,340.0,382.5,0.0,0.0,64.75,0.17789624999999998,13.978
joint,mooman_e052a,4,2,0,0.5,-7052.5,-7052.5,-15699.0,-15699.0,68282.0,247.5,227.5,5.5,0.5,60.0,0.083037,47.1537
joint,qeinstein_moev2,4,4,0,1.0,6779.0,7097.0,4894.0,0.0,87233.5,299.5,269.25,2.5,0.0,49.5,0.0487215,16.91665
joint,smart_farm,4,2,0,0.5,-11082.5,-10984.5,-23783.0,-23587.0,63457.0,244.5,222.0,4.5,0.0,76.5,0.10838625,15.40455
joint,souvik_v4,4,2,0,0.5,-527.0,2232.5,-12580.0,-7061.0,65670.5,249.75,226.5,4.25,0.0,76.5,0.09432349999999999,15.094125
service,mooman_e052a,4,2,0,0.5,-7155.0,-7155.0,-16292.0,-16292.0,68016.5,247.5,227.5,5.5,0.5,61.0,0.09699150000000001,33.484625
service,qeinstein_moev2,4,4,0,1.0,7729.75,8243.5,5232.0,0.0,87958.0,301.25,271.5,2.75,0.0,38.75,0.04719175,14.011975
service,smart_farm,4,2,0,0.5,-11073.0,-10932.5,-23824.0,-23543.0,63346.75,244.5,222.0,4.5,0.0,66.75,0.120293,12.09165
service,souvik_v4,4,2,0,0.5,344.25,2466.0,-9489.0,-5245.5,66041.75,249.75,226.5,4.25,0.0,56.5,0.10884925,12.773775
