arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
B0_v124,stress_buy70_sell70,4,4,0,0,1.0,163488.5,40212.5,123276.0
B0_v124,stress_buy10_sell10,4,4,0,0,1.0,163478.5,40212.5,123266.0
B0_v124,stress_buy90_sell90_buy5,4,0,4,0,0.0,95019.0,101748.5,-6729.5
B0_v124,stress_buy4_sell4,4,4,0,0,1.0,163477.5,40214.0,123263.5
B0_v124,stress_sell5_buy10,4,0,4,0,0.0,78795.5,83816.0,-5020.5
B0_v124,stress_no_trade,4,4,0,0,1.0,163480.5,40212.0,123268.5
B1_herd_safe,stress_buy70_sell70,4,4,0,0,1.0,179251.0,39695.0,139556.0
B1_herd_safe,stress_buy10_sell10,4,4,0,0,1.0,179157.5,39957.0,139200.5
B1_herd_safe,stress_buy90_sell90_buy5,4,2,2,0,0.5,98617.0,98500.0,117.0
B1_herd_safe,stress_buy4_sell4,4,4,0,0,1.0,179156.5,39958.0,139198.5
B1_herd_safe,stress_sell5_buy10,4,4,0,0,1.0,84876.5,83105.0,1771.5
B1_herd_safe,stress_no_trade,4,4,0,0,1.0,179236.0,39714.0,139522.0
