panel,anchor,seed,seat,our_cash,opponent_cash,margin,score,states,statuses,all_checks
development_panel_a2_v2_expanded64,v122,2026102301,0,7206.0,185396.0,-178190.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102301,1,7492.0,185550.0,-178058.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102302,0,8007.0,151763.0,-143756.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102302,1,11764.0,147678.0,-135914.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102303,0,10854.0,168329.0,-157475.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102303,1,5647.0,154038.0,-148391.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102304,0,11382.0,163130.0,-151748.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102304,1,8133.0,207463.0,-199330.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102305,0,12637.0,149076.0,-136439.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102305,1,9744.0,129302.0,-119558.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102306,0,7356.0,133967.0,-126611.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102306,1,7912.0,125260.0,-117348.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102307,0,8693.0,172594.0,-163901.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102307,1,7375.0,169670.0,-162295.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102308,0,3985.0,192700.0,-188715.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102308,1,11624.0,184776.0,-173152.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102309,0,11746.0,124983.0,-113237.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102309,1,11816.0,188593.0,-176777.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102310,0,14028.0,156926.0,-142898.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102310,1,8569.0,120804.0,-112235.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102311,0,12137.0,108786.0,-96649.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102311,1,14163.0,161484.0,-147321.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102312,0,11844.0,161679.0,-149835.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102312,1,6611.0,112225.0,-105614.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102313,0,7429.0,155144.0,-147715.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102313,1,7473.0,127901.0,-120428.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102314,0,17493.0,164125.0,-146632.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102314,1,7965.0,188002.0,-180037.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102315,0,11690.0,179936.0,-168246.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102315,1,9085.0,127701.0,-118616.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102316,0,8285.0,176795.0,-168510.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v122,2026102316,1,6856.0,180377.0,-173521.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102301,0,7318.0,184716.0,-177398.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102301,1,7579.0,182055.0,-174476.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102302,0,7210.0,131147.0,-123937.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102302,1,11842.0,150694.0,-138852.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102303,0,11591.0,162865.0,-151274.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102303,1,7562.0,163256.0,-155694.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102304,0,11868.0,152599.0,-140731.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102304,1,8067.0,175142.0,-167075.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102305,0,12858.0,154200.0,-141342.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102305,1,9708.0,137835.0,-128127.0,0.0,720,DONE/DONE,True
development_panel_a2_v2_expanded64,v124,2026102306,0,7481.0,150929.0,-143448.0,0.0,720,DONE/DONE,True
