anchor,seed,seat,record,role,money,land,crops,animals,empty_pasture,hands,shed_units,carried_units
v122,2026102301,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102301,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102301,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102301,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102301,0,48,A2,43.0,1,14,5,1,0,6,0
v122,2026102301,0,48,opponent,83.0,1,19,4,2,0,8,0
v122,2026102301,0,96,A2,608.0,1,13,3,3,0,26,0
v122,2026102301,0,96,opponent,281.0,1,19,6,0,0,12,0
v122,2026102301,0,144,A2,1143.0,1,6,3,3,0,37,0
v122,2026102301,0,144,opponent,801.0,1,19,6,0,0,18,0
v122,2026102301,0,192,A2,1466.0,1,8,1,7,0,39,0
v122,2026102301,0,192,opponent,637.0,2,37,10,3,0,10,0
v122,2026102301,0,240,A2,1340.0,1,10,1,8,0,57,0
v122,2026102301,0,240,opponent,4559.0,2,37,13,0,0,9,0
v122,2026102301,0,288,A2,2402.0,1,1,1,11,0,45,0
v122,2026102301,0,288,opponent,19958.0,3,53,16,1,0,39,0
v122,2026102301,0,360,A2,7227.0,1,1,1,14,0,11,0
v122,2026102301,0,360,opponent,31111.0,3,57,16,1,0,56,0
v122,2026102301,0,480,A2,7959.0,1,0,0,16,0,0,0
v122,2026102301,0,480,opponent,75744.0,3,58,16,1,0,66,0
v122,2026102301,0,600,A2,7333.0,1,0,0,16,0,1,0
v122,2026102301,0,600,opponent,130138.0,3,58,16,1,0,91,0
v122,2026102301,0,696,A2,7260.0,1,0,0,16,0,1,0
v122,2026102301,0,696,opponent,166196.0,3,21,16,1,0,97,0
v122,2026102301,0,719,A2,7206.0,1,0,0,16,8,1,0
v122,2026102301,0,719,opponent,185396.0,3,0,16,1,11,0,0
v122,2026102301,1,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102301,1,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102301,1,24,A2,4.0,1,15,4,1,0,2,0
v122,2026102301,1,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102301,1,48,A2,40.0,1,16,3,2,0,6,0
v122,2026102301,1,48,opponent,85.0,1,19,4,2,0,8,0
v122,2026102301,1,96,A2,160.0,1,19,3,3,0,17,0
v122,2026102301,1,96,opponent,284.0,1,19,6,0,0,12,0
v122,2026102301,1,144,A2,784.0,1,10,3,3,0,33,0
v122,2026102301,1,144,opponent,818.0,1,19,6,0,0,18,0
v122,2026102301,1,192,A2,1444.0,1,7,2,8,0,27,0
v122,2026102301,1,192,opponent,671.0,2,37,10,3,0,10,0
v122,2026102301,1,240,A2,2876.0,1,8,1,9,0,35,0
v122,2026102301,1,240,opponent,4630.0,2,37,13,0,0,9,0
v122,2026102301,1,288,A2,3649.0,1,2,0,10,0,14,0
v122,2026102301,1,288,opponent,20039.0,3,53,16,1,0,39,0
v122,2026102301,1,360,A2,4961.0,1,12,0,10,0,11,0
v122,2026102301,1,360,opponent,31348.0,3,57,16,1,0,56,0
v122,2026102301,1,480,A2,7305.0,1,0,0,23,0,6,0
v122,2026102301,1,480,opponent,76812.0,3,58,16,1,0,67,0
v122,2026102301,1,600,A2,7572.0,1,0,0,23,0,1,0
v122,2026102301,1,600,opponent,130491.0,3,58,16,1,0,91,0
v122,2026102301,1,696,A2,7512.0,1,0,0,23,0,1,0
v122,2026102301,1,696,opponent,166538.0,3,21,16,1,0,97,0
v122,2026102301,1,719,A2,7492.0,1,0,0,23,6,1,0
v122,2026102301,1,719,opponent,185550.0,3,0,16,1,11,0,0
v122,2026102302,0,0,A2,3000.0,1,0,0,0,0,0,0
v122,2026102302,0,0,opponent,3000.0,1,0,0,0,0,0,0
v122,2026102302,0,24,A2,144.0,1,10,5,1,0,1,0
v122,2026102302,0,24,opponent,23.0,1,19,4,0,0,3,0
v122,2026102302,0,48,A2,43.0,1,14,5,1,0,6,0
v122,2026102302,0,48,opponent,83.0,1,19,4,2,0,8,0
v122,2026102302,0,96,A2,670.0,1,12,4,2,0,17,0
v122,2026102302,0,96,opponent,281.0,1,19,6,0,0,12,0
v122,2026102302,0,144,A2,1244.0,1,5,4,2,0,33,0
