record,role,money,land,crops,animals,empty_pasture,hands,shed_units,carried_units
0,A2,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,opponent,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,A2,74.0,1.0,12.5,4.5,1.0,0.0,1.5,0.0
24,opponent,23.0,1.0,19.0,4.0,0.0,0.0,3.0,0.0
48,A2,40.8125,1.0,15.09375,3.875,1.625,0.0,6.0625,0.0
48,opponent,84.0625,1.0,19.0,4.0,2.0,0.0,8.0,0.0
96,A2,428.5,1.0,14.875,3.125,2.875,0.0,20.46875,0.0
96,opponent,282.625,1.0,19.0,6.0,0.0,0.0,12.0,0.0
144,A2,977.28125,1.0,8.375,3.09375,3.125,0.0,32.28125,0.0
144,opponent,809.59375,1.0,19.0,6.0,0.0,0.0,18.0,0.0
192,A2,1452.53125,1.0,9.46875,2.21875,6.125,0.0,34.5625,0.0
192,opponent,650.8125,2.0,37.0,10.0,3.0,0.0,9.65625,0.0
240,A2,2179.125,1.0625,11.4375,1.625,7.375,0.0,51.59375,0.0
240,opponent,3034.59375,2.0,37.0,13.0,0.0,0.0,34.96875,0.0
288,A2,3314.34375,1.0625,5.375,0.96875,11.8125,0.0,51.03125,0.0
288,opponent,18492.59375,3.0,53.0,16.84375,0.21875,0.0,70.6875,0.0
360,A2,7398.203125,1.203125,3.765625,0.875,18.015625,0.0,21.890625,0.0
360,opponent,30394.046875,3.0,57.0,16.84375,0.21875,0.0,61.640625,0.0
480,A2,9634.171875,1.203125,0.625,0.15625,24.484375,0.0,2.953125,0.0
480,opponent,66253.515625,3.09375,58.9375,16.8125,0.1875,0.0,78.109375,0.0
600,A2,9671.03125,1.25,0.4375,0.015625,25.234375,0.0,1.796875,0.0
600,opponent,107707.46875,3.09375,58.9375,16.796875,0.203125,0.0,97.265625,0.0
696,A2,9642.03125,1.25,0.03125,0.0,25.84375,0.0,1.265625,0.0
696,opponent,139669.9375,3.09375,21.9375,16.515625,0.34375,0.0,97.640625,0.0
719,A2,9604.546875,1.25,0.03125,0.0,26.359375,7.484375,1.03125,0.0625
719,opponent,157465.671875,3.09375,0.9375,16.515625,0.34375,11.0,0.0,0.296875
