panel,anchor,seed,seat,our_cash,opponent_cash,margin,score,states,statuses,all_checks
development_panel_a2_expanded64,v122,2026102301,0,7206.0,185396.0,-178190.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102301,1,7492.0,185550.0,-178058.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102302,0,8007.0,151763.0,-143756.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102302,1,9413.0,169595.0,-160182.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102303,0,15679.0,166922.0,-151243.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102303,1,5597.0,154047.0,-148450.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102304,0,11382.0,163130.0,-151748.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102304,1,8133.0,207463.0,-199330.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102305,0,13677.0,165194.0,-151517.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102305,1,9184.0,150683.0,-141499.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102306,0,7356.0,133967.0,-126611.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102306,1,8349.0,123775.0,-115426.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102307,0,6839.0,170855.0,-164016.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102307,1,8115.0,170231.0,-162116.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102308,0,3985.0,192700.0,-188715.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102308,1,11624.0,184776.0,-173152.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102309,0,9002.0,169273.0,-160271.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102309,1,11816.0,188593.0,-176777.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102310,0,14923.0,157435.0,-142512.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102310,1,4736.0,140393.0,-135657.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102311,0,11715.0,114616.0,-102901.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102311,1,11660.0,159195.0,-147535.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102312,0,10651.0,154739.0,-144088.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102312,1,8119.0,121548.0,-113429.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102313,0,7429.0,155144.0,-147715.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102313,1,7473.0,127901.0,-120428.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102314,0,17493.0,164125.0,-146632.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102314,1,7965.0,188002.0,-180037.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102315,0,15858.0,149550.0,-133692.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102315,1,6220.0,126389.0,-120169.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102316,0,6802.0,158014.0,-151212.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v122,2026102316,1,6856.0,180377.0,-173521.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102301,0,7318.0,184716.0,-177398.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102301,1,7561.0,182084.0,-174523.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102302,0,7210.0,131147.0,-123937.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102302,1,9936.0,146120.0,-136184.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102303,0,15661.0,162477.0,-146816.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102303,1,7562.0,163256.0,-155694.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102304,0,11868.0,152599.0,-140731.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102304,1,8067.0,175142.0,-167075.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102305,0,13669.0,164749.0,-151080.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102305,1,10099.0,146176.0,-136077.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102306,0,7481.0,150929.0,-143448.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102306,1,10329.0,137871.0,-127542.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102307,0,4321.0,180425.0,-176104.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102307,1,8298.0,171634.0,-163336.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102308,0,3998.0,194542.0,-190544.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102308,1,11643.0,194390.0,-182747.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102309,0,8645.0,168397.0,-159752.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102309,1,10329.0,182685.0,-172356.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102310,0,13813.0,155680.0,-141867.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102310,1,5511.0,137730.0,-132219.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102311,0,11975.0,108609.0,-96634.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102311,1,12352.0,154375.0,-142023.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102312,0,10672.0,157899.0,-147227.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102312,1,7036.0,119738.0,-112702.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102313,0,7395.0,155498.0,-148103.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102313,1,7788.0,129122.0,-121334.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102314,0,17478.0,162202.0,-144724.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102314,1,7363.0,175031.0,-167668.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102315,0,15962.0,138817.0,-122855.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102315,1,6553.0,127287.0,-120734.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102316,0,8026.0,151951.0,-143925.0,0.0,720,DONE/DONE,True
development_panel_a2_expanded64,v124,2026102316,1,6709.0,181229.0,-174520.0,0.0,720,DONE/DONE,True
