panel,anchor,seed,seat,our_cash,opponent_cash,margin,score,states,statuses,all_checks
development_panel_a0,v122,2026102201,0,2599.0,174949.0,-172350.0,0.0,720,DONE/DONE,True
development_panel_a0,v122,2026102201,1,1349.0,106932.0,-105583.0,0.0,720,DONE/DONE,True
development_panel_a0,v122,2026102202,0,2569.0,141527.0,-138958.0,0.0,720,DONE/DONE,True
development_panel_a0,v122,2026102202,1,732.0,134649.0,-133917.0,0.0,720,DONE/DONE,True
development_panel_a0,v124,2026102201,0,0.0,172130.0,-172130.0,0.0,720,DONE/DONE,True
development_panel_a0,v124,2026102201,1,1159.0,105250.0,-104091.0,0.0,720,DONE/DONE,True
development_panel_a0,v124,2026102202,0,2573.0,141998.0,-139425.0,0.0,720,DONE/DONE,True
development_panel_a0,v124,2026102202,1,314.0,131967.0,-131653.0,0.0,720,DONE/DONE,True
development_panel_a1,v122,2026102201,0,363.0,151500.0,-151137.0,0.0,720,DONE/DONE,True
development_panel_a1,v122,2026102201,1,1606.0,142772.0,-141166.0,0.0,720,DONE/DONE,True
development_panel_a1,v122,2026102202,0,842.0,154491.0,-153649.0,0.0,720,DONE/DONE,True
development_panel_a1,v122,2026102202,1,0.0,142446.0,-142446.0,0.0,720,DONE/DONE,True
development_panel_a1,v124,2026102201,0,1541.0,149364.0,-147823.0,0.0,720,DONE/DONE,True
development_panel_a1,v124,2026102201,1,0.0,137563.0,-137563.0,0.0,720,DONE/DONE,True
development_panel_a1,v124,2026102202,0,834.0,154632.0,-153798.0,0.0,720,DONE/DONE,True
development_panel_a1,v124,2026102202,1,0.0,142499.0,-142499.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v122,2026102201,0,363.0,151500.0,-151137.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v122,2026102201,1,1606.0,142772.0,-141166.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v122,2026102202,0,842.0,154491.0,-153649.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v122,2026102202,1,0.0,142446.0,-142446.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v124,2026102201,0,1541.0,149364.0,-147823.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v124,2026102201,1,0.0,137563.0,-137563.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v124,2026102202,0,834.0,154632.0,-153798.0,0.0,720,DONE/DONE,True
development_panel_a1_v2,v124,2026102202,1,0.0,142499.0,-142499.0,0.0,720,DONE/DONE,True
development_panel_a2,v122,2026102201,0,6995.0,166166.0,-159171.0,0.0,720,DONE/DONE,True
development_panel_a2,v122,2026102201,1,10646.0,78668.0,-68022.0,0.0,720,DONE/DONE,True
development_panel_a2,v122,2026102202,0,11342.0,153760.0,-142418.0,0.0,720,DONE/DONE,True
development_panel_a2,v122,2026102202,1,10927.0,167515.0,-156588.0,0.0,720,DONE/DONE,True
development_panel_a2,v124,2026102201,0,7582.0,165863.0,-158281.0,0.0,720,DONE/DONE,True
development_panel_a2,v124,2026102201,1,11294.0,74748.0,-63454.0,0.0,720,DONE/DONE,True
