opponent_id,seed,seat,self_cash,opp_cash,margin,outcome,opportunities,selected_forks,replay,replay_sha256
ahmed_v57,2026092413,0,98584.0,98588.0,-4.0,-1,17,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/ahmed_v57/seed_2026092413_seat_0.json.gz,1817f79eedea5a4654d965a2749f2d8be9ffdca709e23507f6381d7eef23abb6
ahmed_v57,2026092413,1,98584.0,98588.0,-4.0,-1,17,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/ahmed_v57/seed_2026092413_seat_1.json.gz,1715b9983b26d877f62e6d2fee05adffbe31291f6695df0beca940118bdae4a5
ahmed_v57,2026092414,0,90804.0,90615.0,189.0,1,69,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/ahmed_v57/seed_2026092414_seat_0.json.gz,c8b7b982578a778c2078aa5726f8b2877968cc7f35ae580b2055cdfcd95e9b8d
ahmed_v57,2026092414,1,90804.0,90615.0,189.0,1,69,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/ahmed_v57/seed_2026092414_seat_1.json.gz,b7ca203b608c3d601d5ebb8515e546c77b0dcc59e650bc28228bb7325597f25e
ahmed_v57,2026092415,0,111133.0,111146.0,-13.0,-1,67,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/ahmed_v57/seed_2026092415_seat_0.json.gz,a25ba004c1e6cbf62bbd970c5e594758d3995f9a8d6692cffdd7fc9387ae4044
ahmed_v57,2026092415,1,111133.0,111146.0,-13.0,-1,67,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/ahmed_v57/seed_2026092415_seat_1.json.gz,61959a1ec8c0d4bd54d167b91bcdb23a644e48e18f8debe212af9474fa66a0e8
metav4,2026092413,0,98626.0,98475.0,151.0,1,17,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/metav4/seed_2026092413_seat_0.json.gz,200891c87ed2f0e535a2fef1345604efc1dab0cddbb432ce927139cf8eea221a
metav4,2026092413,1,98626.0,98475.0,151.0,1,17,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/metav4/seed_2026092413_seat_1.json.gz,6e92c1461e70bf76bb785c5e3bf09fb3f9b425c93d18435d3b6dc4c0c459d8e1
metav4,2026092414,0,90813.0,90367.0,446.0,1,69,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/metav4/seed_2026092414_seat_0.json.gz,a565d9f337b2231c7b6cb853efab07d6044737dd8cc7521812fb8f54d94f5c53
metav4,2026092414,1,90813.0,90367.0,446.0,1,69,3,experiments/round10_public_learning_20260924/training/task_labels/replays/baseline/metav4/seed_2026092414_seat_1.json.gz,507d160ac54892abfc22ffb80b610d32841abcf5f080ee9de542dff90c491b1b
