arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
B1,B1,8,0,0,8,0.5,105136.0,105136.0,0.0
B1,v57,8,6,2,0,0.75,105460.0,105232.25,227.75
B1,order_book,8,8,0,0,1.0,105159.0,104877.25,281.75
B1,metav4,8,8,0,0,1.0,105661.0,104883.5,777.5
more_wheat,B1,8,4,4,0,0.5,105234.25,104966.5,267.75
more_wheat,v57,8,6,2,0,0.75,105529.0,105019.5,509.5
more_wheat,order_book,8,8,0,0,1.0,105257.25,104707.75,549.5
more_wheat,metav4,8,8,0,0,1.0,105727.0,104682.25,1044.75
order_book_v3,B1,8,4,4,0,0.5,104993.25,105083.75,-90.5
order_book_v3,v57,8,6,2,0,0.75,105251.5,105186.25,65.25
order_book_v3,order_book,8,8,0,0,1.0,105048.0,104854.5,193.5
order_book_v3,metav4,8,8,0,0,1.0,105366.25,105005.5,360.75
moon,B1,8,4,4,0,0.5,105244.0,104730.5,513.5
moon,v57,8,6,2,0,0.75,105419.75,104641.0,778.75
moon,order_book,8,6,2,0,0.75,105291.5,104316.0,975.5
moon,metav4,8,6,2,0,0.75,105470.5,104293.5,1177.0
v15stack,B1,8,6,2,0,0.75,105116.5,104880.0,236.5
v15stack,v57,8,4,4,0,0.5,105197.0,104903.75,293.25
v15stack,order_book,8,4,4,0,0.5,105202.75,104595.5,607.25
v15stack,metav4,8,8,0,0,1.0,105348.25,104565.25,783.0
wonderful,B1,8,0,8,0,0.0,103823.0,105477.25,-1654.25
wonderful,v57,8,0,8,0,0.0,104117.75,105698.0,-1580.25
wonderful,order_book,8,0,8,0,0.0,103859.5,105232.25,-1372.75
wonderful,metav4,8,0,8,0,0.0,104142.0,105606.25,-1464.25
master_hybrid,B1,8,4,4,0,0.5,105070.75,105142.25,-71.5
master_hybrid,v57,8,6,2,0,0.75,105430.5,105137.25,293.25
master_hybrid,order_book,8,8,0,0,1.0,105094.5,104882.5,212.0
master_hybrid,metav4,8,8,0,0,1.0,105535.5,104873.75,661.75
