arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
B1,B1,8,0,0,8,0.5,81785.25,81785.25,0.0
B1,v57,8,4,4,0,0.5,81758.5,81858.75,-100.25
B1,order_book,8,8,0,0,1.0,81865.0,81735.25,129.75
B1,metav4,8,6,2,0,0.75,81896.5,81707.5,189.0
wool_gate_open_control,B1,8,6,2,0,0.75,81488.0,81313.75,174.25
wool_gate_open_control,v57,8,4,4,0,0.5,81462.5,81354.75,107.75
wool_gate_open_control,order_book,8,6,2,0,0.75,81574.0,81258.75,315.25
wool_gate_open_control,metav4,8,4,4,0,0.5,81607.0,81195.25,411.75
cw1_conditional_wool,B1,8,0,0,8,0.5,81785.25,81785.25,0.0
cw1_conditional_wool,v57,8,4,4,0,0.5,81758.5,81858.75,-100.25
cw1_conditional_wool,order_book,8,8,0,0,1.0,81865.0,81735.25,129.75
cw1_conditional_wool,metav4,8,6,2,0,0.75,81896.5,81707.5,189.0
