arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
B1,B1,8,1,1,6,0.5,106425.25,106425.25,0.0
B1,v57,8,3,5,0,0.375,106432.75,106591.5,-158.75
B1,order_book,8,8,0,0,1.0,106476.5,106231.75,244.75
B1,metav4,8,6,2,0,0.75,106571.25,106315.5,255.75
m20_multi_hypothesis,B1,8,6,2,0,0.75,106535.75,106329.75,206.0
m20_multi_hypothesis,v57,8,6,2,0,0.75,106586.5,106424.75,161.75
m20_multi_hypothesis,order_book,8,8,0,0,1.0,106589.75,106154.0,435.75
m20_multi_hypothesis,metav4,8,6,2,0,0.75,106725.75,106182.5,543.25
m11_final_response,B1,8,5,1,2,0.75,106427.5,106418.0,9.5
m11_final_response,v57,8,3,5,0,0.375,106432.25,106588.5,-156.25
m11_final_response,order_book,8,8,0,0,1.0,106479.75,106224.0,255.75
m11_final_response,metav4,8,6,2,0,0.75,106565.25,106320.5,244.75
m11_robust_response,B1,8,1,1,6,0.5,106425.25,106425.25,0.0
m11_robust_response,v57,8,3,5,0,0.375,106432.75,106591.5,-158.75
m11_robust_response,order_book,8,8,0,0,1.0,106476.5,106231.75,244.75
m11_robust_response,metav4,8,6,2,0,0.75,106571.25,106315.5,255.75
m20_m11_final,B1,8,6,2,0,0.75,106541.25,106321.5,219.75
m20_m11_final,v57,8,6,2,0,0.75,106586.0,106421.75,164.25
m20_m11_final,order_book,8,8,0,0,1.0,106595.25,106145.75,449.5
m20_m11_final,metav4,8,6,2,0,0.75,106719.75,106187.5,532.25
