arm,games,games_with_reported_changes,metric,total,per_game
B1,32,0,opening_calls,32.0,1.0
B1,32,0,opening_stock_ok,32.0,1.0
B1,32,0,parent.fertilizer.capped,32.0,1.0
B1,32,0,parent.fertilizer.covered,48.0,1.5
B1,32,0,parent.fertilizer.errors,0.0,0.0
B1,32,0,parent.fertilizer.skips,80.0,2.5
B1,32,0,parent.rescue.aborted,0.0,0.0
B1,32,0,parent.rescue.accepted,32.0,1.0
B1,32,0,parent.rescue.changed_steps,208.0,6.5
B1,32,0,parent.rescue.errors,0.0,0.0
B1,32,0,parent.rescue.max_planning_ms,2210.20410003257,69.06887812601781
B1,32,0,parent.rescue.planning_calls,32.0,1.0
B1,32,0,parent.rescue.shadow_declines,0.0,0.0
B1,32,0,parent.seed_budget.changed_turns,104.0,3.25
B1,32,0,parent.seed_budget.cut_units,504.0,15.75
B1,32,0,parent.seed_budget.errors,0.0,0.0
B1,32,0,parent.seed_budget.saved_cost,10080.0,315.0
m11_final_response,32,24,calls,23008.0,719.0
m11_final_response,32,24,changes,36.0,1.125
m11_final_response,32,24,eligible,3692.0,115.375
m11_final_response,32,24,errors,0.0,0.0
m11_final_response,32,24,evaluations,7396.0,231.125
m11_final_response,32,24,predicted_gain,332.0,10.375
m11_robust_response,32,0,calls,23008.0,719.0
m11_robust_response,32,0,changes,0.0,0.0
m11_robust_response,32,0,eligible,3692.0,115.375
m11_robust_response,32,0,errors,0.0,0.0
m11_robust_response,32,0,evaluations,7396.0,231.125
m11_robust_response,32,0,predicted_gain,0.0,0.0
m20_m11_final,32,24,calls,23008.0,719.0
m20_m11_final,32,24,changes,40.0,1.25
m20_m11_final,32,24,eligible,3670.0,114.6875
m20_m11_final,32,24,errors,0.0,0.0
m20_m11_final,32,24,evaluations,7278.0,227.4375
m20_m11_final,32,24,predicted_gain,362.0,11.3125
m20_multi_hypothesis,32,32,opening_calls,32.0,1.0
m20_multi_hypothesis,32,32,opening_stock_ok,32.0,1.0
m20_multi_hypothesis,32,32,parent.fertilizer.capped,32.0,1.0
m20_multi_hypothesis,32,32,parent.fertilizer.covered,48.0,1.5
m20_multi_hypothesis,32,32,parent.fertilizer.errors,0.0,0.0
m20_multi_hypothesis,32,32,parent.fertilizer.skips,80.0,2.5
m20_multi_hypothesis,32,32,parent.forecast.frontier_fires,70.0,2.1875
m20_multi_hypothesis,32,32,parent.forecast.frontier_units,552.0,17.25
m20_multi_hypothesis,32,32,parent.forecast.pred_errors,0.0,0.0
m20_multi_hypothesis,32,32,parent.forecast.pred_fires,548.0,17.125
m20_multi_hypothesis,32,32,parent.forecast.pred_units,3872.0,121.0
m20_multi_hypothesis,32,32,parent.rescue.aborted,0.0,0.0
m20_multi_hypothesis,32,32,parent.rescue.accepted,32.0,1.0
m20_multi_hypothesis,32,32,parent.rescue.changed_steps,208.0,6.5
m20_multi_hypothesis,32,32,parent.rescue.errors,0.0,0.0
m20_multi_hypothesis,32,32,parent.rescue.max_planning_ms,2622.799999968265,81.96249999900829
m20_multi_hypothesis,32,32,parent.rescue.planning_calls,32.0,1.0
m20_multi_hypothesis,32,32,parent.rescue.shadow_declines,0.0,0.0
m20_multi_hypothesis,32,32,parent.seed_budget.changed_turns,104.0,3.25
m20_multi_hypothesis,32,32,parent.seed_budget.cut_units,504.0,15.75
m20_multi_hypothesis,32,32,parent.seed_budget.errors,0.0,0.0
m20_multi_hypothesis,32,32,parent.seed_budget.saved_cost,10080.0,315.0
