arm,opponent,family,seed,seat,baseline_result,candidate_result,baseline_score,candidate_score,baseline_self_cash,candidate_self_cash,baseline_opp_cash,candidate_opp_cash,delta_score,delta_self,delta_opp,delta_margin,execution_valid,completion_status,fullgame_followup,transition,candidate_replay,baseline_replay
M1_deadline_market,B1,near_lineage,812609251,0,D,L,0.5,0.0,83167.0,82841.0,83167.0,83696.0,-0.5,-326.0,529.0,-855.0,True,DEADLINES_FILLED,True,D->L,metrics/development/replays/M1_deadline_market/B1/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609251_seat_0.json.gz
M1_deadline_market,B1,near_lineage,812609251,1,D,L,0.5,0.0,83167.0,82841.0,83167.0,83696.0,-0.5,-326.0,529.0,-855.0,True,DEADLINES_FILLED,True,D->L,metrics/development/replays/M1_deadline_market/B1/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609251_seat_1.json.gz
M1_deadline_market,B1,near_lineage,812609252,0,D,L,0.5,0.0,101240.0,100698.0,101240.0,101329.0,-0.5,-542.0,89.0,-631.0,False,DEADLINE_UNFILLED,True,D->L,metrics/development/replays/M1_deadline_market/B1/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609252_seat_0.json.gz
M1_deadline_market,B1,near_lineage,812609252,1,D,L,0.5,0.0,101240.0,100698.0,101240.0,101329.0,-0.5,-542.0,89.0,-631.0,False,DEADLINE_UNFILLED,True,D->L,metrics/development/replays/M1_deadline_market/B1/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609252_seat_1.json.gz
M1_deadline_market,B1,near_lineage,812609253,0,D,L,0.5,0.0,109255.0,109471.0,109255.0,109592.0,-0.5,216.0,337.0,-121.0,True,DEADLINES_FILLED,True,D->L,metrics/development/replays/M1_deadline_market/B1/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609253_seat_0.json.gz
M1_deadline_market,B1,near_lineage,812609253,1,D,L,0.5,0.0,109255.0,109471.0,109255.0,109592.0,-0.5,216.0,337.0,-121.0,True,DEADLINES_FILLED,True,D->L,metrics/development/replays/M1_deadline_market/B1/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609253_seat_1.json.gz
M1_deadline_market,B1,near_lineage,812609254,0,L,L,0.0,0.0,83375.0,82791.0,86851.0,88533.0,0.0,-584.0,1682.0,-2266.0,False,DEADLINE_UNFILLED,True,L->L,metrics/development/replays/M1_deadline_market/B1/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609254_seat_0.json.gz
M1_deadline_market,B1,near_lineage,812609254,1,W,W,1.0,1.0,86851.0,86153.0,83375.0,83423.0,0.0,-698.0,48.0,-746.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/B1/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609254_seat_1.json.gz
M1_deadline_market,v57,near_lineage,812609251,0,W,L,1.0,0.0,82986.0,82488.0,82757.0,83405.0,-1.0,-498.0,648.0,-1146.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/v57/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609251_seat_0.json.gz
M1_deadline_market,v57,near_lineage,812609251,1,W,L,1.0,0.0,82986.0,82488.0,82757.0,83405.0,-1.0,-498.0,648.0,-1146.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/v57/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609251_seat_1.json.gz
M1_deadline_market,v57,near_lineage,812609252,0,W,L,1.0,0.0,100969.0,100756.0,100735.0,101196.0,-1.0,-213.0,461.0,-674.0,False,DEADLINE_UNFILLED,True,W->L,metrics/development/replays/M1_deadline_market/v57/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609252_seat_0.json.gz
M1_deadline_market,v57,near_lineage,812609252,1,W,L,1.0,0.0,100969.0,100756.0,100735.0,101196.0,-1.0,-213.0,461.0,-674.0,False,DEADLINE_UNFILLED,True,W->L,metrics/development/replays/M1_deadline_market/v57/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609252_seat_1.json.gz
M1_deadline_market,v57,near_lineage,812609253,0,W,L,1.0,0.0,109394.0,109547.0,109258.0,109578.0,-1.0,153.0,320.0,-167.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/v57/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609253_seat_0.json.gz
M1_deadline_market,v57,near_lineage,812609253,1,W,L,1.0,0.0,109394.0,109547.0,109258.0,109578.0,-1.0,153.0,320.0,-167.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/v57/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609253_seat_1.json.gz
M1_deadline_market,v57,near_lineage,812609254,0,L,L,0.0,0.0,83582.0,82028.0,86960.0,86438.0,0.0,-1554.0,-522.0,-1032.0,False,DEADLINE_UNFILLED,True,L->L,metrics/development/replays/M1_deadline_market/v57/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609254_seat_0.json.gz
M1_deadline_market,v57,near_lineage,812609254,1,W,W,1.0,1.0,86325.0,85778.0,84198.0,82673.0,0.0,-547.0,-1525.0,978.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/v57/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609254_seat_1.json.gz
M1_deadline_market,order_book,near_lineage,812609251,0,W,L,1.0,0.0,83275.0,82947.0,83042.0,83574.0,-1.0,-328.0,532.0,-860.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609251_seat_0.json.gz
M1_deadline_market,order_book,near_lineage,812609251,1,W,L,1.0,0.0,83275.0,82947.0,83042.0,83574.0,-1.0,-328.0,532.0,-860.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609251_seat_1.json.gz
M1_deadline_market,order_book,near_lineage,812609252,0,W,L,1.0,0.0,101166.0,100783.0,100688.0,100851.0,-1.0,-383.0,163.0,-546.0,False,DEADLINE_UNFILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609252_seat_0.json.gz
M1_deadline_market,order_book,near_lineage,812609252,1,W,L,1.0,0.0,101166.0,100783.0,100688.0,100851.0,-1.0,-383.0,163.0,-546.0,False,DEADLINE_UNFILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609252_seat_1.json.gz
M1_deadline_market,order_book,near_lineage,812609253,0,W,L,1.0,0.0,109282.0,109500.0,109204.0,109540.0,-1.0,218.0,336.0,-118.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609253_seat_0.json.gz
