arm,anchor,seed,seat,reported_cash,independent_final_cash,cash_matches,first_hire_record,first_land_record,first_crop_record,first_animal_record,first_unambiguous_sale_record,max_hands,max_crops,max_animals,work_requests,work_effects,work_effect_rate,same_coordinate_multiwork_turns,replay,replay_sha256
phase_b_f0,v122,2026102201,0,18723.0,18723.0,True,193,219,20,4,16,10,49,8,1570,1433,0.9127388535031847,91,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v122\seed_2026102201_seat_0.json.gz,544c6ff3a86d8db898e04d0db755f14e185cfbd90ea7add85402252c1f21096c
phase_b_f0,v122,2026102201,1,41194.0,41194.0,True,145,222,20,4,15,12,38,14,1711,1635,0.9555815312682642,82,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v122\seed_2026102201_seat_1.json.gz,df5f92979dd2a3c5d38baebe4556e302f9a3773aefa8dd1bbdbe6d32fc7fe48c
phase_b_f0,v122,2026102202,0,16792.0,16792.0,True,169,294,20,4,16,13,49,8,2097,1910,0.910824988078207,182,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v122\seed_2026102202_seat_0.json.gz,3e74c06654110d0cae285f65e57e7df68bed4cf32c0aeab5885d704b0544cdef
phase_b_f0,v122,2026102202,1,22845.0,22845.0,True,97,222,20,4,15,8,38,6,1726,1590,0.9212050984936269,148,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v122\seed_2026102202_seat_1.json.gz,1225b3b488a73c6ac0eead09db8ade8b2369ae8e1b75c958e88bc81785f282c0
phase_b_f0,v124,2026102201,0,40720.0,40720.0,True,193,219,20,4,16,14,49,8,1898,1779,0.9373024236037935,106,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v124\seed_2026102201_seat_0.json.gz,57cb42e4abee9291f754007d3859d50be7a5d72fa6ba259dc58ff2b108530ee6
phase_b_f0,v124,2026102201,1,45779.0,45779.0,True,145,222,20,4,15,8,38,12,1745,1655,0.9484240687679083,100,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v124\seed_2026102201_seat_1.json.gz,b6621c034469154171bd8a101a19f23232735e566cfc0a752f6d7dba66373468
phase_b_f0,v124,2026102202,0,21390.0,21390.0,True,169,294,20,4,16,13,53,8,2045,1852,0.9056234718826406,180,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v124\seed_2026102202_seat_0.json.gz,81f2fc9315709d177f78e1ded1ed4f6d548773086820ff4ff990a6e2bf124dfb
phase_b_f0,v124,2026102202,1,22536.0,22536.0,True,97,222,20,4,15,8,38,6,1693,1552,0.9167158889545186,147,experiments\round8_execution_reset_20260922\phase_b_f0\replays\v124\seed_2026102202_seat_1.json.gz,5c36fcf8d9da1d7d849bf2bdc1e84ef085cd2703db7474bd59d054d8e69aa264
phase_b_f1,v122,2026102201,0,31958.0,31958.0,True,193,315,20,4,16,8,42,5,1521,1402,0.9217619986850756,128,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v122\seed_2026102201_seat_0.json.gz,f88907634818e67c821b2c9655cbf3bbee6cd062ff9414a60aba770cb0565c6e
phase_b_f1,v122,2026102201,1,4256.0,4256.0,True,145,222,20,4,15,9,18,5,389,372,0.9562982005141388,18,experiments\round8_execution_reset_20260922\phase_b_f1\replays\v122\seed_2026102201_seat_1.json.gz,eee37e6502709e0a2d0420f2694eead892cf37753924957c605713605d2dd7bb
