candidate,anchor,seed,seat,score,our_cash,opponent_cash,margin,statuses,states,elapsed_seconds,inference_p99_seconds,inference_max_seconds,replay,replay_sha256,diagnostics,diagnostics_sha256,first_land_record,first_animal_yield_record,first_animal_harvest_record,first_crop_harvest_record,successful_feed_actions,successful_care_actions,actual_harvest_units_json,actual_sell_units_json,animal_exit_count,state192_land,state192_crops,state192_animals,final_land,final_crops,final_animals,first_divergence_record,lifecycle_json
round9_a2_expanded,v122,2026102301,0,0.0,7206.0,185396.0,-178190.0,DONE/DONE,720,33.370911799996975,0.05692795400071194,0.374563000001217,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102301_seat_0.json.gz,99eb72eb704489b3f359c64691d66e6eb44caafebd2e171c17033cc2fcceda65,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102301_seat_0.json.gz,6fb8f9da329f0854e08e1b31c41fc612cfd29d1693da8aa0a889829ef6a55e49,,144,196,63,25,30,"{""MELON"": 6, ""MILK"": 16, ""WHEAT"": 44}","{""FERTILIZER"": 36, ""MELON"": 6, ""MILK"": 16, ""WHEAT"": 77}",5,1,8,1,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":196,""first_crop_harvest_record"":63,""successful_feed_actions"":25,""successful_care_actions"":30,""actual_harvest_units"":{""WHEAT"":44,""MILK"":16,""MELON"":6},""actual_sell_units"":{""WHEAT"":77,""FERTILIZER"":36,""MILK"":16,""MELON"":6},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":2,""remaining_steps"":623,""day_changed"":true},{""record"":168,""count"":2,""remaining_steps"":551,""day_changed"":true},{""record"":456,""count"":1,""remaining_steps"":263,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":8,""mature_crop_cells"":8,""animals"":1,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1466.0,""shed"":{""WHEAT"":39,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":7206.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102301,1,0.0,7492.0,185550.0,-178058.0,DONE/DONE,720,33.196565700000065,0.060531514000977255,0.46093280000059167,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102301_seat_1.json.gz,3d3c31920ab9a2567a03b87451d70973ebcdf8c1d588838cec7e66440c3b6964,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102301_seat_1.json.gz,2d42ba5fde0900b78e644fa4893df2778fe3ee0ef2f68b80a9c73458f297d908,,144,147,60,19,18,"{""MELON"": 10, ""MILK"": 6, ""WHEAT"": 56, ""WOOL"": 5}","{""FERTILIZER"": 22, ""MELON"": 11, ""MILK"": 7, ""WHEAT"": 79, ""WOOL"": 5}",4,1,7,2,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":60,""successful_feed_actions"":19,""successful_care_actions"":18,""actual_harvest_units"":{""WHEAT"":56,""WOOL"":5,""MILK"":6,""MELON"":10},""actual_sell_units"":{""WHEAT"":79,""FERTILIZER"":22,""WOOL"":5,""MILK"":7,""MELON"":11},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":192,""count"":1,""remaining_steps"":527,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":7,""animals"":2,""animals_fed_today"":0,""animal_product_units_on_tiles"":7,""cash"":1444.0,""shed"":{""WHEAT"":20,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":5,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":7492.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102302,0,0.0,8007.0,151763.0,-143756.0,DONE/DONE,720,37.04901710000195,0.06378055800232689,0.3768531999994593,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102302_seat_0.json.gz,592cbe77ff39746a22e5c8c2e17332bd176998d11254c2eae5d56bd22bde065f,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102302_seat_0.json.gz,5fd9385feab34bce1579a128f58b5d2f085710c493a9e2b02d88ac15f6750394,223,144,148,63,34,36,"{""MELON"": 6, ""MILK"": 17, ""WHEAT"": 105, ""WOOL"": 9}","{""FERTILIZER"": 47, ""MELON"": 6, ""MILK"": 17, ""WHEAT"": 123, ""WOOL"": 9}",6,1,8,3,2,0,0,,"{""first_land_record"":223,""first_animal_yield_record"":144,""first_animal_harvest_record"":148,""first_crop_harvest_record"":63,""successful_feed_actions"":34,""successful_care_actions"":36,""actual_harvest_units"":{""WHEAT"":105,""WOOL"":9,""MILK"":17,""MELON"":6},""actual_sell_units"":{""WHEAT"":123,""FERTILIZER"":47,""WOOL"":9,""MILK"":17,""MELON"":6},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":1,""remaining_steps"":623,""day_changed"":true},{""record"":168,""count"":1,""remaining_steps"":551,""day_changed"":true},{""record"":216,""count"":1,""remaining_steps"":503,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true},{""record"":576,""count"":1,""remaining_steps"":143,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":8,""mature_crop_cells"":8,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":7,""cash"":2212.0,""shed"":{""WHEAT"":21,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":6,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":2,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":8007.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102302,1,0.0,9413.0,169595.0,-160182.0,DONE/DONE,720,32.63213060000271,0.055088232001362494,0.3131919999977981,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102302_seat_1.json.gz,9c5d5fbc2040b2a16c49e0d52f3c0ed801c464a2422739e4e048e1d666189c83,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102302_seat_1.json.gz,b59846326d5faf400370b5d3e955fc1ea82b482aeff1aee3ee25dc779acd062d,,144,193,60,20,19,"{""MELON"": 11, ""MILK"": 12, ""WHEAT"": 65, ""WOOL"": 8}","{""FERTILIZER"": 27, ""MELON"": 11, ""MILK"": 12, ""WHEAT"": 86, ""WOOL"": 8}",5,1,10,3,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":193,""first_crop_harvest_record"":60,""successful_feed_actions"":20,""successful_care_actions"":19,""actual_harvest_units"":{""WHEAT"":65,""MILK"":12,""WOOL"":8,""MELON"":11},""actual_sell_units"":{""WHEAT"":86,""FERTILIZER"":27,""WOOL"":8,""MELON"":11,""MILK"":12},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":240,""count"":2,""remaining_steps"":479,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true},{""record"":456,""count"":1,""remaining_steps"":263,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":10,""mature_crop_cells"":10,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":17,""cash"":1181.0,""shed"":{""WHEAT"":37,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":2,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":9413.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102303,0,0.0,15679.0,166922.0,-151243.0,DONE/DONE,720,33.817797699997755,0.056737290002856766,0.3311327000010351,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102303_seat_0.json.gz,1e11b79a64fbfeafc34d620f7052e1deaad53b84308ae38d5357cb1d0a2ef2a0,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102303_seat_0.json.gz,57502cf740fc3cb286f02ff3581778534814aa1144f1fc2b3f700dfa96b1087b,,144,146,63,39,44,"{""MELON"": 12, ""MILK"": 18, ""WHEAT"": 73, ""WOOL"": 25}","{""FERTILIZER"": 50, ""MELON"": 12, ""MILK"": 18, ""WHEAT"": 87, ""WOOL"": 25}",5,1,15,3,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":146,""first_crop_harvest_record"":63,""successful_feed_actions"":39,""successful_care_actions"":44,""actual_harvest_units"":{""WHEAT"":73,""WOOL"":25,""MILK"":18,""MELON"":12},""actual_sell_units"":{""WHEAT"":87,""FERTILIZER"":50,""WOOL"":25,""MILK"":18,""MELON"":12},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":2,""remaining_steps"":623,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true},{""record"":432,""count"":1,""remaining_steps"":287,""day_changed"":true},{""record"":456,""count"":1,""remaining_steps"":263,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":15,""mature_crop_cells"":15,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1551.0,""shed"":{""WHEAT"":32,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":11,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":15679.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102303,1,0.0,5597.0,154047.0,-148450.0,DONE/DONE,720,35.42339990000255,0.0606583240003238,0.36636709999947925,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102303_seat_1.json.gz,dfe04734fd6248e68f11e9d415a68be324b4d1fb60155a1681204a5eeeb869aa,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102303_seat_1.json.gz,096c91f1eb710e1dec82c17a19b781111b270205893839194bb513f9c59100d9,354,144,147,60,22,20,"{""MELON"": 11, ""MILK"": 7, ""WHEAT"": 83, ""WOOL"": 9}","{""FERTILIZER"": 26, ""MILK"": 7, ""WHEAT"": 97, ""WOOL"": 9}",5,1,7,2,2,0,0,,"{""first_land_record"":354,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":60,""successful_feed_actions"":22,""successful_care_actions"":20,""actual_harvest_units"":{""WHEAT"":83,""WOOL"":9,""MILK"":7,""MELON"":11},""actual_sell_units"":{""WHEAT"":97,""FERTILIZER"":26,""WOOL"":9,""MILK"":7},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":192,""count"":1,""remaining_steps"":527,""day_changed"":true},{""record"":216,""count"":1,""remaining_steps"":503,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true},{""record"":552,""count"":1,""remaining_steps"":167,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":7,""animals"":2,""animals_fed_today"":0,""animal_product_units_on_tiles"":7,""cash"":1444.0,""shed"":{""WHEAT"":20,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":5,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":2,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":5597.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":11,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102304,0,0.0,11382.0,163130.0,-151748.0,DONE/DONE,720,32.85966389999885,0.05442685799775064,0.3144863000015903,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102304_seat_0.json.gz,060a8be93d277f873b98d996371a1d1dc4c5a7dc2eb82406e15713c223dd899f,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102304_seat_0.json.gz,4b5fd2f2fbed106dde639babaa359f2dbd99adaafaa33e4f7c84519ef882e336,,144,193,63,28,32,"{""MELON"": 11, ""MILK"": 22, ""WHEAT"": 50}","{""FERTILIZER"": 38, ""MELON"": 12, ""MILK"": 22, ""WHEAT"": 71}",5,1,9,2,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":193,""first_crop_harvest_record"":63,""successful_feed_actions"":28,""successful_care_actions"":32,""actual_harvest_units"":{""WHEAT"":50,""MILK"":22,""MELON"":11},""actual_sell_units"":{""WHEAT"":71,""FERTILIZER"":38,""MILK"":22,""MELON"":12},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":1,""remaining_steps"":623,""day_changed"":true},{""record"":168,""count"":2,""remaining_steps"":551,""day_changed"":true},{""record"":288,""count"":1,""remaining_steps"":431,""day_changed"":true},{""record"":384,""count"":1,""remaining_steps"":335,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":9,""mature_crop_cells"":9,""animals"":2,""animals_fed_today"":0,""animal_product_units_on_tiles"":11,""cash"":1710.0,""shed"":{""WHEAT"":30,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":11382.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102304,1,0.0,8133.0,207463.0,-199330.0,DONE/DONE,720,29.773374100001092,0.05068996400135803,0.30899150000186637,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102304_seat_1.json.gz,2cd3d6c6a4ecc2c37c633410e829f81adc509e4b8ce930a5b6b0de0931858fca,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102304_seat_1.json.gz,9ffcc51fd2d969a11bc8ebf26e5cd624b461e7f884c99fb8bc7fa61de0a5fc2f,,144,193,60,17,18,"{""MELON"": 17, ""MILK"": 6, ""WHEAT"": 57}","{""FERTILIZER"": 22, ""MELON"": 17, ""MILK"": 6, ""WHEAT"": 73}",4,1,7,1,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":193,""first_crop_harvest_record"":60,""successful_feed_actions"":17,""successful_care_actions"":18,""actual_harvest_units"":{""WHEAT"":57,""MILK"":6,""MELON"":17},""actual_sell_units"":{""WHEAT"":73,""FERTILIZER"":22,""MILK"":6,""MELON"":17},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":192,""count"":2,""remaining_steps"":527,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":7,""animals"":1,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1250.0,""shed"":{""WHEAT"":37,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":8133.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102305,0,0.0,13677.0,165194.0,-151517.0,DONE/DONE,720,32.727142300002015,0.05366605400027768,0.28696990000025835,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102305_seat_0.json.gz,e30946a88a3a38e4f4ef96589184604554550a500be47305a2060bac6e331757,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102305_seat_0.json.gz,7340b5fe7f295ed3706f87827161ce587bb93ed1ba9d6c77c73a52d8d5b4ffce,,144,146,63,32,36,"{""MELON"": 17, ""MILK"": 15, ""WHEAT"": 55, ""WOOL"": 17}","{""FERTILIZER"": 40, ""MELON"": 17, ""MILK"": 15, ""WHEAT"": 75, ""WOOL"": 17}",5,1,10,3,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":146,""first_crop_harvest_record"":63,""successful_feed_actions"":32,""successful_care_actions"":36,""actual_harvest_units"":{""WHEAT"":55,""WOOL"":17,""MILK"":15,""MELON"":17},""actual_sell_units"":{""WHEAT"":75,""FERTILIZER"":40,""MILK"":15,""WOOL"":17,""MELON"":17},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":2,""remaining_steps"":623,""day_changed"":true},{""record"":288,""count"":1,""remaining_steps"":431,""day_changed"":true},{""record"":312,""count"":1,""remaining_steps"":407,""day_changed"":true},{""record"":384,""count"":1,""remaining_steps"":335,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":10,""mature_crop_cells"":10,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1692.0,""shed"":{""WHEAT"":31,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":11,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":13677.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_expanded,v122,2026102305,1,0.0,9184.0,150683.0,-141499.0,DONE/DONE,720,32.3782953000009,0.05374907400153463,0.3388306000015291,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\replays\v122\seed_2026102305_seat_1.json.gz,009f9e12ca1c814f8cf1c892a21da2e69b885df8aacac80cb46cfc1721b522a0,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_expanded64\diagnostics\v122_seed_2026102305_seat_1.json.gz,c209ffb3fe8f1d9fc1cedea951445443f7fcd3ebd97c9812c2f33b0b84a24e72,,144,149,60,24,24,"{""MELON"": 12, ""MILK"": 13, ""WHEAT"": 60, ""WOOL"": 8}","{""FERTILIZER"": 30, ""MELON"": 12, ""MILK"": 13, ""WHEAT"": 74, ""WOOL"": 8}",4,1,9,3,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":149,""first_crop_harvest_record"":60,""successful_feed_actions"":24,""successful_care_actions"":24,""actual_harvest_units"":{""WHEAT"":60,""WOOL"":8,""MILK"":13,""MELON"":12},""actual_sell_units"":{""WHEAT"":74,""FERTILIZER"":30,""WOOL"":8,""MELON"":12,""MILK"":13},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":264,""count"":2,""remaining_steps"":455,""day_changed"":true},{""record"":312,""count"":1,""remaining_steps"":407,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":9,""mature_crop_cells"":9,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":1126.0,""shed"":{""WHEAT"":25,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":5,""FERTILIZER"":2,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":9184.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
