candidate,anchor,seed,seat,score,our_cash,opponent_cash,margin,statuses,states,elapsed_seconds,inference_p99_seconds,inference_max_seconds,replay,replay_sha256,diagnostics,diagnostics_sha256,first_land_record,first_animal_yield_record,first_animal_harvest_record,first_crop_harvest_record,successful_feed_actions,successful_care_actions,actual_harvest_units_json,actual_sell_units_json,animal_exit_count,state192_land,state192_crops,state192_animals,final_land,final_crops,final_animals,first_divergence_record,lifecycle_json
round9_a2_v2_expanded,v122,2026102301,0,0.0,7206.0,185396.0,-178190.0,DONE/DONE,720,31.041998599997896,0.055441105997597356,0.37056160000065574,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102301_seat_0.json.gz,5571358f6f1c580a622626873753dcfbbfe8674cc1ce83a8e96c9489ff92fd0c,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102301_seat_0.json.gz,a353feb2dfe34fb43aaecccd11dc102b742e030f1b9c4e7733ed19c32e4edf0d,,144,196,63,25,30,"{""MELON"": 6, ""MILK"": 16, ""WHEAT"": 44}","{""FERTILIZER"": 36, ""MELON"": 6, ""MILK"": 16, ""WHEAT"": 77}",5,1,8,1,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":196,""first_crop_harvest_record"":63,""successful_feed_actions"":25,""successful_care_actions"":30,""actual_harvest_units"":{""WHEAT"":44,""MILK"":16,""MELON"":6},""actual_sell_units"":{""WHEAT"":77,""FERTILIZER"":36,""MILK"":16,""MELON"":6},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":2,""remaining_steps"":623,""day_changed"":true},{""record"":168,""count"":2,""remaining_steps"":551,""day_changed"":true},{""record"":456,""count"":1,""remaining_steps"":263,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":8,""mature_crop_cells"":8,""animals"":1,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1466.0,""shed"":{""WHEAT"":39,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":7206.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102301,1,0.0,7492.0,185550.0,-178058.0,DONE/DONE,720,30.236994300001243,0.055485466000100285,0.40832589999990887,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102301_seat_1.json.gz,b6a4830f460ccd8f5ebd42237d408019db24d8552d88020449a4055c73f1b7a0,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102301_seat_1.json.gz,09c386e1fc825b313b0a0e39b477a09c636023896392d898b33528430deba3fe,,144,147,60,19,18,"{""MELON"": 10, ""MILK"": 6, ""WHEAT"": 56, ""WOOL"": 5}","{""FERTILIZER"": 22, ""MELON"": 11, ""MILK"": 7, ""WHEAT"": 79, ""WOOL"": 5}",4,1,7,2,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":60,""successful_feed_actions"":19,""successful_care_actions"":18,""actual_harvest_units"":{""WHEAT"":56,""WOOL"":5,""MILK"":6,""MELON"":10},""actual_sell_units"":{""WHEAT"":79,""FERTILIZER"":22,""WOOL"":5,""MILK"":7,""MELON"":11},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":192,""count"":1,""remaining_steps"":527,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":7,""animals"":2,""animals_fed_today"":0,""animal_product_units_on_tiles"":7,""cash"":1444.0,""shed"":{""WHEAT"":20,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":5,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":7492.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102302,0,0.0,8007.0,151763.0,-143756.0,DONE/DONE,720,33.82281910000165,0.06538922399857257,0.3937368000006245,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102302_seat_0.json.gz,ab96cfeec1f50ab21fdf61826dacb1fec47397147bed1ef6d3f0033834f33af5,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102302_seat_0.json.gz,3b922e63853e52b197f03e8471cfeb96b52fe72cca78e777541536b99543b4ba,223,144,148,63,34,36,"{""MELON"": 6, ""MILK"": 17, ""WHEAT"": 105, ""WOOL"": 9}","{""FERTILIZER"": 47, ""MELON"": 6, ""MILK"": 17, ""WHEAT"": 123, ""WOOL"": 9}",6,1,8,3,2,0,0,,"{""first_land_record"":223,""first_animal_yield_record"":144,""first_animal_harvest_record"":148,""first_crop_harvest_record"":63,""successful_feed_actions"":34,""successful_care_actions"":36,""actual_harvest_units"":{""WHEAT"":105,""WOOL"":9,""MILK"":17,""MELON"":6},""actual_sell_units"":{""WHEAT"":123,""FERTILIZER"":47,""WOOL"":9,""MILK"":17,""MELON"":6},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":1,""remaining_steps"":623,""day_changed"":true},{""record"":168,""count"":1,""remaining_steps"":551,""day_changed"":true},{""record"":216,""count"":1,""remaining_steps"":503,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true},{""record"":576,""count"":1,""remaining_steps"":143,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":8,""mature_crop_cells"":8,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":7,""cash"":2212.0,""shed"":{""WHEAT"":21,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":6,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":2,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":8007.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102302,1,0.0,11764.0,147678.0,-135914.0,DONE/DONE,720,30.232953599999746,0.051083732001934556,0.41651809999893885,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102302_seat_1.json.gz,fb8b09ef542422b07d67e835bf8a2017bf06094ca1fc155ca172fe9508855541,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102302_seat_1.json.gz,cbb1146c3fe89f914cf6608fcaa26cd9a21731d00cbd6b7f3434c2a08c487cba,,144,150,60,20,19,"{""MELON"": 24, ""MILK"": 12, ""WHEAT"": 72, ""WOOL"": 5}","{""FERTILIZER"": 26, ""MELON"": 24, ""MILK"": 12, ""WHEAT"": 95, ""WOOL"": 5}",4,1,10,3,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":150,""first_crop_harvest_record"":60,""successful_feed_actions"":20,""successful_care_actions"":19,""actual_harvest_units"":{""WHEAT"":72,""WOOL"":5,""MILK"":12,""MELON"":24},""actual_sell_units"":{""WHEAT"":95,""FERTILIZER"":26,""WOOL"":5,""MILK"":12,""MELON"":24},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":240,""count"":2,""remaining_steps"":479,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":10,""mature_crop_cells"":10,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":1199.0,""shed"":{""WHEAT"":38,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":5,""FERTILIZER"":2,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":11764.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102303,0,0.0,10854.0,168329.0,-157475.0,DONE/DONE,720,34.012640500001,0.051393761998115225,0.28413849999924423,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102303_seat_0.json.gz,092a24c24e7a05155617cb4800569a7559fb791fd40e93e516dc1f75d9929432,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102303_seat_0.json.gz,ae4dbb1e7138e62699582fba0bebfaaa68d5cd41678cc19b495be5e9e62d4350,354,144,146,63,29,34,"{""MELON"": 23, ""MILK"": 9, ""WHEAT"": 84, ""WOOL"": 14}","{""FERTILIZER"": 44, ""MELON"": 13, ""MILK"": 9, ""WHEAT"": 117, ""WOOL"": 14}",6,1,11,3,2,1,0,,"{""first_land_record"":354,""first_animal_yield_record"":144,""first_animal_harvest_record"":146,""first_crop_harvest_record"":63,""successful_feed_actions"":29,""successful_care_actions"":34,""actual_harvest_units"":{""WHEAT"":84,""WOOL"":14,""MILK"":9,""MELON"":23},""actual_sell_units"":{""WHEAT"":117,""FERTILIZER"":44,""WOOL"":14,""MILK"":9,""MELON"":13},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":2,""remaining_steps"":623,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true},{""record"":288,""count"":1,""remaining_steps"":431,""day_changed"":true},{""record"":312,""count"":1,""remaining_steps"":407,""day_changed"":true},{""record"":576,""count"":1,""remaining_steps"":143,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":11,""mature_crop_cells"":11,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1549.0,""shed"":{""WHEAT"":34,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":11,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":2,""crop_cells"":1,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":10854.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102303,1,0.0,5647.0,154038.0,-148391.0,DONE/DONE,720,32.85267609999937,0.049643260001175804,0.35047470000063186,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102303_seat_1.json.gz,ba845a3ddf71c1b56307077b600539466c6a0d6951acc503e222a7478745aec5,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102303_seat_1.json.gz,825660f3ed88f3b09a67d3dd4459f4263b8138434718465297c3efa3f6a2529b,354,144,147,60,22,20,"{""MELON"": 11, ""MILK"": 7, ""WHEAT"": 85, ""WOOL"": 9}","{""FERTILIZER"": 26, ""MILK"": 7, ""WHEAT"": 99, ""WOOL"": 9}",5,1,7,2,2,0,0,,"{""first_land_record"":354,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":60,""successful_feed_actions"":22,""successful_care_actions"":20,""actual_harvest_units"":{""WHEAT"":85,""WOOL"":9,""MILK"":7,""MELON"":11},""actual_sell_units"":{""WHEAT"":99,""FERTILIZER"":26,""WOOL"":9,""MILK"":7},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":192,""count"":1,""remaining_steps"":527,""day_changed"":true},{""record"":216,""count"":1,""remaining_steps"":503,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true},{""record"":552,""count"":1,""remaining_steps"":167,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":7,""animals"":2,""animals_fed_today"":0,""animal_product_units_on_tiles"":7,""cash"":1444.0,""shed"":{""WHEAT"":20,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":5,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":2,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":5647.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":11,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":2}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102304,0,0.0,11382.0,163130.0,-151748.0,DONE/DONE,720,31.128103099999862,0.047923088000316055,0.27493970000068657,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102304_seat_0.json.gz,e0230997cbcfdf5746cf4c12cb1b1cf1bbf999af849586567eff878c898086c2,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102304_seat_0.json.gz,d307c077ffd51cb57f9e8ce43b38bd56fe2b9ceca9400dd18b91495518ea1c77,,144,193,63,28,32,"{""MELON"": 11, ""MILK"": 22, ""WHEAT"": 50}","{""FERTILIZER"": 38, ""MELON"": 12, ""MILK"": 22, ""WHEAT"": 71}",5,1,9,2,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":193,""first_crop_harvest_record"":63,""successful_feed_actions"":28,""successful_care_actions"":32,""actual_harvest_units"":{""WHEAT"":50,""MILK"":22,""MELON"":11},""actual_sell_units"":{""WHEAT"":71,""FERTILIZER"":38,""MILK"":22,""MELON"":12},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":1,""remaining_steps"":623,""day_changed"":true},{""record"":168,""count"":2,""remaining_steps"":551,""day_changed"":true},{""record"":288,""count"":1,""remaining_steps"":431,""day_changed"":true},{""record"":384,""count"":1,""remaining_steps"":335,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":9,""mature_crop_cells"":9,""animals"":2,""animals_fed_today"":0,""animal_product_units_on_tiles"":11,""cash"":1710.0,""shed"":{""WHEAT"":30,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":11382.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102304,1,0.0,8133.0,207463.0,-199330.0,DONE/DONE,720,27.76331449999998,0.043770414000246095,0.2744648000007146,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102304_seat_1.json.gz,cd9c2950b975f7e7da5164389ebabcc63d69f67f8502b51ca300a71292667f03,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102304_seat_1.json.gz,f5329b32d87a0c3da312212a85000edb8b87c918f257c954c421b6734e91494d,,144,193,60,17,18,"{""MELON"": 17, ""MILK"": 6, ""WHEAT"": 56}","{""FERTILIZER"": 22, ""MELON"": 17, ""MILK"": 6, ""WHEAT"": 73}",4,1,7,1,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":193,""first_crop_harvest_record"":60,""successful_feed_actions"":17,""successful_care_actions"":18,""actual_harvest_units"":{""WHEAT"":56,""MILK"":6,""MELON"":17},""actual_sell_units"":{""WHEAT"":73,""FERTILIZER"":22,""MILK"":6,""MELON"":17},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":192,""count"":2,""remaining_steps"":527,""day_changed"":true},{""record"":240,""count"":1,""remaining_steps"":479,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":7,""animals"":1,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1250.0,""shed"":{""WHEAT"":37,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":1,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":8133.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102305,0,0.0,12637.0,149076.0,-136439.0,DONE/DONE,720,43.90920299999925,0.07366836999826783,0.5176218999986304,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102305_seat_0.json.gz,1c8b88b919d64fc337e0a7e30ff3e4ea9d7a30491ec3d5b7c5c8bdca67818fec,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102305_seat_0.json.gz,66d0cf70f344e904e3c0daf8618c2b6095b62c140834eae7335c0a42f0c28fac,,144,146,63,32,34,"{""MELON"": 16, ""MILK"": 6, ""WHEAT"": 75, ""WOOL"": 24}","{""FERTILIZER"": 42, ""MELON"": 16, ""MILK"": 6, ""WHEAT"": 96, ""WOOL"": 24}",5,1,12,3,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":146,""first_crop_harvest_record"":63,""successful_feed_actions"":32,""successful_care_actions"":34,""actual_harvest_units"":{""WHEAT"":75,""WOOL"":24,""MILK"":6,""MELON"":16},""actual_sell_units"":{""WHEAT"":96,""FERTILIZER"":42,""WOOL"":24,""MILK"":6,""MELON"":16},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":96,""count"":2,""remaining_steps"":623,""day_changed"":true},{""record"":264,""count"":1,""remaining_steps"":455,""day_changed"":true},{""record"":312,""count"":1,""remaining_steps"":407,""day_changed"":true},{""record"":480,""count"":1,""remaining_steps"":239,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":12,""mature_crop_cells"":12,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":6,""cash"":1671.0,""shed"":{""WHEAT"":30,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":11,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":12637.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":0},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
round9_a2_v2_expanded,v122,2026102305,1,0.0,9744.0,129302.0,-119558.0,DONE/DONE,720,41.728977400001895,0.06947657999822696,0.33914830000139773,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\replays\v122\seed_2026102305_seat_1.json.gz,9a50eee69693ff33f0c475e1c8daa2110bf1d4d8be2390cf754994311d579f9a,experiments\round9_teacher_reproduction_and_closed_loop_bc_20260923\development_panel_a2_v2_expanded64\diagnostics\v122_seed_2026102305_seat_1.json.gz,82ffc18e00a95bbba73976b6464568b64673b937fa214c4ba39bae0c674117fc,,144,149,60,24,24,"{""MELON"": 12, ""MILK"": 13, ""WHEAT"": 69, ""WOOL"": 8}","{""FERTILIZER"": 30, ""MELON"": 12, ""MILK"": 13, ""WHEAT"": 86, ""WOOL"": 8}",4,1,9,3,1,0,0,,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":149,""first_crop_harvest_record"":60,""successful_feed_actions"":24,""successful_care_actions"":24,""actual_harvest_units"":{""WHEAT"":69,""WOOL"":8,""MILK"":13,""MELON"":12},""actual_sell_units"":{""WHEAT"":86,""FERTILIZER"":30,""WOOL"":8,""MILK"":13,""MELON"":12},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[{""record"":48,""count"":1,""remaining_steps"":671,""day_changed"":true},{""record"":264,""count"":2,""remaining_steps"":455,""day_changed"":true},{""record"":312,""count"":1,""remaining_steps"":407,""day_changed"":true}],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":9,""mature_crop_cells"":9,""animals"":3,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":1126.0,""shed"":{""WHEAT"":25,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":5,""FERTILIZER"":2,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":0,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":9744.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":false}}"
